playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;itmPercent;averageBuyin;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD;rbD3;rbD4;rbD5;rbRedD;profitPostRbD3;profitPostRbD4;profitPostRbD5;profitPostRbRedD
madmax441188;726;800;18200;49650;266;223;237;545;121;53;5;2;0;0;0;0;36.64;25.07;9.07;1274;150;950;5096;20384;22932;25480;30576;305.76;343.98;382.2;458.64;1255.76;1293.98;1332.2;1408.64
temple42;724;-2500;25300;67100;236;240;248;543;114;64;3;0;0;0;0;0;32.6;34.94;11.59;1771;125;-2375;7084;28336;31878;35420;42504;425.04;478.17;531.31;637.57;-1949.96;-1896.83;-1843.69;-1737.43
ORTI37;723;-1125;21025;56850;239;285;199;546;116;53;8;0;0;0;0;0;33.06;29.08;9.87;1471.75;100;-1025;5887;23548;26491.5;29435;35322;353.22;397.38;441.53;529.84;-671.78;-627.62;-583.47;-495.16
1flip 2win;714;1600;71400;192200;270;246;198;542;116;49;6;1;0;0;0;0;37.82;100;10.27;4998;600;2200;19992;79968;89964;99960;119952;1199.53;1349.47;1499.41;1799.3;3399.53;3549.47;3699.41;3999.3
Pelele64;713;700;20100;56450;268;236;209;530;117;56;8;2;0;0;0;0;37.59;28.19;6.38;1407;0;700;5628;22512;25326;28140;33768;337.68;379.89;422.1;506.53;1037.68;1079.89;1122.1;1206.53
royale47;710;-5550;39750;106850;229;253;228;528;134;41;7;0;0;0;0;0;32.25;55.99;10.4;2782.5;275;-5275;11130;44520;50085;55650;66780;667.81;751.28;834.76;1001.71;-4607.19;-4523.72;-4440.24;-4273.29
JackSept;708;-2325;55525;148550;234;231;243;536;121;46;4;1;0;0;0;0;33.05;78.43;10.82;3886.75;550;-1775;15547;62188;69961.5;77735;93282;932.83;1049.43;1166.04;1399.24;-842.17;-725.57;-608.96;-375.76
ToutDevant;705;-350;18150;50100;238;281;186;511;132;56;6;0;0;0;0;0;33.76;25.74;7.99;1270.5;100;-250;5082;20328;22869;25410;30492;304.92;343.04;381.15;457.38;54.92;93.04;131.15;207.38
t6mbanahhui;701;300;70100;192000;238;175;288;532;114;50;3;1;1;0;0;0;33.95;100;8.7;4907;550;850;19628;78512;88326;98140;117768;1177.69;1324.9;1472.11;1766.54;2027.69;2174.9;2322.11;2616.54
joffbzh;698;-975;23375;64250;243;251;204;535;108;49;3;1;2;0;0;0;34.81;33.49;8.38;1636.25;100;-875;6545;26180;29452.5;32725;39270;392.7;441.79;490.88;589.06;-482.3;-433.21;-384.12;-285.94
