rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;BetterCallMe;2303;-625;85175;227300;854;691;758;1777;346;164;12;4;0;0;0;0;36.98;37.08;11.05;5962.25;2250;1625;23849;95396;107320.5;119245;143094
3;1goal1dream;1716;-5500;43300;116250;571;675;470;1310;276;118;10;1;1;0;0;0;25.23;33.28;10.51;3031;1000;-4500;12124;48496;54558;60620;72744
4;unasmonfrere;1230;-3250;61250;165050;431;465;334;939;193;86;9;3;0;0;0;0;49.8;35.04;10.18;4287.5;750;-2500;17150;68600;77175;85750;102900
5;piz55;1125;2125;28175;81100;379;386;360;839;197;83;3;2;0;1;0;0;25.04;33.69;4.05;1972.25;500;2625;7889;31556;35500.5;39445;47334
6;khykhy;913;24800;23800;314100;256;438;219;693;157;52;7;3;0;0;0;1;26.07;28.04;-339.92;1666;375;25175;6664;26656;29988;33320;39984
7;stasiukaxz11;734;-450;18350;49050;280;269;185;570;107;49;6;2;0;0;0;0;25;38.15;10.9;1284.5;375;-75;5138;20552;23121;25690;30828
8;KhaleesiFTW;682;-1200;17050;46300;242;233;207;518;109;45;9;1;0;0;0;0;25;35.48;9.48;1193.5;225;-975;4774;19096;21483;23870;28644
9;ChildCZ;575;225;14375;37850;220;190;165;441;92;39;3;0;0;0;0;0;25;38.26;12.23;1006.25;225;450;4025;16100;18112.5;20125;24150
11;MrTs222;564;-1850;22850;60100;203;188;173;431;95;36;1;1;0;0;0;0;40.51;35.99;12.33;1599.5;150;-1700;6398;25592;28791;31990;38388
12;GTL01;499;-275;12475;34300;168;195;136;383;77;33;5;0;1;0;0;0;25;33.67;8.35;873.25;150;-125;3493;13972;15718.5;17465;20958
13;U.S.Tuermer.;489;-25;12225;32250;182;190;117;380;70;35;4;0;0;0;0;0;25;37.22;12.07;855.75;150;125;3423;13692;15403.5;17115;20538
16;Tu_Te_Calm;471;-75;12175;32350;172;179;120;350;90;30;1;0;0;0;0;0;25.85;36.52;11.43;852.25;75;0;3409;13636;15340.5;17045;20454
