rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
3;Biquettesick;679;-4500;67900;181200;245;245;189;517;112;45;4;1;0;0;0;0;100;36.08;11.05;4753;1500;-3000;19012;76048;85554;95060;114072
4;raar91;674;800;67400;182400;256;213;205;519;100;46;7;2;0;0;0;0;100;37.98;9.79;4718;1000;1800;18872;75488;84924;94360;113232
5;P0iss0nss;624;-5800;62400;168200;209;232;183;464;111;45;4;0;0;0;0;0;100;33.49;10.15;4368;750;-5050;17472;69888;78624;87360;104832
6;Aoninenk;541;-3300;54100;144400;189;174;178;407;97;32;5;0;0;0;0;0;100;34.94;11.03;3787;500;-2800;15148;60592;68166;75740;90888
7;djfinck;480;-6000;48000;128600;158;178;144;364;78;36;1;1;0;0;0;0;100;32.92;10.69;3360;500;-5500;13440;53760;60480;67200;80640
8;jungle julia;437;2100;43700;118200;167;120;150;321;80;35;1;0;0;0;0;0;100;38.22;9.84;3059;350;2450;12236;48944;55062;61180;73416
9;Tire-fesses;433;700;43300;118000;166;142;125;323;67;41;2;0;0;0;0;0;100;38.34;9.16;3031;350;1050;12124;48496;54558;60620;72744
11;Runitdeeuux;409;-2900;40900;110400;144;169;96;309;68;29;2;1;0;0;0;0;100;35.21;10.02;2863;250;-2650;11452;45808;51534;57260;68712
13;_s4_;378;-800;37800;102600;137;121;120;286;64;23;4;1;0;0;0;0;100;36.24;9.52;2646;250;-550;10584;42336;47628;52920;63504
15;PaKaiKai;361;-3300;36100;93800;132;125;104;274;68;18;1;0;0;0;0;0;100;36.57;13.39;2527;250;-3050;10108;40432;45486;50540;60648
16;Kimsing;316;2400;31600;86400;117;104;95;233;58;21;4;0;0;0;0;0;100;37.03;8.86;2212;150;2550;8848;35392;39816;44240;53088
17;5massam5;295;-3700;29500;77800;103;74;118;226;51;17;0;1;0;0;0;0;100;34.92;12.09;2065;150;-3550;8260;33040;37170;41300;49560
18;MOOM13;290;-2400;29000;76000;95;97;98;235;33;18;3;1;0;0;0;0;100;32.76;12.64;2030;150;-2250;8120;32480;36540;40600;48720
21;fafou1981;263;-1500;26300;71400;95;71;97;203;34;22;4;0;0;0;0;0;100;36.12;9.51;1841;150;-1350;7364;29456;33138;36820;44184
22;RagazzaBella;258;-5600;25800;67200;84;62;112;199;42;16;1;0;0;0;0;0;100;32.56;13.18;1806;150;-5450;7224;28896;32508;36120;43344
23;Marcel45;255;-1300;25500;70800;92;108;55;183;47;24;1;0;0;0;0;0;100;36.08;7.45;1785;150;-1150;7140;28560;32130;35700;42840
25;jetelamet13;231;300;23100;61800;85;65;81;175;36;19;1;0;0;0;0;0;100;36.8;10.82;1617;150;450;6468;25872;29106;32340;38808
