rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;itsfree;1087;300;108700;301400;393;379;315;815;179;83;6;3;1;0;0;0;100;36.15;7.57;7609;3500;3800;30436;121744;136962;152180;182616
3;GuideAA;998;-2800;99800;268800;349;360;289;757;166;65;8;2;0;0;0;0;100;34.97;10.22;6986;1500;-1300;27944;111776;125748;139720;167664
4;raar91;686;5000;68600;183800;266;219;201;516;120;46;3;1;0;0;0;0;100;38.78;10.69;4802;1000;6000;19208;76832;86436;96040;115248
5;MAMARAZZI;628;-600;62800;164000;239;212;177;493;98;32;3;2;0;0;0;0;100;38.06;12.95;4396;750;150;17584;70336;79128;87920;105504
6;RagazzaBella;502;-5400;50200;136200;148;121;233;373;89;35;5;0;0;0;0;0;100;29.48;9.56;3514;500;-4900;14056;56224;63252;70280;84336
8;gibonFRUITE;414;-4200;41400;110400;145;134;135;315;66;30;3;0;0;0;0;0;100;35.02;11.11;2898;350;-3850;11592;46368;52164;57960;69552
9;1FlipMore;381;-1900;38100;101200;135;121;125;289;61;30;1;0;0;0;0;0;100;35.43;11.46;2667;350;-1550;10668;42672;48006;53340;64008
10;stephou89;368;-2600;36800;96200;121;116;131;287;51;29;1;0;0;0;0;0;100;32.88;12.86;2576;350;-2250;10304;41216;46368;51520;61824
12;djfinck;289;-4100;28900;77800;90;104;95;222;45;19;2;1;0;0;0;0;100;31.14;10.27;2023;250;-3850;8092;32368;36414;40460;48552
13;letsgamboule;271;-2100;27100;71800;102;93;76;209;45;15;1;1;0;0;0;0;100;37.64;11.69;1897;250;-1850;7588;30352;34146;37940;45528
14;Gini2a;243;-5300;24300;64400;73;95;75;186;37;19;1;0;0;0;0;0;100;30.04;11.66;1701;250;-5050;6804;27216;30618;34020;40824
15;I YouPi I;241;-2100;24100;62600;84;77;80;187;40;12;2;0;0;0;0;0;100;34.85;13.42;1687;250;-1850;6748;26992;30366;33740;40488
16;siddd;239;700;23900;63000;95;71;73;188;33;17;0;1;0;0;0;0;100;39.75;12.13;1673;150;850;6692;26768;30114;33460;40152
17;Biquettesick;235;1300;23500;61000;87;79;69;178;44;13;0;0;0;0;0;0;100;37.02;13.48;1645;150;1450;6580;26320;29610;32900;39480
18;losbramaires;204;2200;20400;57000;73;70;61;144;43;15;2;0;0;0;0;0;100;35.78;6.86;1428;150;2350;5712;22848;25704;28560;34272
19;sunny_flower;194;-4200;19400;53600;57;71;66;142;34;16;2;0;0;0;0;0;100;29.38;7.9;1358;150;-4050;5432;21728;24444;27160;32592
20;O0IIIIII0O;184;-1600;18400;48800;64;64;56;138;34;11;1;0;0;0;0;0;100;34.78;11.59;1288;150;-1450;5152;20608;23184;25760;30912
21;ASDECOEUR23;182;-3000;18200;45600;55;47;80;146;28;7;1;0;0;0;0;0;100;30.22;16.48;1274;150;-2850;5096;20384;22932;25480;30576
23;JeanLuc123;178;-1400;17800;46400;71;66;41;137;30;10;1;0;0;0;0;0;100;39.89;13.11;1246;150;-1250;4984;19936;22428;24920;29904
