rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;Expresso_GTO;1327;-3500;132700;352400;492;440;395;1017;210;90;9;1;0;0;0;0;100;37.08;11.48;9289;3500;0;37156;148624;167202;185780;222936
3;_JOHN RAMBO_;1259;-8100;125900;335800;442;513;304;974;199;69;14;3;0;0;0;0;100;35.11;11.09;8813;1500;-6600;35252;141008;158634;176260;211512
4;Aaanditsgone;866;-11600;86600;244000;276;324;266;638;152;66;7;2;1;0;0;0;100;31.87;6.08;6062;1000;-10600;24248;96992;109116;121240;145488
5;RagazzaBella;631;-4500;63100;174600;206;146;279;466;106;50;9;0;0;0;0;0;100;32.65;7.77;4417;750;-3750;17668;70672;79506;88340;106008
6;MAMARAZZI;541;4700;54100;148000;198;199;144;409;91;38;2;0;1;0;0;0;100;36.6;8.81;3787;500;5200;15148;60592;68166;75740;90888
7;windguru14;460;1000;46000;121600;174;126;160;346;86;25;3;0;0;0;0;0;100;37.83;11.88;3220;500;1500;12880;51520;57960;64400;77280
8;raar91;384;2600;38400;104600;145;135;104;291;60;29;3;1;0;0;0;0;100;37.76;9.2;2688;350;2950;10752;43008;48384;53760;64512
9;jjpjn;317;6100;31700;185400;91;73;153;240;45;29;2;0;0;0;1;0;100;28.71;-94.95;2219;350;6450;8876;35504;39942;44380;53256
10;Raton8011;311;-2500;31100;84400;106;93;112;239;52;13;6;1;0;0;0;0;100;34.08;9.54;2177;350;-2150;8708;34832;39186;43540;52248
11;grandguignol;301;100;30100;102800;110;98;93;216;64;15;5;0;0;1;0;0;100;36.54;-13.84;2107;250;350;8428;33712;37926;42140;50568
12;adopteunbet;274;-2000;27400;74000;94;99;81;214;34;21;5;0;0;0;0;0;100;34.31;9.98;1918;250;-1750;7672;30688;34524;38360;46032
13;Malhabah;249;-5100;24900;66800;72;66;111;187;43;17;2;0;0;0;0;0;100;28.92;10.58;1743;250;-4850;6972;27888;31374;34860;41832
14;_s4_;245;2100;24500;65400;94;79;72;188;36;19;2;0;0;0;0;0;100;38.37;11.02;1715;250;2350;6860;27440;30870;34300;41160
15;BigBadDawg;242;-2000;24200;69400;79;87;76;177;38;23;3;1;0;0;0;0;100;32.64;4.41;1694;250;-1750;6776;27104;30492;33880;40656
16;LENNY2610;240;-6600;24000;65400;69;108;63;181;37;19;3;0;0;0;0;0;100;28.75;9.17;1680;150;-6450;6720;26880;30240;33600;40320
17;Shori Nota;226;2200;22600;61000;86;76;64;168;37;21;0;0;0;0;0;0;100;38.05;10.03;1582;150;2350;6328;25312;28476;31640;37968
18;stakeleux24;181;300;18100;46000;72;69;40;147;23;9;2;0;0;0;0;0;100;39.78;15.29;1267;150;450;5068;20272;22806;25340;30408
19;Fifoudu13;172;77600;17200;146200;54;36;82;128;30;11;2;0;0;0;1;0;100;31.4;-183.33;1204;150;77750;4816;19264;21672;24080;28896
20;lera 33;169;-1500;16900;44600;56;62;51;127;30;12;0;0;0;0;0;0;100;33.14;12.03;1183;150;-1350;4732;18928;21294;23660;28392
21;jerome83;164;1200;16400;43200;61;40;63;126;30;5;3;0;0;0;0;0;100;37.2;12.2;1148;150;1350;4592;18368;20664;22960;27552
22;MAYFAIRW1K;154;-800;15400;41400;54;50;50;118;21;14;1;0;0;0;0;0;100;35.06;10.39;1078;150;-650;4312;17248;19404;21560;25872
23;peou;154;-600;15400;45600;47;58;49;107;29;16;1;1;0;0;0;0;100;30.52;1.3;1078;150;-450;4312;17248;19404;21560;25872
24;Ding68;150;-1400;15000;40800;54;48;48;108;32;9;1;0;0;0;0;0;100;36;9.33;1050;150;-1250;4200;16800;18900;21000;25200
25;JeanLuc123;143;3300;14300;39000;56;50;37;107;29;5;1;1;0;0;0;0;100;39.16;9.09;1001;150;3450;4004;16016;18018;20020;24024
26;MrSebou;134;-1800;13400;38400;41;54;39;97;25;10;1;1;0;0;0;0;100;30.6;4.48;938;100;-1700;3752;15008;16884;18760;22512
27;G4NG B4NG;119;300;11900;36000;48;38;33;94;15;7;2;0;1;0;0;0;100;40.34;-0.84;833;100;400;3332;13328;14994;16660;19992
28;needfrench;116;-800;11600;30000;42;41;33;89;20;7;0;0;0;0;0;0;100;36.21;13.79;812;100;-700;3248;12992;14616;16240;19488
29;Akhym94;116;-1000;11600;30800;40;33;43;87;20;9;0;0;0;0;0;0;100;34.48;11.49;812;100;-900;3248;12992;14616;16240;19488
30;DesperHate;115;2700;11500;31400;49;46;20;84;20;11;0;0;0;0;0;0;100;42.61;8.99;805;100;2800;3220;12880;14490;16100;19320
31;isolab;108;-1800;10800;29800;36;34;38;80;22;5;0;1;0;0;0;0;100;33.33;8.02;756;100;-1700;3024;12096;13608;15120;18144
32;LickMyEvChip;108;-1400;10800;28600;36;41;31;82;21;3;2;0;0;0;0;0;100;33.33;11.73;756;100;-1300;3024;12096;13608;15120;18144
33;LeBasilicain;105;-500;10500;29800;37;36;32;76;21;7;0;1;0;0;0;0;100;35.24;5.4;735;100;-400;2940;11760;13230;14700;17640
34;WAM888;100;-800;10000;28200;32;35;33;79;10;9;1;1;0;0;0;0;100;32;6;700;100;-700;2800;11200;12600;14000;16800
35;canard nord;100;1600;10000;29400;38;25;37;75;14;8;2;1;0;0;0;0;100;38;2;700;100;1700;2800;11200;12600;14000;16800
36;NicoFloflo;99;-1500;9900;24200;34;32;33;79;18;2;0;0;0;0;0;0;100;34.34;18.52;693;100;-1400;2772;11088;12474;13860;16632
37;TheToilet2b;99;1700;9900;30800;34;34;31;67;16;15;0;1;0;0;0;0;100;34.34;-3.7;693;100;1800;2772;11088;12474;13860;16632
38;longway;91;-1500;9100;22400;32;26;33;75;11;5;0;0;0;0;0;0;100;35.16;17.95;637;100;-1400;2548;10192;11466;12740;15288
39;siestoboulot;89;-1500;8900;24200;28;31;30;71;13;3;1;1;0;0;0;0;100;31.46;9.36;623;100;-1400;2492;9968;11214;12460;14952
40;lol_Sverev;89;-1900;8900;22800;29;36;24;68;17;4;0;0;0;0;0;0;100;32.58;14.61;623;100;-1800;2492;9968;11214;12460;14952
41;Biquettesick;87;100;8700;23400;32;29;26;68;10;8;1;0;0;0;0;0;100;36.78;10.34;609;100;200;2436;9744;10962;12180;14616
42;Thx Teerak;84;-2200;8400;22400;26;29;29;65;10;9;0;0;0;0;0;0;100;30.95;11.11;588;100;-2100;2352;9408;10584;11760;14112
43;Jupy973;82;0;8200;23000;31;19;32;60;13;8;1;0;0;0;0;0;100;37.8;6.5;574;100;100;2296;9184;10332;11480;13776
44;PacoRayban;80;-1800;8000;22400;24;33;23;58;14;7;1;0;0;0;0;0;100;30;6.67;560;100;-1700;2240;8960;10080;11200;13440
46;alinou53;79;-900;7900;41800;21;37;21;60;12;5;0;1;0;1;0;0;100;26.58;-76.37;553;100;-800;2212;8848;9954;11060;13272
47;Amna;78;2000;7800;25600;30;23;25;52;13;10;2;1;0;0;0;0;100;38.46;-9.4;546;100;2100;2184;8736;9828;10920;13104
48;nana30000;76;-600;7600;22000;25;21;30;55;10;10;1;0;0;0;0;0;100;32.89;3.51;532;100;-500;2128;8512;9576;10640;12768
49;1flip 2win;75;100;7500;18800;32;23;20;63;7;4;1;0;0;0;0;0;100;42.67;16.44;525;100;200;2100;8400;9450;10500;12600
50;lapaesana83;72;-1400;7200;17400;23;21;28;59;11;2;0;0;0;0;0;0;100;31.94;19.44;504;100;-1300;2016;8064;9072;10080;12096
51;ManGoItsMe;68;-1200;6800;17000;25;25;18;56;9;2;1;0;0;0;0;0;100;36.76;16.67;476;50;-1150;1904;7616;8568;9520;11424
52;CantFoldThis;67;700;6700;18600;26;28;13;46;16;5;0;0;0;0;0;0;100;38.81;7.46;469;50;750;1876;7504;8442;9380;11256
53;Bim ds tn Q;65;700;6500;19200;22;22;21;43;17;3;2;0;0;0;0;0;100;33.85;1.54;455;50;750;1820;7280;8190;9100;10920
54;Foufurieux06;64;1200;6400;17600;25;19;20;48;10;5;1;0;0;0;0;0;100;39.06;8.33;448;50;1250;1792;7168;8064;8960;10752
55;Ahura Dyke;64;-2400;6400;18600;16;32;16;48;7;7;2;0;0;0;0;0;100;25;3.12;448;50;-2350;1792;7168;8064;8960;10752
56;EN_VACANCES;62;1800;6200;17800;28;18;16;45;9;7;1;0;0;0;0;0;100;45.16;4.3;434;50;1850;1736;6944;7812;8680;10416
57;BingBOng21;61;-700;6100;16600;22;17;22;45;10;6;0;0;0;0;0;0;100;36.07;9.29;427;50;-650;1708;6832;7686;8540;10248
58;BetterCallMe;59;-900;5900;16200;18;27;14;42;12;5;0;0;0;0;0;0;100;30.51;8.47;413;50;-850;1652;6608;7434;8260;9912
59;BoumBail;59;1100;5900;18000;18;15;26;41;12;5;0;1;0;0;0;0;100;30.51;-1.69;413;50;1150;1652;6608;7434;8260;9912
60;winafish_8z;59;-1100;5900;18200;18;25;16;42;8;6;3;0;0;0;0;0;100;30.51;-2.82;413;50;-1050;1652;6608;7434;8260;9912
61;RichLifeInc;58;2200;5800;15600;30;9;19;43;10;5;0;0;0;0;0;0;100;51.72;10.34;406;50;2250;1624;6496;7308;8120;9744
62;RAISE75;56;-2400;5600;14600;13;18;25;43;9;4;0;0;0;0;0;0;100;23.21;13.1;392;50;-2350;1568;6272;7056;7840;9408
