rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
2;1goal1dream;1774;18200;44350;371250;618;600;556;1325;304;124;19;0;1;0;0;1;25;34.84;-179.03;3104.5;1500;19700;12418;49672;55881;62090;74508
3;BetterCallMe;1441;-2625;36725;99700;499;479;463;1079;230;122;9;1;0;0;0;0;25.49;34.63;9.51;2570.75;1000;-1625;10283;41132;46273.5;51415;61698
4;Faceplouc;1336;-400;61750;165350;486;410;440;1007;226;94;8;1;0;0;0;0;46.22;36.38;10.74;4322.5;750;350;17290;69160;77805;86450;103740
6;OhMyGambler;786;-1700;19650;52750;255;320;211;605;125;50;5;0;1;0;0;0;25;32.44;10.52;1375.5;375;-1325;5502;22008;24759;27510;33012
9;V1rOgn3;701;3275;25425;68750;266;222;213;523;125;49;4;0;0;0;0;0;36.27;37.95;9.87;1779.75;225;3500;7119;28476;32035.5;35595;42714
10;unasmonfrere;686;-1025;33725;90900;249;242;195;514;114;54;4;0;0;0;0;0;49.16;36.3;10.16;2360.75;225;-800;9443;37772;42493.5;47215;56658
11;alicia1204;575;25;17125;47150;202;201;172;425;97;49;3;1;0;0;0;0;29.78;35.13;8.22;1198.75;150;175;4795;19180;21577.5;23975;28770
12;CallMoiSnake;549;-1625;13725;38400;183;192;174;408;93;43;4;0;1;0;0;0;25;33.33;6.74;960.75;150;-1475;3843;15372;17293.5;19215;23058
15;jojolebedo;478;-1375;13175;33500;164;150;164;383;61;34;0;0;0;0;0;0;27.56;34.31;15.24;922.25;150;-1225;3689;14756;16600.5;18445;22134
16;SAMSHAGIRL;442;-475;12775;34200;154;148;140;337;68;32;4;1;0;0;0;0;28.9;34.84;10.76;894.25;75;-400;3577;14308;16096.5;17885;21462
18;TIREX01;369;-825;11775;31250;136;127;106;277;64;28;0;0;0;0;0;0;31.91;36.86;11.54;824.25;75;-750;3297;13188;14836.5;16485;19782
19;Tu_Te_Calm;369;-350;12050;32250;137;115;117;279;61;25;4;0;0;0;0;0;32.66;37.13;10.79;843.5;75;-275;3374;13496;15183;16870;20244
21;Orel127mx;341;125;9375;24600;126;120;95;259;57;24;1;0;0;0;0;0;27.49;36.95;12.53;656.25;75;200;2625;10500;11812.5;13125;15750
22;jetelamet13;331;-1775;14475;39000;108;90;133;254;49;23;5;0;0;0;0;0;43.73;32.63;10.19;1013.25;75;-1700;4053;16212;18238.5;20265;24318
23;AndriusP7;331;600;9900;25800;135;121;75;260;51;17;2;1;0;0;0;0;29.91;40.79;13.13;693;75;675;2772;11088;12474;13860;16632
24;MrTs222;328;475;8275;24650;118;125;85;231;60;33;3;0;1;0;0;0;25.23;35.98;0.7;579.25;75;550;2317;9268;10426.5;11585;13902
25;padon14;325;800;8750;24450;120;113;92;238;48;36;3;0;0;0;0;0;26.92;36.92;6.86;612.5;75;875;2450;9800;11025;12250;14700
29;Bimbe;307;-525;7775;21550;100;113;94;235;47;19;4;2;0;0;0;0;25.33;32.57;7.61;544.25;50;-475;2177;8708;9796.5;10885;13062
30;kikerced;307;475;10825;32700;107;92;108;212;50;39;5;1;0;0;0;0;35.26;34.85;-0.69;757.75;50;525;3031;12124;13639.5;15155;18186
31;figa2a;299;-825;9375;24800;99;103;97;232;40;26;1;0;0;0;0;0;31.35;33.11;11.82;656.25;50;-775;2625;10500;11812.5;13125;15750
32;Ramen LEBIFF;289;-800;8850;22600;99;100;90;233;35;19;2;0;0;0;0;0;30.62;34.26;14.88;619.5;50;-750;2478;9912;11151;12390;14868
33;Tinitouns31;284;1550;7350;20900;119;71;94;204;52;23;5;0;0;0;0;0;25.88;41.9;5.22;514.5;50;1600;2058;8232;9261;10290;12348
34;Aaanditsgone;271;350;13550;37400;98;95;78;200;55;13;1;2;0;0;0;0;50;36.16;8;948.5;50;400;3794;15176;17073;18970;22764
35;groscochons;266;-750;7450;25200;76;90;100;197;47;20;1;0;0;1;0;0;28.01;28.57;-12.75;521.5;50;-700;2086;8344;9387;10430;12516
36;AAnus Etroit;266;-800;10300;28000;95;92;79;198;47;20;1;0;0;0;0;0;38.72;35.71;9.39;721;50;-750;2884;11536;12978;14420;17304
37;IamHaku;262;29725;6575;267300;96;100;66;199;42;19;1;0;0;0;0;1;25.1;36.64;-1255.13;460.25;50;29775;1841;7364;8284.5;9205;11046
38;jerome83;257;-525;8975;23750;84;80;93;199;39;16;3;0;0;0;0;0;34.92;32.68;11.79;628.25;50;-475;2513;10052;11308.5;12565;15078
40;cryptocrome;253;-800;9500;24200;93;72;88;205;31;14;3;0;0;0;0;0;37.55;36.76;15.09;665;50;-750;2660;10640;11970;13300;15960
41;TheoWach;251;-1625;8175;22050;78;70;103;190;38;21;2;0;0;0;0;0;32.57;31.08;10.09;572.25;50;-1575;2289;9156;10300.5;11445;13734
42;djepokertour;241;1475;9025;25550;101;87;53;179;36;23;2;0;1;0;0;0;37.45;41.91;5.63;631.75;50;1525;2527;10108;11371.5;12635;15162
43;BurjAlArab;237;-375;6625;19950;83;77;77;174;46;12;3;1;1;0;0;0;27.95;35.02;-0.38;463.75;50;-325;1855;7420;8347.5;9275;11130
44;pablo8413;232;-375;6375;16050;86;71;75;184;35;12;1;0;0;0;0;0;27.48;37.07;16.08;446.25;50;-325;1785;7140;8032.5;8925;10710
45;tec9;230;1100;11500;30300;98;67;65;172;43;15;0;0;0;0;0;0;50;42.61;12.17;805;50;1150;3220;12880;14490;16100;19320
46;KhaleesiFTW;228;-2325;8275;21350;76;97;55;181;34;11;2;0;0;0;0;0;36.29;33.33;14;579.25;50;-2275;2317;9268;10426.5;11585;13902
49;LeBasilicain;224;775;7875;21300;85;68;71;171;31;21;0;1;0;0;0;0;35.16;37.95;9.84;551.25;50;825;2205;8820;9922.5;11025;13230
50;marzo_45;221;25;6575;17850;85;65;71;163;36;21;1;0;0;0;0;0;29.75;38.46;9.51;460.25;50;75;1841;7364;8284.5;9205;11046
51;LordBendtner;216;50;5450;14400;77;82;57;162;39;15;0;0;0;0;0;0;25.23;35.65;11.93;381.5;25;75;1526;6104;6867;7630;9156
52;A-et-C;215;-525;5375;14500;72;67;76;158;41;15;1;0;0;0;0;0;25;33.49;10.08;376.25;25;-500;1505;6020;6772.5;7525;9030
53;benlea64;214;-850;5350;14200;65;65;84;159;42;12;1;0;0;0;0;0;25;30.37;11.53;374.5;25;-825;1498;5992;6741;7490;8988
