rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;ChildCZ;2809;218475;70225;460550;1024;985;800;2156;462;167;18;4;0;0;1;1;25;36.45;-118.61;4915.75;2250;220725;19663;78652;88483.5;98315;117978
2;MrTs222;2677;-1150;76350;201950;980;1049;648;2057;421;182;14;3;0;0;0;0;28.52;36.61;11.83;5344.5;1500;350;21378;85512;96201;106890;128268
3;O0IIIIII0O;2125;-5900;61650;164150;742;747;636;1595;383;140;6;0;1;0;0;0;29.01;34.92;11.25;4315.5;1000;-4900;17262;69048;77679;86310;103572
4;BetterCallMe;1886;-2225;64975;176900;672;610;604;1423;311;134;15;2;1;0;0;0;34.45;35.63;9.25;4548.25;750;-1475;18193;72772;81868.5;90965;109158
5;LEpasduppe;1645;1225;41225;110500;620;567;458;1249;264;122;8;2;0;0;0;0;25.06;37.69;10.65;2885.75;500;1725;11543;46172;51943.5;57715;69258
6;Hey_Jude;1498;-3375;45825;121850;518;499;481;1161;238;90;6;1;2;0;0;0;30.59;34.58;11.37;3207.75;375;-3000;12831;51324;57739.5;64155;76986
7;Le Audrius;1381;-850;53550;143900;530;440;411;1079;188;104;8;1;1;0;0;0;38.78;38.38;10.43;3748.5;375;-475;14994;59976;67473;74970;89964
8;cxin19871026;1185;-450;37800;104600;396;336;453;892;190;84;18;1;0;0;0;0;31.9;33.42;7.76;2646;225;-225;10584;42336;47628;52920;63504
9;Bambino4;1132;2250;28300;75150;463;366;303;864;184;77;6;1;0;0;0;0;25;40.9;11.48;1981;225;2475;7924;31696;35658;39620;47544
10;adopteunbet;1101;-150;55050;149200;409;373;319;854;158;74;13;1;1;0;0;0;50;37.15;9.66;3853.5;225;75;15414;61656;69363;77070;92484
11;BanFromPluto;1071;2025;29975;81400;414;381;276;814;174;74;4;5;0;0;0;0;27.99;38.66;9.48;2098.25;150;2175;8393;33572;37768.5;41965;50358
12;Arthur4King;639;-25;15975;41800;256;207;176;494;99;43;3;0;0;0;0;0;25;40.06;12.78;1118.25;150;125;4473;17892;20128.5;22365;26838
13;-la dinde-;630;-1575;17975;46650;223;249;158;488;103;35;2;2;0;0;0;0;28.53;35.4;13.49;1258.25;150;-1425;5033;20132;22648.5;25165;30198
14;SharKKutier;625;-575;15675;40750;224;233;168;482;102;39;2;0;0;0;0;0;25.08;35.84;13.34;1097.25;150;-425;4389;17556;19750.5;21945;26334
15;TIREX01;604;-2150;17700;47200;190;210;204;449;114;39;2;0;0;0;0;0;29.3;31.46;11.11;1239;150;-2000;4956;19824;22302;24780;29736
16;PokerAJ_2010;571;-725;17425;46500;199;199;173;441;88;37;4;1;0;0;0;0;30.52;34.85;11.05;1219.75;75;-650;4879;19516;21955.5;24395;29274
17;antofourn;521;-1075;13025;34000;189;205;127;414;73;30;2;2;0;0;0;0;25;36.28;12.99;911.75;75;-1000;3647;14588;16411.5;18235;21882
18;5massam5;519;-825;14625;39400;186;146;187;400;70;46;2;1;0;0;0;0;28.18;35.84;10.2;1023.75;75;-750;4095;16380;18427.5;20475;24570
19;hachibalde;503;325;13175;35250;192;156;155;392;68;39;3;1;0;0;0;0;26.19;38.17;10.82;922.25;75;400;3689;14756;16600.5;18445;22134
20;Diep21;449;-1425;11225;30200;146;161;142;334;79;34;2;0;0;0;0;0;25;32.52;10.32;785.75;75;-1350;3143;12572;14143.5;15715;18858
21;gogepok37;429;475;10725;28800;156;142;131;324;69;33;3;0;0;0;0;0;25;36.36;10.49;750.75;75;550;3003;12012;13513.5;15015;18018
22;AdAugusta;413;-1425;10325;27200;130;165;118;317;65;29;2;0;0;0;0;0;25;31.48;12.19;722.75;75;-1350;2891;11564;13009.5;14455;17346
23;nounieu;412;100;20600;55400;145;135;132;311;66;32;3;0;0;0;0;0;50;35.19;10.36;1442;75;175;5768;23072;25956;28840;34608
24;cunbrejnaca;411;200;10300;28200;158;130;123;313;57;38;2;1;0;0;0;0;25.06;38.44;8.74;721;75;275;2884;11536;12978;14420;17304
25;Abubekr;411;-75;10275;27700;139;161;111;310;67;30;4;0;0;0;0;0;25;33.82;10.14;719.25;75;0;2877;11508;12946.5;14385;17262
26;omahalpha;393;-875;13475;35500;137;139;117;305;59;27;2;0;0;0;0;0;34.29;34.86;12.18;943.25;50;-825;3773;15092;16978.5;18865;22638
27;Archer90;392;-400;19600;56100;137;144;111;277;73;36;6;0;0;0;0;0;50;34.95;4.59;1372;50;-350;5488;21952;24696;27440;32928
28;jetelamet13;376;150;11400;29800;143;103;130;293;54;27;2;0;0;0;0;0;30.32;38.03;12.87;798;50;200;3192;12768;14364;15960;19152
29;troupineur;373;400;10550;30050;134;103;136;284;64;20;3;1;1;0;0;0;28.28;35.92;5.06;738.5;50;450;2954;11816;13293;14770;17724
30;Miss Kissy;368;-150;9200;24900;133;128;107;272;68;25;3;0;0;0;0;0;25;36.14;9.78;644;50;-100;2576;10304;11592;12880;15456
31;Iamethod13;351;-775;12925;33450;123;126;102;276;51;22;2;0;0;0;0;0;36.82;35.04;13.73;904.75;50;-725;3619;14476;16285.5;18095;21714
32;RunG00D4Ever;338;-1175;8475;23200;104;134;100;255;55;21;7;0;0;0;0;0;25.07;30.77;8.75;593.25;50;-1125;2373;9492;10678.5;11865;14238
33;moringoo;334;-1150;11350;29900;118;86;130;261;48;24;1;0;0;0;0;0;33.98;35.33;12.19;794.5;50;-1100;3178;12712;14301;15890;19068
34;iRiverNuts;322;-800;8350;22050;111;92;119;246;53;21;2;0;0;0;0;0;25.93;34.47;11.98;584.5;50;-750;2338;9352;10521;11690;14028
35;theduc;312;725;8275;22450;120;88;104;230;56;24;2;0;0;0;0;0;26.52;38.46;9.57;579.25;50;775;2317;9268;10426.5;11585;13902
37;lolo45600;305;-325;11075;29550;114;97;94;232;55;15;2;1;0;0;0;0;36.31;37.38;11.06;775.25;50;-275;3101;12404;13954.5;15505;18606
38;unasmonfrere;293;2650;14650;40600;124;107;62;229;43;17;3;0;1;0;0;0;50;42.32;7.62;1025.5;50;2700;4102;16408;18459;20510;24612
39;AndriusP7;289;1550;14450;39000;121;103;65;219;39;31;0;0;0;0;0;0;50;41.87;10.03;1011.5;50;1600;4046;16184;18207;20230;24276
40;Chris5751575;288;-1025;10325;28150;96;102;90;215;48;23;2;0;0;0;0;0;35.85;33.33;9.12;722.75;50;-975;2891;11564;13009.5;14455;17346
41;Obrado;287;-750;7300;20200;89;85;113;210;46;30;1;0;0;0;0;0;25.44;31.01;7.76;511;50;-700;2044;8176;9198;10220;12264
42;PacoRayban;286;-350;9200;24500;108;103;75;226;39;18;2;1;0;0;0;0;32.17;37.76;11.23;644;50;-300;2576;10304;11592;12880;15456
43;panny37;278;-1350;8200;23600;77;80;121;207;44;23;2;1;1;0;0;0;29.5;27.7;4.07;574;50;-1300;2296;9184;10332;11480;13776
44;toony9;277;-225;7875;20400;105;62;110;211;44;22;0;0;0;0;0;0;28.43;37.91;13.65;551.25;50;-175;2205;8820;9922.5;11025;13230
45;tharod69;276;250;6900;19050;108;91;77;210;36;28;1;1;0;0;0;0;25;39.13;7.97;483;50;300;1932;7728;8694;9660;11592
46;lavinia83;273;-1125;9325;26400;96;100;77;199;44;26;3;1;0;0;0;0;34.16;35.16;5.63;652.75;50;-1075;2611;10444;11749.5;13055;15666
47;Ghosty14;260;1650;10350;32700;95;83;82;183;50;22;3;1;1;0;0;0;39.81;36.54;-5.31;724.5;50;1700;2898;11592;13041;14490;17388
48;TOUFIK76;259;-900;11000;30250;86;83;90;191;43;24;1;0;0;0;0;0;42.47;33.2;8.33;770;50;-850;3080;12320;13860;15400;18480
49;freddoc70;258;-325;6775;19200;95;83;80;188;49;18;1;2;0;0;0;0;26.26;36.82;5.54;474.25;50;-275;1897;7588;8536.5;9485;11382
50;Tu_Te_Calm;257;-750;9700;25700;92;84;81;204;29;22;2;0;0;0;0;0;37.74;35.8;11.68;679;50;-700;2716;10864;12222;13580;16296
51;Akhym94;251;-150;10450;28550;88;80;83;190;38;22;1;0;0;0;0;0;41.63;35.06;8.93;731.5;25;-125;2926;11704;13167;14630;17556
52;paschaa0087;241;825;6025;16450;100;80;61;179;40;20;2;0;0;0;0;0;25;41.49;8.99;421.75;25;850;1687;6748;7591.5;8435;10122
53;igloolol;239;600;8000;21100;91;76;72;192;33;13;0;1;0;0;0;0;33.47;38.08;12.08;560;25;625;2240;8960;10080;11200;13440
54;karim le bg;234;-350;5850;15900;82;69;83;173;40;20;1;0;0;0;0;0;25;35.04;9.4;409.5;25;-325;1638;6552;7371;8190;9828
55;de haan;231;0;7050;21300;86;67;78;179;28;18;5;0;1;0;0;0;30.52;37.23;-0.71;493.5;25;25;1974;7896;8883;9870;11844
56;aaleynaa;220;-75;6875;18350;73;77;70;167;36;16;1;0;0;0;0;0;31.25;33.18;11.03;481.25;25;-50;1925;7700;8662.5;9625;11550
57;-LuCh0-;217;975;7075;19350;92;76;49;167;32;14;3;1;0;0;0;0;32.6;42.4;8.83;495.25;25;1000;1981;7924;8914.5;9905;11886
58;AnArKine;212;-100;5350;14700;75;56;81;162;35;10;4;1;0;0;0;0;25.24;35.38;8.41;374.5;25;-75;1498;5992;6741;7490;8988
59;doowie2a;207;-850;6200;16850;70;75;62;168;26;10;1;2;0;0;0;0;29.95;33.82;9.41;434;25;-825;1736;6944;7812;8680;10416
60;Djoules59;207;100;5300;14400;72;74;61;159;31;14;2;1;0;0;0;0;25.6;34.78;9.43;371;25;125;1484;5936;6678;7420;8904
61;Ramen LEBIFF;207;175;6275;17650;71;75;61;155;37;14;0;0;1;0;0;0;30.31;34.3;6.24;439.25;25;200;1757;7028;7906.5;8785;10542
62;Expresso100k;206;-325;6325;17450;76;51;79;168;20;16;1;0;1;0;0;0;30.7;36.89;8.04;442.75;25;-300;1771;7084;7969.5;8855;10626
63;superfish75;206;-1225;6075;15350;73;68;65;171;25;9;0;1;0;0;0;0;29.49;35.44;15.78;425.25;25;-1200;1701;6804;7654.5;8505;10206
64;AskickerAs09;206;-25;6825;18300;77;67;62;156;41;7;2;0;0;0;0;0;33.13;37.38;10.62;477.75;25;0;1911;7644;8599.5;9555;11466
65;Paire-severe;205;-1000;7050;17600;68;76;61;165;26;14;0;0;0;0;0;0;34.39;33.17;16.78;493.5;25;-975;1974;7896;8883;9870;11844
66;Time2call2;204;-825;5125;13850;59;71;74;155;28;20;1;0;0;0;0;0;25.12;28.92;9.92;358.75;25;-800;1435;5740;6457.5;7175;8610
67;momovalentin;203;-425;6225;16900;71;52;80;154;30;17;1;1;0;0;0;0;30.67;34.98;9.5;435.75;25;-400;1743;6972;7843.5;8715;10458
68;Trafinoglu;202;1000;5050;14750;81;63;58;140;39;19;4;0;0;0;0;0;25;40.1;2.64;353.5;25;1025;1414;5656;6363;7070;8484
69;LeBasilicain;201;-1175;7725;20800;67;73;61;157;27;15;1;1;0;0;0;0;38.43;33.33;10.25;540.75;25;-1150;2163;8652;9733.5;10815;12978
70;iaia;199;-150;5400;14550;75;65;59;154;23;20;2;0;0;0;0;0;27.14;37.69;10.19;378;25;-125;1512;6048;6804;7560;9072
71;ddr3ssd;196;100;4900;13800;75;70;51;153;30;11;1;0;1;0;0;0;25;38.27;6.12;343;25;125;1372;5488;6174;6860;8232
72;alinou53;195;-900;9600;26000;66;61;68;150;30;13;1;1;0;0;0;0;49.23;33.85;9.72;672;25;-875;2688;10752;12096;13440;16128
73;LoosIi;193;-2425;8675;22400;58;60;75;153;28;10;2;0;0;0;0;0;44.95;30.05;13.93;607.25;25;-2400;2429;9716;10930.5;12145;14574
74;Briand19;190;-1250;5950;15750;55;80;55;147;28;14;1;0;0;0;0;0;31.32;28.95;11.76;416.5;25;-1225;1666;6664;7497;8330;9996
75;PaKaiKai;188;-1500;9400;25000;65;70;53;147;31;7;2;1;0;0;0;0;50;34.57;11.35;658;25;-1475;2632;10528;11844;13160;15792
76;tonyno gypsi;187;-1025;6325;17700;52;58;77;138;32;13;4;0;0;0;0;0;33.82;27.81;6.72;442.75;25;-1000;1771;7084;7969.5;8855;10626
77;Vincejj;186;-75;5925;16500;77;50;59;143;29;11;2;1;0;0;0;0;31.85;41.4;7.17;414.75;25;-50;1659;6636;7465.5;8295;9954
78;NadineRomano;186;-425;8725;23400;67;75;44;143;29;11;3;0;0;0;0;0;46.91;36.02;10.6;610.75;25;-400;2443;9772;10993.5;12215;14658
79;CrazyCris;186;50;5350;14350;69;77;40;142;29;14;1;0;0;0;0;0;28.76;37.1;10.59;374.5;25;75;1498;5992;6741;7490;8988
80;tetelle62;185;-425;5225;13450;67;59;59;152;25;6;1;1;0;0;0;0;28.24;36.22;14.19;365.75;25;-400;1463;5852;6583.5;7315;8778
81;RIEPPP;184;900;6350;17750;73;56;55;130;36;16;2;0;0;0;0;0;34.51;39.67;6.82;444.5;25;925;1778;7112;8001;8890;10668
82;riverkid3084;182;-500;4650;12250;64;58;60;138;30;14;0;0;0;0;0;0;25.55;35.16;12.19;325.5;25;-475;1302;5208;5859;6510;7812
83;munegu57;180;675;6425;17100;73;50;57;136;29;14;1;0;0;0;0;0;35.69;40.56;11.28;449.75;25;700;1799;7196;8095.5;8995;10794
