rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;DagheGOUTTE;777;-8100;77700;203600;258;304;215;593;133;48;3;0;0;0;0;0;100;33.2;12.66;5439;3500;-4600;21756;87024;97902;108780;130536
2;proscoo;754;-6800;75400;207000;264;250;240;581;106;59;6;1;1;0;0;0;100;35.01;8.49;5278;2250;-4550;21112;84448;95004;105560;126672
3;monkey4242;711;300;71100;194400;259;202;250;533;132;40;4;1;1;0;0;0;100;36.43;8.86;4977;1500;1800;19908;79632;89586;99540;119448
4;MAMARAZZI;647;-100;64700;174800;230;236;181;483;113;45;6;0;0;0;0;0;100;35.55;9.94;4529;1000;900;18116;72464;81522;90580;108696
5;adopteunbet;601;-900;60100;155800;229;218;154;479;74;44;4;0;0;0;0;0;100;38.1;13.59;4207;750;-150;16828;67312;75726;84140;100968
6;_s4_;571;-3100;57100;149000;203;195;173;441;90;38;2;0;0;0;0;0;100;35.55;13.02;3997;500;-2600;15988;63952;71946;79940;95928
7;Tire-fesses;532;-3200;53200;145800;190;200;142;398;97;34;2;0;1;0;0;0;100;35.71;8.65;3724;500;-2700;14896;59584;67032;74480;89376
8;Akhym94;341;-4300;34100;101800;112;130;99;256;47;28;8;1;1;0;0;0;100;32.84;0.49;2387;350;-3950;9548;38192;42966;47740;57288
9;SpaBienWalla;336;1000;33600;91400;134;91;111;250;55;29;2;0;0;0;0;0;100;39.88;9.33;2352;350;1350;9408;37632;42336;47040;56448
10;sunny_flower;316;2200;31600;86200;121;112;83;239;51;20;6;0;0;0;0;0;100;38.29;9.07;2212;350;2550;8848;35392;39816;44240;53088
11;LENNY2610;315;-5700;31500;83000;104;82;129;248;42;21;4;0;0;0;0;0;100;33.02;12.17;2205;250;-5450;8820;35280;39690;44100;52920
12;raar91;301;-3300;30100;76800;107;111;83;238;49;11;3;0;0;0;0;0;100;35.55;14.95;2107;250;-3050;8428;33712;37926;42140;50568
