rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;itsfree;1609;-4700;160900;434800;592;554;463;1228;246;123;10;1;1;0;0;0;100;36.79;9.92;11263;3500;-1200;45052;180208;202734;225260;270312
2;O0IIIIII0O;1266;-3600;126600;343000;437;445;384;947;230;81;6;1;1;0;0;0;100;34.52;9.69;8862;2250;-1350;35448;141792;159516;177240;212688
3;GuideAA;947;-4100;94700;246400;340;347;260;728;157;60;2;0;0;0;0;0;100;35.9;13.27;6629;1500;-2600;26516;106064;119322;132580;159096
4;proscoo;800;5200;80000;219400;301;255;244;603;127;60;8;2;0;0;0;0;100;37.62;8.58;5600;1000;6200;22400;89600;100800;112000;134400
5;-Level99;680;-10400;68000;183800;213;244;223;514;110;50;5;1;0;0;0;0;100;31.32;9.9;4760;750;-9650;19040;76160;85680;95200;114240
6;sunny_flower;680;-2800;68000;177400;254;221;205;529;108;39;3;1;0;0;0;0;100;37.35;13.04;4760;500;-2300;19040;76160;85680;95200;114240
7;Biquettesick;672;-7200;67200;185200;231;233;208;491;123;53;4;1;0;0;0;0;100;34.38;8.13;4704;500;-6700;18816;75264;84672;94080;112896
8;stephou89;544;-4400;54400;143600;191;149;204;416;84;43;1;0;0;0;0;0;100;35.11;12.01;3808;350;-4050;15232;60928;68544;76160;91392
10;4betspew;438;-4800;43800;115000;141;153;144;333;77;26;2;0;0;0;0;0;100;32.19;12.48;3066;350;-4450;12264;49056;55188;61320;73584
12;Tire-fesses;342;-600;34200;88400;129;125;88;271;44;26;1;0;0;0;0;0;100;37.72;13.84;2394;250;-350;9576;38304;43092;47880;57456
14;RagazzaBella;326;-3200;32600;88600;106;80;140;243;49;34;0;0;0;0;0;0;100;32.52;9.41;2282;250;-2950;9128;36512;41076;45640;54768
18;Touchdown67.;250;-1200;25000;67200;90;74;86;186;49;14;0;1;0;0;0;0;100;36;10.4;1750;150;-1050;7000;28000;31500;35000;42000
19;raar91;250;0;25000;65000;94;91;65;192;41;17;0;0;0;0;0;0;100;37.6;13.33;1750;150;150;7000;28000;31500;35000;42000
20;Kimsing;245;-1100;24500;64200;89;86;70;192;36;14;3;0;0;0;0;0;100;36.33;12.65;1715;150;-950;6860;27440;30870;34300;41160
21;djfinck;238;1200;23800;62000;93;68;77;183;38;17;0;0;0;0;0;0;100;39.08;13.17;1666;150;1350;6664;26656;29988;33320;39984
22;carper01;225;100;22500;61200;83;78;64;170;37;14;4;0;0;0;0;0;100;36.89;9.33;1575;150;250;6300;25200;28350;31500;37800
23;Johnny.Chase;222;-3600;22200;60200;70;77;75;166;33;23;0;0;0;0;0;0;100;31.53;9.61;1554;150;-3450;6216;24864;27972;31080;37296
