rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;Aaanditsgone;872;-3400;87200;232200;300;328;244;662;143;61;6;0;0;0;0;0;100;34.4;11.24;6104;3500;100;24416;97664;109872;122080;146496
2;LickMyEvChip;816;600;81600;219400;310;282;224;613;135;63;5;0;0;0;0;0;100;37.99;10.38;5712;2250;2850;22848;91392;102816;114240;137088
3;adopteunbet;797;4500;79700;218000;299;287;211;592;136;62;6;1;0;0;0;0;100;37.52;8.82;5579;1500;6000;22316;89264;100422;111580;133896
4;EN_VACANCES;688;1200;68800;182600;260;233;195;525;110;51;1;1;0;0;0;0;100;37.79;11.53;4816;1000;2200;19264;77056;86688;96320;115584
5;wtangw;482;-7200;48200;132600;157;153;172;365;67;43;7;0;0;0;0;0;100;32.57;8.3;3374;750;-6450;13496;53984;60732;67480;80976
6;paieoupasse;433;-500;43300;119200;145;125;163;316;81;31;5;0;0;0;0;0;100;33.49;8.24;3031;500;0;12124;48496;54558;60620;72744
7;RagazzaBella;361;-9700;36100;105400;93;86;182;256;62;34;9;0;0;0;0;0;100;25.76;2.68;2527;500;-9200;10108;40432;45486;50540;60648
8;raar91;352;-3000;35200;89800;130;114;108;283;45;22;2;0;0;0;0;0;100;36.93;14.96;2464;350;-2650;9856;39424;44352;49280;59136
9;JeanLuc123;289;1900;28900;76000;119;88;82;222;51;12;4;0;0;0;0;0;100;41.18;12.34;2023;350;2250;8092;32368;36414;40460;48552
10;zizmax;285;-500;28500;80400;103;76;106;211;51;18;3;2;0;0;0;0;100;36.14;5.96;1995;350;-150;7980;31920;35910;39900;47880
11;proscoo;278;-1800;27800;70600;105;74;99;226;38;12;1;1;0;0;0;0;100;37.77;15.35;1946;250;-1550;7784;31136;35028;38920;46704
12;lapaesana83;232;-2200;23200;65400;82;73;77;168;37;25;2;0;0;0;0;0;100;35.34;6.03;1624;250;-1950;6496;25984;29232;32480;38976
13;Star_IOM;213;-3300;21300;61400;66;77;70;163;35;13;0;1;1;0;0;0;100;30.99;3.91;1491;250;-3050;5964;23856;26838;29820;35784
14;BurjAlArab;209;-300;20900;64600;57;77;75;148;36;21;3;0;1;0;0;0;100;27.27;-3.03;1463;250;-50;5852;23408;26334;29260;35112
15;bloutoussse;191;2100;19100;50000;77;73;41;152;28;9;1;1;0;0;0;0;100;40.31;12.74;1337;250;2350;5348;21392;24066;26740;32088
16;siestoboulot;177;-1900;17700;44200;58;59;60;141;28;8;0;0;0;0;0;0;100;32.77;16.76;1239;150;-1750;4956;19824;22302;24780;29736
17;Nimeta;176;-200;17600;46000;66;51;59;140;20;15;1;0;0;0;0;0;100;37.5;12.88;1232;150;-50;4928;19712;22176;24640;29568
18;_s4_;172;-2000;17200;48800;54;58;60;123;33;15;0;1;0;0;0;0;100;31.4;5.43;1204;150;-1850;4816;19264;21672;24080;28896
19;ValueMerguez;162;1400;16200;44400;61;58;43;123;27;10;1;1;0;0;0;0;100;37.65;8.64;1134;150;1550;4536;18144;20412;22680;27216
20;jertiann;161;-100;16100;42400;59;59;43;123;25;13;0;0;0;0;0;0;100;36.65;12.22;1127;150;50;4508;18032;20286;22540;27048
21;LENNY2610;161;-5300;16100;42800;49;56;56;125;28;6;1;1;0;0;0;0;100;30.43;11.39;1127;150;-5150;4508;18032;20286;22540;27048
22;Papatouche;154;-3400;15400;41200;50;59;45;116;28;8;2;0;0;0;0;0;100;32.47;10.82;1078;150;-3250;4312;17248;19404;21560;25872
23;Ding68;153;1300;15300;41400;55;61;37;114;26;12;1;0;0;0;0;0;100;35.95;9.8;1071;150;1450;4284;17136;19278;21420;25704
24;nakii;146;-200;14600;37400;55;37;54;118;17;10;1;0;0;0;0;0;100;37.67;14.61;1022;150;-50;4088;16352;18396;20440;24528
25;Tu_Te_Calm;138;-3200;13800;38000;42;56;40;106;18;11;3;0;0;0;0;0;100;30.43;8.21;966;150;-3050;3864;15456;17388;19320;23184
26;WAM888;137;-1500;13700;35600;48;47;42;107;21;8;1;0;0;0;0;0;100;35.04;13.38;959;100;-1400;3836;15344;17262;19180;23016
27;Foufurieux06;132;-800;13200;38000;44;20;68;87;32;13;0;0;0;0;0;0;100;33.33;4.04;924;100;-700;3696;14784;16632;18480;22176
28;TheToilet2b;131;-1900;13100;37000;42;46;43;102;15;11;2;1;0;0;0;0;100;32.06;5.85;917;100;-1800;3668;14672;16506;18340;22008
