rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;BetterCallMe;2287;-3275;60675;164300;780;757;750;1733;361;172;19;1;1;0;0;0;26.53;34.11;9.74;4247.25;2250;-1025;16989;67956;76450.5;84945;101934
2;1goal1dream;1669;2375;41775;118150;595;591;483;1269;248;132;18;1;0;1;0;0;25.03;35.65;5.73;2924.25;1500;3875;11697;46788;52636.5;58485;70182
6;PhiI lvey;719;300;20150;55950;270;247;202;532;127;51;8;0;1;0;0;0;28.03;37.55;7.44;1410.5;375;675;5642;22568;25389;28210;33852
7;U.S.Tuermer.;676;650;16900;46250;252;246;178;504;112;54;5;1;0;0;0;0;25;37.28;8.78;1183;375;1025;4732;18928;21294;23660;28392
8;jetelamet13;569;-25;21075;56850;205;155;209;436;91;37;4;1;0;0;0;0;37.04;36.03;10.08;1475.25;225;200;5901;23604;26554.5;29505;35406
10;james2702;477;-425;15975;41250;182;134;161;369;73;35;0;0;0;0;0;0;33.49;38.16;13.93;1118.25;225;-200;4473;17892;20128.5;22365;26838
13;AAnus Etroit;400;-1625;14775;39900;137;145;118;296;69;33;2;0;0;0;0;0;36.94;34.25;9.98;1034.25;150;-1475;4137;16548;18616.5;20685;24822
14;Le Audrius;384;-150;9600;26500;143;130;111;285;63;33;2;1;0;0;0;0;25;37.24;7.99;672;150;0;2688;10752;12096;13440;16128
15;ChildCZ;362;-650;9050;24400;125;119;118;270;64;25;3;0;0;0;0;0;25;34.53;10.13;633.5;150;-500;2534;10136;11403;12670;15204
16;lazgirouette;358;-1450;8950;23600;115;125;118;278;50;28;2;0;0;0;0;0;25;32.12;12.1;626.5;75;-1375;2506;10024;11277;12530;15036
17;BurjAlArab;354;-800;9800;26900;113;121;120;264;59;27;4;0;0;0;0;0;27.68;31.92;8.5;686;75;-725;2744;10976;12348;13720;16464
18;Touchdown67.;341;-1700;14500;41200;111;116;114;247;69;19;4;2;0;0;0;0;42.52;32.55;5.29;1015;75;-1625;4060;16240;18270;20300;24360
19;jojolebedo;340;475;9225;24500;135;97;108;258;59;21;1;1;0;0;0;0;27.13;39.71;11.47;645.75;75;550;2583;10332;11623.5;12915;15498
20;totoall;336;-350;8400;22500;123;96;117;252;60;21;3;0;0;0;0;0;25;36.61;10.71;588;75;-275;2352;9408;10584;11760;14112
22;windguru14;309;375;9075;24950;116;89;104;231;49;25;4;0;0;0;0;0;29.37;37.54;8.36;635.25;75;450;2541;10164;11434.5;12705;15246
23;figa2a;308;-775;10375;27700;109;105;94;234;51;20;2;1;0;0;0;0;33.69;35.39;11;726.25;75;-700;2905;11620;13072.5;14525;17430
24;SERGIO3110;307;625;12675;35500;109;99;99;218;58;28;3;0;0;0;0;0;41.29;35.5;6.64;887.25;75;700;3549;14196;15970.5;17745;21294
25;Mesja33;304;75;8175;22700;105;93;106;227;42;32;2;1;0;0;0;0;26.89;34.54;7.44;572.25;75;150;2289;9156;10300.5;11445;13734
26;J2li3n;302;-325;7575;20850;104;99;99;223;50;26;3;0;0;0;0;0;25.08;34.44;8.25;530.25;50;-275;2121;8484;9544.5;10605;12726
27;RagazzaBella;300;-2300;9450;25300;88;82;130;226;55;17;2;0;0;0;0;0;31.5;29.33;10.76;661.5;50;-2250;2646;10584;11907;13230;15876
28;sniper 78;300;-1675;7925;21300;84;70;146;221;57;20;2;0;0;0;0;0;26.42;28;10.41;554.75;50;-1625;2219;8876;9985.5;11095;13314
29;Jeanlo44;287;-600;8700;24300;95;92;100;213;37;35;2;0;0;0;0;0;30.31;33.1;6.9;609;50;-550;2436;9744;10962;12180;14616
30;Romsky44;282;-150;7400;19350;103;90;89;219;46;15;2;0;0;0;0;0;26.24;36.52;12.84;518;50;-100;2072;8288;9324;10360;12432
33;SAMSHAGIRL;267;0;8700;23800;97;86;84;195;53;16;3;0;0;0;0;0;32.58;36.33;8.81;609;50;50;2436;9744;10962;12180;14616
35;EpicKind;258;50;6450;17250;101;95;62;198;39;18;3;0;0;0;0;0;25;39.15;10.85;451.5;50;100;1806;7224;8127;9030;10836
36;Owned69_x;257;150;7500;20950;87;80;90;191;47;16;2;0;1;0;0;0;29.18;33.85;6.89;525;50;200;2100;8400;9450;10500;12600
39;Aoninenk;254;175;10025;25800;99;83;72;199;41;12;2;0;0;0;0;0;39.47;38.98;14.21;701.75;50;225;2807;11228;12631.5;14035;16842
40;Patrun50;249;-1050;9150;25750;81;74;94;183;46;17;2;1;0;0;0;0;36.75;32.53;6.19;640.5;50;-1000;2562;10248;11529;12810;15372
41;tarzan57430;246;-1600;10200;26100;83;71;92;191;42;12;1;0;0;0;0;0;41.46;33.74;14.71;714;50;-1550;2856;11424;12852;14280;17136
42;Duffyshon;246;-900;6150;17000;80;82;84;183;36;25;2;0;0;0;0;0;25;32.52;7.86;430.5;50;-850;1722;6888;7749;8610;10332
43;KhaleesiFTW;244;900;9350;25550;100;79;65;189;38;13;3;1;0;0;0;0;38.32;40.98;8.91;654.5;50;950;2618;10472;11781;13090;15708
44;groscochons;243;0;6600;18550;87;69;87;171;46;24;2;0;0;0;0;0;27.16;35.8;6.31;462;50;50;1848;7392;8316;9240;11088
45;Size7;242;-50;10150;28400;90;64;88;175;45;19;3;0;0;0;0;0;41.94;37.19;6.73;710.5;50;0;2842;11368;12789;14210;17052
46;Bimbe;240;675;6025;15800;101;76;63;182;45;11;2;0;0;0;0;0;25.1;42.08;12.59;421.75;50;725;1687;6748;7591.5;8435;10122
48;Matlepoker34;231;275;7025;19250;84;61;86;168;50;10;3;0;0;0;0;0;30.41;36.36;8.66;491.75;50;325;1967;7868;8851.5;9835;11802
51;LeBasilicain;229;-1400;7450;19600;77;73;79;181;29;15;4;0;0;0;0;0;32.53;33.62;12.3;521.5;25;-1375;2086;8344;9387;10430;12516
52;djepokertour;224;-175;6375;17700;85;80;59;178;22;19;3;2;0;0;0;0;28.46;37.95;7.45;446.25;25;-150;1785;7140;8032.5;8925;10710
53;Marcel45;220;-900;8550;22300;80;88;52;171;35;13;0;1;0;0;0;0;38.86;36.36;13.06;598.5;25;-875;2394;9576;10773;11970;14364
54;paschaa0087;215;175;5375;13900;86;84;45;171;25;19;0;0;0;0;0;0;25;40;13.8;376.25;25;200;1505;6020;6772.5;7525;9030
55;sdegriver;212;950;5550;15000;87;65;60;156;40;14;2;0;0;0;0;0;26.18;41.04;9.91;388.5;25;975;1554;6216;6993;7770;9324
56;Renatojunior;210;-200;7400;18750;76;66;68;166;34;10;0;0;0;0;0;0;35.24;36.19;15.54;518;25;-175;2072;8288;9324;10360;12432
57;pascalpc2;206;-150;5150;14300;68;58;80;154;30;19;3;0;0;0;0;0;25;33.01;7.44;360.5;25;-125;1442;5768;6489;7210;8652
60;SanRenSei;202;2075;8375;23600;85;62;55;139;46;15;2;0;0;0;0;0;41.46;42.08;6.07;586.25;25;2100;2345;9380;10552.5;11725;14070
61;FR333B3T;198;700;4950;13950;80;66;52;145;34;17;1;1;0;0;0;0;25;40.4;6.06;346.5;25;725;1386;5544;6237;6930;8316
62;AZQ25;197;275;5275;13800;76;54;67;163;20;11;2;1;0;0;0;0;26.78;38.58;12.8;369.25;25;300;1477;5908;6646.5;7385;8862
63;BadSanta nAS;194;1125;9675;26700;78;58;58;135;44;15;0;0;0;0;0;0;49.87;40.21;8.01;677.25;25;1150;2709;10836;12190.5;13545;16254
64;xxxBOLAxxx;194;625;5175;14750;72;67;55;144;31;16;1;2;0;0;0;0;26.68;37.11;4.99;362.25;25;650;1449;5796;6520.5;7245;8694
65;OhMyGambler;193;225;4825;12650;74;74;45;152;22;19;0;0;0;0;0;0;25;38.34;12.61;337.75;25;250;1351;5404;6079.5;6755;8106
66;Call-me-bou;191;-400;5000;13400;65;70;56;139;39;12;1;0;0;0;0;0;26.18;34.03;10.67;350;25;-375;1400;5600;6300;7000;8400
67;WERZOU;188;-1650;6250;16300;53;50;85;142;33;13;0;0;0;0;0;0;33.24;28.19;13.07;437.5;25;-1625;1750;7000;7875;8750;10500
68;- Viet -;186;-1050;4650;12350;57;65;64;141;29;16;0;0;0;0;0;0;25;30.65;11.47;325.5;25;-1025;1302;5208;5859;6510;7812
69;Benmc24;185;-400;5300;13800;64;57;64;138;37;8;2;0;0;0;0;0;28.65;34.59;13.21;371;25;-375;1484;5936;6678;7420;8904
70;floptiii;184;-375;5175;13850;65;58;61;141;28;13;2;0;0;0;0;0;28.12;35.33;10.79;362.25;25;-350;1449;5796;6520.5;7245;8694
71;MorX13;184;-425;7025;19350;69;57;58;134;31;18;1;0;0;0;0;0;38.18;37.5;8.19;491.75;25;-400;1967;7868;8851.5;9835;11802
72;Romcocacola;183;175;4675;13050;67;60;56;137;22;23;1;0;0;0;0;0;25.55;36.61;6.95;327.25;25;200;1309;5236;5890.5;6545;7854
73;KKickUrAAss;182;425;5925;15300;74;48;60;142;25;14;1;0;0;0;0;0;32.55;40.66;13.92;414.75;25;450;1659;6636;7465.5;8295;9954
74;alicia1204;182;-1075;4775;13350;52;58;72;137;30;12;3;0;0;0;0;0;26.24;28.57;6.81;334.25;25;-1050;1337;5348;6016.5;6685;8022
75;spainbatman;178;725;7075;18750;69;62;47;141;26;9;1;1;0;0;0;0;39.75;38.76;11.66;495.25;25;750;1981;7924;8914.5;9905;11886
76;winnaze;174;-600;5900;16550;57;39;78;135;19;15;5;0;0;0;0;0;33.91;32.76;6.5;413;25;-575;1652;6608;7434;8260;9912
77;ERIS07;173;-375;6375;17300;58;56;59;132;25;14;2;0;0;0;0;0;36.85;33.53;9.54;446.25;25;-350;1785;7140;8032.5;8925;10710
78;superfish75;170;-75;4725;12550;63;56;51;131;23;15;1;0;0;0;0;0;27.79;37.06;11.46;330.75;25;-50;1323;5292;5953.5;6615;7938
79;PAN PAN QQ;168;100;7250;19500;58;61;49;133;20;13;2;0;0;0;0;0;43.15;34.52;10.34;507.5;25;125;2030;8120;9135;10150;12180
81;Rohnino;168;-100;7350;20750;65;43;60;121;31;12;4;0;0;0;0;0;43.75;38.69;5.9;514.5;25;-75;2058;8232;9261;10290;12348
82;MrTs222;168;1700;4200;12600;72;58;38;110;40;14;4;0;0;0;0;0;25;42.86;0;294;25;1725;1176;4704;5292;5880;7056
83;stephoux69;168;350;4200;11350;66;51;51;128;25;13;2;0;0;0;0;0;25;39.29;9.92;294;25;375;1176;4704;5292;5880;7056
84;padi69;166;150;4700;13250;56;58;52;123;26;15;1;1;0;0;0;0;28.31;33.73;6.03;329;25;175;1316;5264;5922;6580;7896
85;jiv72;166;325;5025;13350;64;55;47;122;34;10;0;0;0;0;0;0;30.27;38.55;11.44;351.75;25;350;1407;5628;6331.5;7035;8442
86;BEBINO;165;-1225;4475;12200;48;38;79;121;32;11;1;0;0;0;0;0;27.12;29.09;9.12;313.25;25;-1200;1253;5012;5638.5;6265;7518
87;benyv4501;164;425;5175;14200;60;48;56;112;37;15;0;0;0;0;0;0;31.55;36.59;8.53;362.25;25;450;1449;5796;6520.5;7245;8694
88;LENNY2610;163;-50;4200;11550;60;48;55;117;29;17;0;0;0;0;0;0;25.77;36.81;8.33;294;25;-25;1176;4704;5292;5880;7056
89;Mauxbydick;163;-100;4100;10650;58;52;53;129;21;12;1;0;0;0;0;0;25.15;35.58;13.41;287;25;-75;1148;4592;5166;5740;6888
90;Cherkov;162;1400;5100;13900;66;49;47;121;28;12;1;0;0;0;0;0;31.48;40.74;9.15;357;25;1425;1428;5712;6426;7140;8568
91;1I1I;158;-650;4500;11600;52;59;47;123;26;8;1;0;0;0;0;0;28.48;32.91;14.07;315;25;-625;1260;5040;5670;6300;7560
92;bedelias76;158;-1050;4600;13800;46;65;47;116;27;12;2;0;1;0;0;0;29.11;29.11;0;322;25;-1025;1288;5152;5796;6440;7728
93;Gr0sDaniel;158;775;3975;10850;66;53;39;119;25;12;2;0;0;0;0;0;25.16;41.77;9.01;278.25;25;800;1113;4452;5008.5;5565;6678
94;FUFU13;158;-200;3950;10500;55;54;49;120;24;14;0;0;0;0;0;0;25;34.81;11.39;276.5;25;-175;1106;4424;4977;5530;6636
95;ilovurass;150;-175;3825;10400;52;45;53;111;25;14;0;0;0;0;0;0;25.5;34.67;9.37;267.75;25;-150;1071;4284;4819.5;5355;6426
96;oumi26;150;-1250;3950;10350;41;69;40;113;29;7;1;0;0;0;0;0;26.33;27.33;12.66;276.5;25;-1225;1106;4424;4977;5530;6636
97;Our New Home;148;150;3700;10100;56;60;32;103;38;6;1;0;0;0;0;0;25;37.84;9.01;259;25;175;1036;4144;4662;5180;6216
99;gogepok37;147;-575;3675;10750;44;49;54;107;23;14;2;1;0;0;0;0;25;29.93;2.49;257.25;25;-550;1029;4116;4630.5;5145;6174
100;ACCOUNT;145;-725;3825;9900;44;57;44;114;19;12;0;0;0;0;0;0;26.38;30.34;13.73;267.75;25;-700;1071;4284;4819.5;5355;6426
