rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;Ketelsen;965;2300;96500;265000;357;368;240;726;152;75;10;2;0;0;0;0;100;36.99;8.46;6755;3500;5800;27020;108080;121590;135100;162120
2;EN_VACANCES;795;-8500;79500;211800;276;278;241;608;123;60;3;1;0;0;0;0;100;34.72;11.19;5565;2250;-6250;22260;89040;100170;111300;133560
3;cetteberc;666;3000;66600;183800;242;208;216;492;120;49;2;3;0;0;0;0;100;36.34;8.01;4662;1500;4500;18648;74592;83916;93240;111888
4;Expresso_GTO;634;-3200;63400;167800;239;200;195;486;97;48;3;0;0;0;0;0;100;37.7;11.78;4438;1000;-2200;17752;71008;79884;88760;106512
5;MAMARAZZI;549;-2900;54900;148800;188;209;152;415;88;41;4;1;0;0;0;0;100;34.24;9.65;3843;750;-2150;15372;61488;69174;76860;92232
6;sunny_flower;488;600;48800;131200;182;160;146;374;77;31;5;1;0;0;0;0;100;37.3;10.38;3416;500;1100;13664;54656;61488;68320;81984
7;PaKaiKai;423;-300;42300;111600;147;143;133;332;56;33;1;1;0;0;0;0;100;34.75;12.06;2961;500;200;11844;47376;53298;59220;71064
8;adopteunbet;406;-3800;40600;107600;141;145;120;318;53;33;1;1;0;0;0;0;100;34.73;11.66;2842;350;-3450;11368;45472;51156;56840;68208
9;raar91;378;-1800;37800;100400;135;127;116;284;66;27;1;0;0;0;0;0;100;35.71;11.46;2646;350;-1450;10584;42336;47628;52920;63504
10;ChibreAcier7;332;-2800;33200;89200;121;123;88;246;62;22;2;0;0;0;0;0;100;36.45;10.44;2324;350;-2450;9296;37184;41832;46480;55776
11;_s4_;322;2600;32200;92600;117;104;101;231;54;33;3;1;0;0;0;0;100;36.34;4.14;2254;250;2850;9016;36064;40572;45080;54096
12;Shori Nota;310;1200;31000;83200;117;79;114;233;50;26;1;0;0;0;0;0;100;37.74;10.54;2170;250;1450;8680;34720;39060;43400;52080
13;JeanLuc123;223;1100;22300;62800;79;80;64;160;35;28;0;0;0;0;0;0;100;35.43;6.13;1561;250;1350;6244;24976;28098;31220;37464
14;LePardon;204;-800;20400;55000;64;82;58;155;31;16;2;0;0;0;0;0;100;31.37;10.13;1428;250;-550;5712;22848;25704;28560;34272
15;windguru14;197;-1500;19700;55000;69;60;68;140;42;12;3;0;0;0;0;0;100;35.03;6.94;1379;250;-1250;5516;22064;24822;27580;33096
16;Ding68;187;-2300;18700;50200;60;62;65;139;36;10;2;0;0;0;0;0;100;32.09;10.52;1309;150;-2150;5236;20944;23562;26180;31416
17;MrSebou;163;-500;16300;46000;60;42;61;117;29;15;2;0;0;0;0;0;100;36.81;5.93;1141;150;-350;4564;18256;20538;22820;27384
18;proscoo;146;-2400;14600;39400;49;44;53;116;20;7;2;1;0;0;0;0;100;33.56;10.05;1022;150;-2250;4088;16352;18396;20440;24528
19;Biquettesick;146;1800;14600;40800;52;39;55;108;24;11;3;0;0;0;0;0;100;35.62;6.85;1022;150;1950;4088;16352;18396;20440;24528
20;Malhabah;139;-2900;13900;38200;40;27;72;104;22;11;2;0;0;0;0;0;100;28.78;8.39;973;150;-2750;3892;15568;17514;19460;23352
21;MAYFAIRW1K;121;-300;12100;32000;46;34;41;92;19;10;0;0;0;0;0;0;100;38.02;11.85;847;150;-150;3388;13552;15246;16940;20328
22;chikhaoui83;114;-800;11400;31600;36;34;44;90;8;14;2;0;0;0;0;0;100;31.58;7.6;798;150;-650;3192;12768;14364;15960;19152
23;-LuCh0-;113;1300;11300;31200;44;34;35;81;25;5;2;0;0;0;0;0;100;38.94;7.96;791;150;1450;3164;12656;14238;15820;18984
24;NicoFloflo;113;-3900;11300;26600;31;48;34;94;18;1;0;0;0;0;0;0;100;27.43;21.53;791;150;-3750;3164;12656;14238;15820;18984
25;losbramaires;113;1100;11300;31200;42;41;30;81;23;8;1;0;0;0;0;0;100;37.17;7.96;791;150;1250;3164;12656;14238;15820;18984
26;DanielSP;108;0;10800;30800;39;40;29;76;20;11;1;0;0;0;0;0;100;36.11;4.94;756;100;100;3024;12096;13608;15120;18144
27;112233;107;1500;10700;29400;39;31;37;79;16;12;0;0;0;0;0;0;100;36.45;8.41;749;100;1600;2996;11984;13482;14980;17976
28;TheToilet2b;100;1000;10000;29000;34;29;37;68;19;13;0;0;0;0;0;0;100;34;3.33;700;100;1100;2800;11200;12600;14000;16800
29;LickMyEvChip;99;300;9900;25200;40;19;40;75;21;3;0;0;0;0;0;0;100;40.4;15.15;693;100;400;2772;11088;12474;13860;16632
30;LENNY2610;96;-1400;9600;26200;27;40;29;71;17;7;1;0;0;0;0;0;100;28.12;9.03;672;100;-1300;2688;10752;12096;13440;16128
31;Thx Teerak;93;900;9300;27400;34;36;23;67;15;10;0;1;0;0;0;0;100;36.56;1.79;651;100;1000;2604;10416;11718;13020;15624
32;ManGoItsMe;93;700;9300;26600;33;34;26;70;10;11;2;0;0;0;0;0;100;35.48;4.66;651;100;800;2604;10416;11718;13020;15624
34;E.X.O.C.E.T;84;-1200;8400;24600;26;27;31;55;21;7;1;0;0;0;0;0;100;30.95;2.38;588;100;-1100;2352;9408;10584;11760;14112
35;BingBOng21;81;900;8100;21400;32;23;26;60;16;5;0;0;0;0;0;0;100;39.51;11.93;567;100;1000;2268;9072;10206;11340;13608
36;TheMaxXx;80;0;8000;20600;32;24;24;63;11;6;0;0;0;0;0;0;100;40;14.17;560;100;100;2240;8960;10080;11200;13440
37;Star_IOM;77;300;7700;24600;28;33;16;50;17;8;1;1;0;0;0;0;100;36.36;-6.49;539;100;400;2156;8624;9702;10780;12936
38;Leleu-77;76;600;7600;22000;24;23;29;56;13;6;0;1;0;0;0;0;100;31.58;3.51;532;100;700;2128;8512;9576;10640;12768
39;isolab;76;1200;7600;20400;30;23;23;59;10;6;1;0;0;0;0;0;100;39.47;10.53;532;100;1300;2128;8512;9576;10640;12768
40;jjpjn;76;-3000;7600;19400;21;14;41;61;11;3;1;0;0;0;0;0;100;27.63;14.91;532;100;-2900;2128;8512;9576;10640;12768
41;1FlipMore;70;2000;7000;20600;25;21;24;52;12;4;1;1;0;0;0;0;100;35.71;1.9;490;100;2100;1960;7840;8820;9800;11760
42;Patrun50;70;0;7000;18600;28;25;17;52;13;5;0;0;0;0;0;0;100;40;11.43;490;100;100;1960;7840;8820;9800;11760
43;Biscotto06;69;-900;6900;17800;25;23;21;51;16;2;0;0;0;0;0;0;100;36.23;14.01;483;100;-800;1932;7728;8694;9660;11592
44;Christian.G;69;-1300;6900;18600;22;16;31;51;12;6;0;0;0;0;0;0;100;31.88;10.14;483;100;-1200;1932;7728;8694;9660;11592
45;longway;69;900;6900;21800;22;21;26;45;12;10;2;0;0;0;0;0;100;31.88;-5.31;483;100;1000;1932;7728;8694;9660;11592
46;lol_Sverev;67;-1900;6700;16400;23;23;21;55;9;3;0;0;0;0;0;0;100;34.33;18.41;469;100;-1800;1876;7504;8442;9380;11256
47;macssime;65;-900;6500;15800;22;16;27;54;8;3;0;0;0;0;0;0;100;33.85;18.97;455;100;-800;1820;7280;8190;9100;10920
48;tong26;65;100;6500;18000;26;14;25;48;11;5;1;0;0;0;0;0;100;40;7.69;455;100;200;1820;7280;8190;9100;10920
49;DesperHate;61;700;6100;15400;28;19;14;49;8;4;0;0;0;0;0;0;100;45.9;15.85;427;100;800;1708;6832;7686;8540;10248
50;djy86;61;1100;6100;16800;25;17;19;46;7;8;0;0;0;0;0;0;100;40.98;8.2;427;100;1200;1708;6832;7686;8540;10248
51;PokerAJ_2010;58;-600;5800;15200;23;21;14;47;4;7;0;0;0;0;0;0;100;39.66;12.64;406;50;-550;1624;6496;7308;8120;9744
52;Titleist915;58;-800;5800;16400;22;19;17;45;6;5;2;0;0;0;0;0;100;37.93;5.75;406;50;-750;1624;6496;7308;8120;9744
54;LULUBES;55;300;5500;15800;16;22;17;40;8;6;1;0;0;0;0;0;100;29.09;4.24;385;50;350;1540;6160;6930;7700;9240
55;Simj95;54;1800;5400;16400;23;12;19;37;13;3;0;1;0;0;0;0;100;42.59;-1.23;378;50;1850;1512;6048;6804;7560;9072
57;HustlaStylez;51;700;5100;14200;22;18;11;41;4;4;2;0;0;0;0;0;100;43.14;7.19;357;50;750;1428;5712;6426;7140;8568
58;Baksparow;51;-1300;5100;12800;14;21;16;40;9;2;0;0;0;0;0;0;100;27.45;16.34;357;50;-1250;1428;5712;6426;7140;8568
