rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;HfC_LoVeR;2834;-425;70925;191450;1045;987;802;2131;472;207;22;2;0;0;0;0;25.03;36.87;10.02;4964.75;2250;1825;19859;79436;89365.5;99295;119154
2;Hey_Jude;2363;675;59075;161050;848;817;698;1768;398;169;26;2;0;0;0;0;25;35.89;9.13;4135.25;1500;2175;16541;66164;74434.5;82705;99246
3;ChildCZ;1734;1050;43350;118200;656;578;500;1295;283;141;14;1;0;0;0;0;25;37.83;9.11;3034.5;1000;2050;12138;48552;54621;60690;72828
4;BetterCallMe;1483;-1325;43625;116350;533;464;486;1145;229;94;12;2;1;0;0;0;29.42;35.94;11.1;3053.75;750;-575;12215;48860;54967.5;61075;73290
5;seseeldiablo;1260;-2600;38700;102800;458;442;360;968;207;74;10;0;1;0;0;0;30.71;36.35;11.46;2709;500;-2100;10836;43344;48762;54180;65016
7;Nonassis;1123;-3825;28075;72850;366;469;288;875;174;68;6;0;0;0;0;0;25;32.59;13.51;1965.25;375;-3450;7861;31444;35374.5;39305;47166
8;O0IIIIII0O;962;11800;48100;186800;354;349;259;739;146;69;6;0;0;1;1;0;50;36.8;-29.45;3367;225;12025;13468;53872;60606;67340;80808
9;TopGunJTs;944;-650;23600;63700;353;303;288;706;158;74;6;0;0;0;0;0;25;37.39;10.03;1652;225;-425;6608;26432;29736;33040;39648
10;gogepok37;508;2950;12700;38450;176;162;170;391;78;34;4;0;0;1;0;0;25;34.65;-0.92;889;225;3175;3556;14224;16002;17780;21336
11;BanFromPluto;493;2125;12325;34750;203;154;136;360;86;46;0;0;1;0;0;0;25;41.18;6.02;862.75;150;2275;3451;13804;15529.5;17255;20706
12;virgil1911;491;-575;12325;33850;175;166;150;366;76;47;1;1;0;0;0;0;25.1;35.64;8.45;862.75;150;-425;3451;13804;15529.5;17255;20706
13;jetelamet13;461;-1525;12875;34700;148;125;188;344;83;32;1;1;0;0;0;0;27.93;32.1;10.16;901.25;150;-1375;3605;14420;16222.5;18025;21630
14;Paire-severe;456;1000;12350;35900;163;195;98;332;78;38;5;3;0;0;0;0;27.08;35.75;3.1;864.5;150;1150;3458;13832;15561;17290;20748
15;NadineRomano;432;-525;14725;40350;149;157;126;324;72;32;2;2;0;0;0;0;34.09;34.49;8.66;1030.75;150;-375;4123;16492;18553.5;20615;24738
