rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
2;itsfree;1317;-3300;131700;359000;469;493;355;992;223;89;11;1;1;0;0;0;100;35.61;9.14;9219;2250;-1050;36876;147504;165942;184380;221256
4;1FlipMore;571;2300;57100;159800;207;177;187;415;102;50;2;2;0;0;0;0;100;36.25;6.71;3997;1000;3300;15988;63952;71946;79940;95928
5;natax1;568;-8600;56800;162000;187;210;171;433;84;43;3;4;1;0;0;0;100;32.92;4.93;3976;750;-7850;15904;63616;71568;79520;95424
6;Tire-fesses;531;-100;53100;150400;194;191;146;395;91;40;2;2;1;0;0;0;100;36.53;5.59;3717;500;400;14868;59472;66906;74340;89208
7;Biquettesick;497;-3100;49700;130000;177;157;163;388;81;25;1;2;0;0;0;0;100;35.61;12.81;3479;500;-2600;13916;55664;62622;69580;83496
8;proscoo;322;4000;32200;93400;124;101;97;222;68;28;3;1;0;0;0;0;100;38.51;3.31;2254;350;4350;9016;36064;40572;45080;54096
9;raar91;230;1000;23000;61800;91;76;63;170;43;16;1;0;0;0;0;0;100;39.57;10.43;1610;350;1350;6440;25760;28980;32200;38640
10;GuideAA;215;-2100;21500;59800;80;81;54;154;47;12;1;1;0;0;0;0;100;37.21;7.29;1505;350;-1750;6020;24080;27090;30100;36120
11;ManGoItsMe;209;3500;20900;58200;81;71;57;152;38;16;3;0;0;0;0;0;100;38.76;7.18;1463;250;3750;5852;23408;26334;29260;35112
13;EN_VACANCES;194;3800;19400;52400;78;67;49;146;35;12;0;1;0;0;0;0;100;40.21;9.97;1358;250;4050;5432;21728;24444;27160;32592
14;Armani78520;170;-1200;17000;46800;56;59;55;121;34;15;0;0;0;0;0;0;100;32.94;8.24;1190;250;-950;4760;19040;21420;23800;28560
