rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;stasiukaxz11;1973;-1225;49325;133700;711;751;511;1503;301;148;17;4;0;0;0;0;25;36.04;9.65;3452.75;2250;1025;13811;55244;62149.5;69055;82866
2;Petonbet;1707;-4775;42675;113250;576;635;496;1321;265;108;11;1;1;0;0;0;25;33.74;11.54;2987.25;1500;-3275;11949;47796;53770.5;59745;71694
3;unasmonfrere;1350;-1400;67500;191900;484;492;374;1006;234;100;9;0;0;1;0;0;50;35.85;5.23;4725;1000;-400;18900;75600;85050;94500;113400
4;BetterCallMe;1230;-1975;43925;121500;417;417;396;914;222;86;5;1;2;0;0;0;35.71;33.9;7.8;3074.75;750;-1225;12299;49196;55345.5;61495;73794
5;lhelicoptere;1082;800;27050;70800;416;381;285;845;154;76;7;0;0;0;0;0;25;38.45;12.75;1893.5;500;1300;7574;30296;34083;37870;45444
6;Tu_Te_Calm;706;4125;24525;114800;261;209;236;547;105;45;7;1;0;0;1;0;34.74;36.97;-56.03;1716.75;375;4500;6867;27468;30901.5;34335;41202
7;adopteunbet;706;-1400;35300;95100;256;242;208;536;115;50;3;2;0;0;0;0;50;36.26;10.2;2471;375;-1025;9884;39536;44478;49420;59304
8;MrTs222;648;1150;16200;43250;260;210;178;497;97;48;6;0;0;0;0;0;25;40.12;11.01;1134;225;1375;4536;18144;20412;22680;27216
9;KhaleesiFTW;599;1375;14975;39900;233;190;176;458;95;40;6;0;0;0;0;0;25;38.9;11.19;1048.25;225;1600;4193;16772;18868.5;20965;25158
11;megapitch;489;1375;12225;32700;202;173;114;373;76;38;1;1;0;0;0;0;25;41.31;10.84;855.75;150;1525;3423;13692;15403.5;17115;20538
12;MM18;482;-425;17475;47100;173;155;154;350;93;35;4;0;0;0;0;0;36.26;35.89;10.16;1223.25;150;-275;4893;19572;22018.5;24465;29358
13;BurjAlArab;479;-2375;12875;33150;151;180;148;369;80;29;1;0;0;0;0;0;26.88;31.52;14.17;901.25;150;-2225;3605;14420;16222.5;18025;21630
14;LordBendtner;469;300;14350;37050;185;178;106;368;71;27;3;0;0;0;0;0;30.6;39.45;13.94;1004.5;150;450;4018;16072;18081;20090;24108
15;Touchdown67.;465;-2425;17225;43300;172;149;144;372;66;24;3;0;0;0;0;0;37.04;36.99;16.21;1205.75;150;-2275;4823;19292;21703.5;24115;28938
16;sirsirsir;464;-200;11950;32700;166;157;141;345;77;39;2;1;0;0;0;0;25.75;35.78;8.79;836.5;75;-125;3346;13384;15057;16730;20076
17;grenat57525;437;-225;13525;35150;166;132;139;341;68;26;2;0;0;0;0;0;30.95;37.99;13.37;946.75;75;-150;3787;15148;17041.5;18935;22722
18;jetelamet13;416;-1400;11350;29050;144;119;153;333;50;29;4;0;0;0;0;0;27.28;34.62;14.68;794.5;75;-1325;3178;12712;14301;15890;19068
22;SAMSHAGIRL;372;-300;12200;33550;135;121;116;273;63;33;3;0;0;0;0;0;32.8;36.29;8.33;854;75;-225;3416;13664;15372;17080;20496
23;SERGIO3110;371;-1700;12900;33550;126;100;145;283;63;24;1;0;0;0;0;0;34.77;33.96;13.31;903;75;-1625;3612;14448;16254;18060;21672
24;DarkJosette;348;-875;10975;30900;119;125;104;256;58;30;3;1;0;0;0;0;31.54;34.2;6.15;768.25;75;-800;3073;12292;13828.5;15365;18438
26;virgie79;313;-1075;9825;26450;98;96;119;242;45;22;3;1;0;0;0;0;31.39;31.31;10.26;687.75;50;-1025;2751;11004;12379.5;13755;16506
27;- Viet -;307;-1450;7750;20200;97;109;101;232;59;16;0;0;0;0;0;0;25.24;31.6;13.12;542.5;50;-1400;2170;8680;9765;10850;13020
28;AdAugusta;307;-850;15350;42400;108;108;91;238;45;22;1;0;1;0;0;0;50;35.18;7.93;1074.5;50;-800;4298;17192;19341;21490;25788
29;gogepok37;291;-1125;7275;19150;100;92;99;228;40;20;3;0;0;0;0;0;25;34.36;12.26;509.25;50;-1075;2037;8148;9166.5;10185;12222
30;AAnus Etroit;290;-1025;10275;26900;99;97;94;232;34;23;1;0;0;0;0;0;35.43;34.14;12.73;719.25;50;-975;2877;11508;12946.5;14385;17262
31;Tinitouns31;284;-100;7100;19000;107;92;85;214;53;15;1;1;0;0;0;0;25;37.68;10.8;497;50;-50;1988;7952;8946;9940;11928
33;siddd;273;-1750;13650;35700;92;91;90;212;38;23;0;0;0;0;0;0;50;33.7;12.82;955.5;50;-1700;3822;15288;17199;19110;22932
