rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
2;raar91;1400;-6200;140000;376200;516;488;396;1063;226;97;13;1;0;0;0;0;100;36.86;10.43;9800;2250;-3950;39200;156800;176400;196000;235200
3;monkey4242;900;-7800;90000;242600;313;251;336;668;163;63;6;0;0;0;0;0;100;34.78;10.15;6300;1500;-6300;25200;100800;113400;126000;151200
4;Gini2a;709;-7100;70900;188800;243;276;190;549;97;57;6;0;0;0;0;0;100;34.27;11.24;4963;1000;-6100;19852;79408;89334;99260;119112
5;EN_VACANCES;558;-5200;55800;149400;189;206;163;430;84;38;5;1;0;0;0;0;100;33.87;10.75;3906;750;-4450;15624;62496;70308;78120;93744
6;proscoo;403;3700;40300;106800;170;122;111;302;75;24;2;0;0;0;0;0;100;42.18;11.66;2821;500;4200;11284;45136;50778;56420;67704
7;Biquettesick;397;300;39700;112000;135;107;155;283;84;23;6;1;0;0;0;0;100;34.01;5.96;2779;500;800;11116;44464;50022;55580;66696
8;djfinck;389;-5300;38900;98600;127;139;123;310;58;19;2;0;0;0;0;0;100;32.65;15.51;2723;350;-4950;10892;43568;49014;54460;65352
10;stephou89;352;-2800;35200;93800;116;108;128;270;56;24;1;1;0;0;0;0;100;32.95;11.17;2464;350;-2450;9856;39424;44352;49280;59136
11;RagazzaBella;330;-3200;33000;99000;97;73;160;228;64;33;2;3;0;0;0;0;100;29.39;0;2310;250;-2950;9240;36960;41580;46200;55440
12;PAN PAN QQ;305;1500;30500;88000;110;108;87;214;58;30;2;1;0;0;0;0;100;36.07;3.83;2135;250;1750;8540;34160;38430;42700;51240
13;itsfree;285;-700;28500;74800;110;106;69;214;55;15;1;0;0;0;0;0;100;38.6;12.51;1995;250;-450;7980;31920;35910;39900;47880
14;_s4_;247;-900;24700;64400;93;94;60;190;41;15;1;0;0;0;0;0;100;37.65;13.09;1729;250;-650;6916;27664;31122;34580;41496
15;paye cafard;234;-800;23400;64400;83;79;72;181;29;21;2;1;0;0;0;0;100;35.47;8.26;1638;250;-550;6552;26208;29484;32760;39312
16;siddd;229;-500;22900;61600;87;63;79;169;45;13;2;0;0;0;0;0;100;37.99;10.33;1603;150;-350;6412;25648;28854;32060;38472
17;nico-malab;220;-5200;22000;58600;61;59;100;162;43;15;0;0;0;0;0;0;100;27.73;11.21;1540;150;-5050;6160;24640;27720;30800;36960
18;gibonFRUITE;198;5400;19800;60000;87;63;48;137;38;19;2;2;0;0;0;0;100;43.94;-1.01;1386;150;5550;5544;22176;24948;27720;33264
19;ManGoItsMe;197;-2100;19700;53000;67;68;62;146;36;14;1;0;0;0;0;0;100;34.01;10.32;1379;150;-1950;5516;22064;24822;27580;33096
21;LickMyEvChip;185;-500;18500;47000;71;55;59;143;34;8;0;0;0;0;0;0;100;38.38;15.32;1295;150;-350;5180;20720;23310;25900;31080
22;MM18;174;-1800;17400;45800;58;62;54;136;23;14;1;0;0;0;0;0;100;33.33;12.26;1218;150;-1650;4872;19488;21924;24360;29232
23;-Level99;165;1500;16500;46200;65;52;48;118;32;13;2;0;0;0;0;0;100;39.39;6.67;1155;150;1650;4620;18480;20790;23100;27720
25;johnnygamble;161;-2900;16100;44800;44;64;53;118;34;6;2;1;0;0;0;0;100;27.33;7.25;1127;150;-2750;4508;18032;20286;22540;27048
26;Thx Teerak;155;-1100;15500;41400;57;52;46;122;18;13;2;0;0;0;0;0;100;36.77;10.97;1085;100;-1000;4340;17360;19530;21700;26040
27;1FlipMore;154;3200;15400;42800;63;48;43;114;22;17;1;0;0;0;0;0;100;40.91;7.36;1078;100;3300;4312;17248;19404;21560;25872
28;tong26;152;400;15200;42600;52;32;68;108;31;11;2;0;0;0;0;0;100;34.21;6.58;1064;100;500;4256;17024;19152;21280;25536
30;letsgamboule;145;-2300;14500;40600;46;56;43;104;28;11;2;0;0;0;0;0;100;31.72;6.67;1015;100;-2200;4060;16240;18270;20300;24360
31;5massam5;142;-800;14200;39200;45;44;53;104;22;16;0;0;0;0;0;0;100;31.69;7.98;994;100;-700;3976;15904;17892;19880;23856
32;castorseb;128;1200;12800;35200;53;40;35;94;24;8;2;0;0;0;0;0;100;41.41;8.33;896;100;1300;3584;14336;16128;17920;21504
33;PairPicAss;125;100;12500;34800;45;46;34;90;25;8;2;0;0;0;0;0;100;36;7.2;875;100;200;3500;14000;15750;17500;21000
34;1flip 2win;125;-900;12500;33600;40;40;45;94;23;6;2;0;0;0;0;0;100;32;10.4;875;100;-800;3500;14000;15750;17500;21000
35;chikhaoui83;122;-200;12200;33000;44;43;35;94;17;9;2;0;0;0;0;0;100;36.07;9.84;854;100;-100;3416;13664;15372;17080;20496
36;Lydie des L5;119;-1300;11900;32200;40;43;36;87;22;10;0;0;0;0;0;0;100;33.61;9.8;833;100;-1200;3332;13328;14994;16660;19992
37;sunny_flower;119;-100;11900;29400;43;37;39;98;18;1;2;0;0;0;0;0;100;36.13;17.65;833;100;0;3332;13328;14994;16660;19992
38;Akhym94;118;-3600;11800;28400;32;45;41;97;18;3;0;0;0;0;0;0;100;27.12;19.77;826;100;-3500;3304;13216;14868;16520;19824
40;I YouPi I;118;-400;11800;29200;41;49;28;95;18;5;0;0;0;0;0;0;100;34.75;17.51;826;100;-300;3304;13216;14868;16520;19824
41;Malhabah;116;-600;11600;36000;31;24;61;83;26;5;1;0;1;0;0;0;100;26.72;-3.45;812;100;-500;3248;12992;14616;16240;19488
42;MIAOUUUUUUUU;112;3200;11200;30600;45;28;39;84;19;7;2;0;0;0;0;0;100;40.18;8.93;784;100;3300;3136;12544;14112;15680;18816
43;Papatouche;105;-1900;10500;25000;36;36;33;88;14;3;0;0;0;0;0;0;100;34.29;20.63;735;100;-1800;2940;11760;13230;14700;17640
44;MA3526;101;-1100;10100;27400;33;33;35;78;12;10;1;0;0;0;0;0;100;32.67;9.57;707;100;-1000;2828;11312;12726;14140;16968
45;Ninbulss;98;-1800;9800;25000;31;24;43;75;19;4;0;0;0;0;0;0;100;31.63;14.97;686;100;-1700;2744;10976;12348;13720;16464
46;nakii;97;-300;9700;26600;32;28;37;73;14;9;1;0;0;0;0;0;100;32.99;8.59;679;100;-200;2716;10864;12222;13580;16296
47;BurjAlArab;91;-1100;9100;23600;32;29;30;74;9;7;1;0;0;0;0;0;100;35.16;13.55;637;100;-1000;2548;10192;11466;12740;15288
48;Mariutz;88;-800;8800;24000;27;22;39;67;10;11;0;0;0;0;0;0;100;30.68;9.09;616;100;-700;2464;9856;11088;12320;14784
49;Secwetwetwet;86;-1800;8600;22400;25;14;47;67;12;7;0;0;0;0;0;0;100;29.07;13.18;602;100;-1700;2408;9632;10836;12040;14448
50;AAnus Etroit;83;-300;8300;20800;32;28;23;67;11;5;0;0;0;0;0;0;100;38.55;16.47;581;100;-200;2324;9296;10458;11620;13944
51;dubbelfriss1;82;-600;8200;21800;29;28;25;60;17;5;0;0;0;0;0;0;100;35.37;11.38;574;50;-550;2296;9184;10332;11480;13776
52;Picciotto;81;-1300;8100;22600;24;26;31;62;12;4;3;0;0;0;0;0;100;29.63;7;567;50;-1250;2268;9072;10206;11340;13608
53;dudu69999;80;-1600;8000;19600;24;33;23;64;14;2;0;0;0;0;0;0;100;30;18.33;560;50;-1550;2240;8960;10080;11200;13440
54;StillStay;76;-3200;7600;20600;16;35;25;57;11;8;0;0;0;0;0;0;100;21.05;9.65;532;50;-3150;2128;8512;9576;10640;12768
56;selfmedman;75;300;7500;21400;26;16;33;57;8;8;2;0;0;0;0;0;100;34.67;4.89;525;50;350;2100;8400;9450;10500;12600
57;Tony_Cmister;73;300;7300;20600;26;27;20;52;14;6;1;0;0;0;0;0;100;35.62;5.94;511;50;350;2044;8176;9198;10220;12264
58;MorX13;73;-500;7300;21200;23;24;26;51;15;5;2;0;0;0;0;0;100;31.51;3.2;511;50;-450;2044;8176;9198;10220;12264
59;depeche27;73;-500;7300;19200;25;22;26;54;15;4;0;0;0;0;0;0;100;34.25;12.33;511;50;-450;2044;8176;9198;10220;12264
60;MAYFAIRW1K;71;-700;7100;19600;24;24;23;51;15;4;1;0;0;0;0;0;100;33.8;7.98;497;50;-650;1988;7952;8946;9940;11928
61;Titankratos;71;1500;7100;20400;28;22;21;54;12;3;1;1;0;0;0;0;100;39.44;4.23;497;50;1550;1988;7952;8946;9940;11928
62;GuideAA;69;-1900;6900;19600;17;29;23;51;9;8;1;0;0;0;0;0;100;24.64;5.31;483;50;-1850;1932;7728;8694;9660;11592
63;sowclet;69;1900;6900;19400;30;18;21;50;10;9;0;0;0;0;0;0;100;43.48;6.28;483;50;1950;1932;7728;8694;9660;11592
