rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;Hey_Jude;2648;-2900;66200;181800;935;907;806;2023;411;192;19;2;0;1;0;0;25;35.31;8.46;4634;2250;-650;18536;74144;83412;92680;111216
2;BetterCallMe;1733;-7725;62525;165300;576;560;597;1346;252;124;7;4;0;0;0;0;36.08;33.24;11.88;4376.75;1500;-6225;17507;70028;78781.5;87535;105042
3;lkjhgfd1;1560;450;39000;106600;571;531;458;1183;251;109;13;3;1;0;0;0;25;36.6;8.89;2730;1000;1450;10920;43680;49140;54600;65520
4;stasiukaxz11;1492;1550;37300;102100;572;527;393;1120;233;122;16;1;0;0;0;0;25;38.34;8.76;2611;750;2300;10444;41776;46998;52220;62664
5;D3cor;1351;-1200;34050;89950;487;473;391;1031;235;72;12;1;0;0;0;0;25.2;36.05;11.94;2383.5;500;-700;9534;38136;42903;47670;57204
7;MrTs222;1149;1675;28725;77900;444;412;293;863;199;79;7;0;1;0;0;0;25;38.64;9.6;2010.75;375;2050;8043;32172;36193.5;40215;48258
8;Bangaloo;1141;-575;30325;83500;391;389;361;856;181;90;13;0;1;0;0;0;26.58;34.27;8.22;2122.75;225;-350;8491;33964;38209.5;42455;50946
9;adopteunbet;1049;1150;52450;140600;386;358;305;784;187;71;7;0;0;0;0;0;50;36.8;10.65;3671.5;225;1375;14686;58744;66087;73430;88116
10;LordBendtner;929;625;23225;62050;351;335;243;704;150;69;6;0;0;0;0;0;25;37.78;10.94;1625.75;225;850;6503;26012;29263.5;32515;39018
11;Aaanditsgone;927;1275;36525;1e+05;346;307;274;688;151;78;9;1;0;0;0;0;39.4;37.32;8.74;2556.75;150;1425;10227;40908;46021.5;51135;61362
12;U.S.Tuermer.;888;1550;22200;59550;343;355;190;660;169;51;8;0;0;0;0;0;25;38.63;10.59;1554;150;1700;6216;24864;27972;31080;37296
13;gogepok37;667;-375;16675;45450;243;230;194;503;101;58;4;1;0;0;0;0;25;36.43;9.15;1167.25;150;-225;4669;18676;21010.5;23345;28014
14;nounieu;513;150;16250;42150;195;168;150;394;81;35;3;0;0;0;0;0;31.68;38.01;13.54;1137.5;150;300;4550;18200;20475;22750;27300
15;AndriusP7;511;2150;22250;84550;188;196;127;374;98;36;2;0;0;0;1;0;43.54;36.79;-26.67;1557.5;150;2300;6230;24920;28035;31150;37380
16;lhelicoptere;488;-50;12200;32150;184;164;140;373;77;37;1;0;0;0;0;0;25;37.7;12.16;854;75;25;3416;13664;15372;17080;20496
17;BanFromPluto;452;-1600;12600;32600;157;160;135;350;74;26;2;0;0;0;0;0;27.88;34.73;13.76;882;75;-1525;3528;14112;15876;17640;21168
18;windguru14;417;-475;12625;34250;151;125;141;315;70;25;6;1;0;0;0;0;30.28;36.21;9.57;883.75;75;-400;3535;14140;15907.5;17675;21210
19;5massam5;400;-500;13650;36600;144;123;133;307;62;29;2;0;0;0;0;0;34.12;36;10.62;955.5;75;-425;3822;15288;17199;19110;22932
20;AAnus Etroit;380;3225;17475;48700;165;102;113;276;71;28;5;0;0;0;0;0;45.99;43.42;7.11;1223.25;75;3300;4893;19572;22018.5;24465;29358
21;- Viet -;377;-475;9675;27200;132;117;128;272;63;38;4;0;0;0;0;0;25.66;35.01;6.29;677.25;75;-400;2709;10836;12190.5;13545;16254
22;BurjAlArab;359;-2725;11075;30200;101;133;125;266;60;29;3;1;0;0;0;0;30.85;28.13;9.1;775.25;75;-2650;3101;12404;13954.5;15505;18606
23;titouan888;357;-75;15725;42300;126;106;125;266;66;23;2;0;0;0;0;0;44.05;35.29;10.33;1100.75;75;0;4403;17612;19813.5;22015;26418
24;PAN PAN QQ;341;575;15575;40800;132;103;106;269;47;23;0;2;0;0;0;0;45.67;38.71;12.68;1090.25;75;650;4361;17444;19624.5;21805;26166
25;pepsifred;337;-25;9875;26950;126;104;107;256;52;24;5;0;0;0;0;0;29.3;37.39;9.03;691.25;75;50;2765;11060;12442.5;13825;16590
26;8iRoguH;335;950;8600;22650;137;98;100;266;43;23;2;1;0;0;0;0;25.67;40.9;12.21;602;50;1000;2408;9632;10836;12040;14448
29;I-Want-U;331;-2050;16550;42500;117;110;104;261;46;24;0;0;0;0;0;0;50;35.35;14.4;1158.5;50;-2000;4634;18536;20853;23170;27804
31;unasmonfrere;325;-2850;16250;42800;104;133;88;247;55;22;1;0;0;0;0;0;50;32;12.21;1137.5;50;-2800;4550;18200;20475;22750;27300
32;cpasvole;318;-500;8150;22100;109;86;123;234;58;25;1;0;0;0;0;0;25.63;34.28;9.61;570.5;50;-450;2282;9128;10269;11410;13692
34;PacoRayban;309;500;11350;31450;102;100;107;223;58;26;1;1;0;0;0;0;36.73;33.01;7.64;794.5;50;550;3178;12712;14301;15890;19068
35;.FUNNYFISH.;308;150;7700;22300;111;110;87;215;56;33;4;0;0;0;0;0;25;36.04;3.46;539;50;200;2156;8624;9702;10780;12936
36;piz55;306;-1950;8200;21350;89;112;105;238;50;16;1;1;0;0;0;0;26.8;29.08;13.21;574;50;-1900;2296;9184;10332;11480;13776
37;bestmind93;289;425;11075;30050;101;93;95;220;43;23;2;1;0;0;0;0;38.32;34.95;9.56;775.25;50;475;3101;12404;13954.5;15505;18606
38;DesperHate;285;1950;14250;36500;119;92;74;222;48;14;1;0;0;0;0;0;50;41.75;14.62;997.5;50;2000;3990;15960;17955;19950;23940
39;alicia1204;281;200;7300;19750;106;93;82;221;36;20;3;1;0;0;0;0;25.98;37.72;9.82;511;50;250;2044;8176;9198;10220;12264
40;iaia;276;-225;8225;22500;103;92;81;201;55;18;2;0;0;0;0;0;29.8;37.32;8.81;575.75;50;-175;2303;9212;10363.5;11515;13818
41;poker-trips;275;125;6925;19700;89;112;74;193;60;16;6;0;0;0;0;0;25.18;32.36;5.17;484.75;50;175;1939;7756;8725.5;9695;11634
42;Gini2a;275;-525;11825;31600;97;110;68;219;36;18;1;0;1;0;0;0;43;35.27;10.92;827.75;50;-475;3311;13244;14899.5;16555;19866
43;FalconX;271;-650;7600;21200;92;98;81;194;55;20;2;0;0;0;0;0;28.04;33.95;7.02;532;50;-600;2128;8512;9576;10640;12768
44;SAMSHAGIRL;269;-1000;7950;21900;91;87;91;201;46;18;4;0;0;0;0;0;29.55;33.83;8.18;556.5;50;-950;2226;8904;10017;11130;13356
45;rokilamoule;268;-25;7525;21100;92;98;78;200;43;24;0;1;0;0;0;0;28.08;34.33;6.53;526.75;50;25;2107;8428;9481.5;10535;12642
46;gamraissa;267;25;9175;24800;93;87;87;201;39;24;3;0;0;0;0;0;34.36;34.83;9.9;642.25;50;75;2569;10276;11560.5;12845;15414
47;Vi1MetrTaTet;263;-450;9950;26600;92;99;72;198;43;20;2;0;0;0;0;0;37.83;34.98;10.89;696.5;50;-400;2786;11144;12537;13930;16716
49;linololo;259;1275;8025;21550;101;88;70;197;42;17;2;1;0;0;0;0;30.98;39;10.49;561.75;50;1325;2247;8988;10111.5;11235;13482
50;jonyvegas;255;25;6375;16350;104;69;82;198;42;15;0;0;0;0;0;0;25;40.78;14.51;446.25;50;75;1785;7140;8032.5;8925;10710
51;megapitch;252;-1450;10400;29100;80;94;78;183;41;25;3;0;0;0;0;0;41.27;31.75;6.73;728;25;-1425;2912;11648;13104;14560;17472
52;Alesmith;247;1600;8300;22500;106;80;61;185;46;13;2;1;0;0;0;0;33.6;42.91;9.64;581;25;1625;2324;9296;10458;11620;13944
53;capone73000;240;350;8200;20850;89;68;83;189;38;12;1;0;0;0;0;0;34.17;37.08;15.24;574;25;375;2296;9184;10332;11480;13776
54;finette69;233;-275;8475;22100;85;57;91;184;35;12;2;0;0;0;0;0;36.37;36.48;13.08;593.25;25;-250;2373;9492;10678.5;11865;14238
55;kikerced;229;1425;9075;50050;75;79;75;162;47;18;0;1;0;0;1;0;39.63;32.75;-83.84;635.25;25;1450;2541;10164;11434.5;12705;15246
56;ChibreAcier7;226;275;10475;28450;87;73;66;165;43;16;2;0;0;0;0;0;46.35;38.5;9.47;733.25;25;300;2933;11732;13198.5;14665;17598
58;LENNY2610;223;-1125;6175;16300;68;71;84;168;39;16;0;0;0;0;0;0;27.69;30.49;12.01;432.25;25;-1100;1729;6916;7780.5;8645;10374
59;geicha;222;-75;7725;20550;82;56;84;164;40;16;2;0;0;0;0;0;34.8;36.94;11.33;540.75;25;-50;2163;8652;9733.5;10815;12978
60;Apouh;222;0;5650;16000;80;68;74;166;32;19;5;0;0;0;0;0;25.45;36.04;5.6;395.5;25;25;1582;6328;7119;7910;9492
61;_CaLviN_;222;-225;6175;15650;78;86;58;182;23;15;2;0;0;0;0;0;27.82;35.14;15.52;432.25;25;-200;1729;6916;7780.5;8645;10374
62;Ajeossi;219;-675;5475;14300;78;81;60;171;33;13;2;0;0;0;0;0;25;35.62;12.94;383.25;25;-650;1533;6132;6898.5;7665;9198
63;Arthur4King;218;-50;5450;14850;86;84;48;161;39;16;2;0;0;0;0;0;25;39.45;9.17;381.5;25;-25;1526;6104;6867;7630;9156
64;Julvar2210;215;-1650;6800;19050;59;71;85;162;32;19;1;1;0;0;0;0;31.63;27.44;6.62;476;25;-1625;1904;7616;8568;9520;11424
65;Tu_Te_Calm;214;800;9950;28600;82;78;54;157;32;23;1;1;0;0;0;0;46.5;38.32;4.19;696.5;25;825;2786;11144;12537;13930;16716
66;superfish75;210;-200;5950;16350;73;52;85;157;31;22;0;0;0;0;0;0;28.33;34.76;8.4;416.5;25;-175;1666;6664;7497;8330;9996
67;alinou53;210;-1150;5250;14150;63;66;81;157;35;17;1;0;0;0;0;0;25;30;10.16;367.5;25;-1125;1470;5880;6615;7350;8820
68;LeBasilicain;210;-1000;6900;17300;68;60;82;168;30;11;1;0;0;0;0;0;32.86;32.38;16.43;483;25;-975;1932;7728;8694;9660;11592
69;BienTravail;205;375;5125;12950;85;72;48;163;30;12;0;0;0;0;0;0;25;41.46;15.77;358.75;25;400;1435;5740;6457.5;7175;8610
70;WALYANISW;203;-1475;5925;14500;66;62;75;166;29;8;0;0;0;0;0;0;29.19;32.51;18.42;414.75;25;-1450;1659;6636;7465.5;8295;9954
71;l autre face;202;-725;6975;18750;72;57;73;153;33;14;2;0;0;0;0;0;34.53;35.64;10.39;488.25;25;-700;1953;7812;8788.5;9765;11718
72;Bambino4;200;300;5000;13650;75;66;59;142;43;15;0;0;0;0;0;0;25;37.5;9;350;25;325;1400;5600;6300;7000;8400
