rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;BetterCallMe;1619;-2325;40875;106400;588;520;511;1244;273;96;6;0;0;0;0;0;25.25;36.32;13.23;2861.25;2250;-75;11445;45780;51502.5;57225;68670
4;Ketelsen;1133;1150;56650;150400;427;420;286;862;190;74;6;1;0;0;0;0;50;37.69;11.5;3965.5;750;1900;15862;63448;71379;79310;95172
5;FeelAlive;1009;2975;31825;88950;372;379;258;752;172;72;10;2;1;0;0;0;31.54;36.87;6.83;2227.75;500;3475;8911;35644;40099.5;44555;53466
6;x_lucky_91;827;1050;29700;82400;310;308;209;627;129;65;4;1;1;0;0;0;35.91;37.48;7.52;2079;375;1425;8316;33264;37422;41580;49896
7;U.S.Tuermer.;762;-1400;19150;49700;282;282;198;597;110;52;3;0;0;0;0;0;25.13;37.01;13.49;1340.5;375;-1025;5362;21448;24129;26810;32172
8;KhaleesiFTW;762;550;19050;51250;273;252;237;579;118;60;4;1;0;0;0;0;25;35.83;10.32;1333.5;225;775;5334;21336;24003;26670;32004
9;BEBINO;741;-475;19225;50600;274;212;255;584;102;48;6;1;0;0;0;0;25.94;36.98;12.27;1345.75;225;-250;5383;21532;24223.5;26915;32298
10;troupineur;608;-1050;15200;42350;192;152;264;445;105;49;9;0;0;0;0;0;25;31.58;7.13;1064;225;-825;4256;17024;19152;21280;25536
11;lazgirouette;595;-450;15150;40950;214;190;191;444;104;41;6;0;0;0;0;0;25.46;35.97;9.9;1060.5;150;-300;4242;16968;19089;21210;25452
12;jetelamet13;565;-2500;21200;57550;197;154;214;432;92;39;0;2;0;0;0;0;37.52;34.87;9.51;1484;150;-2350;5936;23744;26712;29680;35616
15;Sucre-River;510;-1050;12900;57900;148;172;190;399;81;27;2;0;0;0;1;0;25.29;29.02;-49.61;903;150;-900;3612;14448;16254;18060;21672
16;abdennourrr;476;-1350;12050;32050;156;184;136;361;78;35;2;0;0;0;0;0;25.32;32.77;11.34;843.5;75;-1275;3374;13496;15183;16870;20244
17;jjsam;474;-1400;12350;32950;157;179;138;360;75;36;3;0;0;0;0;0;26.05;33.12;11.07;864.5;75;-1325;3458;13832;15561;17290;20748
18;babsetvero;456;-1750;18950;49900;153;168;135;354;73;22;6;1;0;0;0;0;41.56;33.55;12.23;1326.5;75;-1675;5306;21224;23877;26530;31836
19;papier fesse;444;150;11300;30200;167;157;120;339;66;37;2;0;0;0;0;0;25.45;37.61;10.91;791;75;225;3164;12656;14238;15820;18984
20;GuideAA;432;-400;10800;28700;163;148;121;336;59;35;1;1;0;0;0;0;25;37.73;11.42;756;75;-325;3024;12096;13608;15120;18144
21;Mauxbydick;418;625;10775;28900;164;134;120;312;71;33;2;0;0;0;0;0;25.78;39.23;10.6;754.25;75;700;3017;12068;13576.5;15085;18102
23;sara6373;382;625;10775;29100;150;115;117;288;61;28;5;0;0;0;0;0;28.21;39.27;9.98;754.25;75;700;3017;12068;13576.5;15085;18102
24;Reko;378;-1050;12600;33700;123;130;125;291;56;28;2;1;0;0;0;0;33.33;32.54;10.85;882;75;-975;3528;14112;15876;17640;21168
27;5massam5;342;1300;13650;35850;136;102;104;260;60;20;2;0;0;0;0;0;39.91;39.77;12.45;955.5;50;1350;3822;15288;17199;19110;22932
29;RagazzaBella;333;-3200;15900;42000;94;91;148;260;44;27;2;0;0;0;0;0;47.75;28.23;11.95;1113;50;-3150;4452;17808;20034;22260;26712
31;9pressure9;328;875;8275;22050;130;109;89;247;52;29;0;0;0;0;0;0;25.23;39.63;11.18;579.25;50;925;2317;9268;10426.5;11585;13902
32;ToutDevant;326;-925;8325;22900;104;132;90;235;65;25;1;0;0;0;0;0;25.54;31.9;8.31;582.75;50;-875;2331;9324;10489.5;11655;13986
33;iaia;318;300;8700;47450;104;107;107;246;51;17;3;0;0;0;1;0;27.36;32.7;-81.8;609;50;350;2436;9744;10962;12180;14616
34;Touchdown67.;316;1025;12225;57200;111;96;109;240;51;23;1;0;0;0;1;0;38.69;35.13;-55.96;855.75;50;1075;3423;13692;15403.5;17115;20538
35;paschaa0087;314;200;8100;21600;120;116;78;236;61;14;2;1;0;0;0;0;25.8;38.22;11.11;567;50;250;2268;9072;10206;11340;13608
36;Petonbet;310;575;13325;36600;120;106;84;230;47;30;2;1;0;0;0;0;42.98;38.71;8.44;932.75;50;625;3731;14924;16789.5;18655;22386
37;Constipete;305;1125;11425;32750;124;90;91;223;58;23;0;0;1;0;0;0;37.46;40.66;4.45;799.75;50;1175;3199;12796;14395.5;15995;19194
38;megapitch;297;75;7425;19800;117;92;88;226;50;20;0;1;0;0;0;0;25;39.39;11.11;519.75;50;125;2079;8316;9355.5;10395;12474
39;castorseb;291;-875;10425;27850;102;101;88;217;50;22;2;0;0;0;0;0;35.82;35.05;10.95;729.75;50;-825;2919;11676;13135.5;14595;17514
40;mancity444;286;250;9900;26900;101;89;96;213;49;22;2;0;0;0;0;0;34.62;35.31;9.43;693;50;300;2772;11088;12474;13860;16632
41;Size7;284;-1500;13150;34900;99;93;92;217;43;23;1;0;0;0;0;0;46.3;34.86;11.53;920.5;50;-1450;3682;14728;16569;18410;22092
42;LoicACC;277;375;7525;22800;102;98;77;211;35;21;7;3;0;0;0;0;27.17;36.82;-1;526.75;50;425;2107;8428;9481.5;10535;12642
44;Djoules59;270;1300;9900;26750;106;83;81;209;40;17;3;1;0;0;0;0;36.67;39.26;9.93;693;50;1350;2772;11088;12474;13860;16632
45;Matslide;264;-100;6600;18200;97;84;83;197;45;19;2;1;0;0;0;0;25;36.74;8.08;462;50;-50;1848;7392;8316;9240;11088
47;LULUBES;255;-300;11300;30300;99;96;60;193;39;23;0;0;0;0;0;0;44.31;38.82;10.62;791;50;-250;3164;12656;14238;15820;18984
48;KKickUrAAss;254;1450;6400;17750;112;76;66;188;41;24;0;1;0;0;0;0;25.2;44.09;7.55;448;50;1500;1792;7168;8064;8960;10752
49;lera 33;251;-625;8375;22300;83;97;71;196;36;18;1;0;0;0;0;0;33.37;33.07;11.24;586.25;50;-575;2345;9380;10552.5;11725;14070
50;Anaislea;247;-1800;6650;17700;75;78;94;188;41;16;2;0;0;0;0;0;26.92;30.36;11.28;465.5;50;-1750;1862;7448;8379;9310;11172
51;ChibreAcier7;240;-700;7900;21550;88;82;70;178;40;20;2;0;0;0;0;0;32.92;36.67;9.07;553;25;-675;2212;8848;9954;11060;13272
52;pium;236;825;8525;22650;87;75;74;186;28;19;2;1;0;0;0;0;36.12;36.86;11.44;596.75;25;850;2387;9548;10741.5;11935;14322
53;Muxa;235;-450;6050;15600;79;74;82;180;41;14;0;0;0;0;0;0;25.74;33.62;14.05;423.5;25;-425;1694;6776;7623;8470;10164
54;alex_hsb;231;-225;7075;18250;77;64;90;180;38;12;0;1;0;0;0;0;30.63;33.33;14.02;495.25;25;-200;1981;7924;8914.5;9905;11886
55;charivari1;231;-275;5775;15500;88;90;53;172;41;17;1;0;0;0;0;0;25;38.1;10.53;404.25;25;-250;1617;6468;7276.5;8085;9702
