rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
1;Expresso_GTO;1124;-800;112400;306400;414;371;339;860;167;86;9;1;1;0;0;0;100;36.83;9.13;7868;3500;2700;31472;125888;141624;157360;188832
2;MAMARAZZI;1033;-9700;103300;271000;351;403;279;796;168;61;8;0;0;0;0;0;100;33.98;12.55;7231;2250;-7450;28924;115696;130158;144620;173544
3;Biquettesick;727;-6100;72700;192000;258;225;244;563;105;54;5;0;0;0;0;0;100;35.49;11.97;5089;1500;-4600;20356;81424;91602;101780;122136
4;RagazzaBella;584;-10600;58400;157600;176;157;251;446;87;46;4;1;0;0;0;0;100;30.14;10.05;4088;1000;-9600;16352;65408;73584;81760;98112
5;LENNY2610;562;-7800;56200;148800;190;206;166;437;83;37;4;1;0;0;0;0;100;33.81;11.74;3934;750;-7050;15736;62944;70812;78680;94416
7;Jan Pier Lag;415;-6900;41500;105800;136;162;117;323;72;19;1;0;0;0;0;0;100;32.77;15.02;2905;500;-6400;11620;46480;52290;58100;69720
8;_s4_;365;-700;36500;101200;124;122;119;270;62;29;3;1;0;0;0;0;100;33.97;7.58;2555;350;-350;10220;40880;45990;51100;61320
9;raar91;326;-1400;32600;89800;113;117;96;251;53;19;2;0;1;0;0;0;100;34.66;8.18;2282;350;-1050;9128;36512;41076;45640;54768
10;itsfree;305;-4700;30500;82200;109;108;88;233;44;25;3;0;0;0;0;0;100;35.74;10.16;2135;350;-4350;8540;34160;38430;42700;51240
11;LickMyEvChip;284;800;28400;74400;111;91;82;218;46;19;1;0;0;0;0;0;100;39.08;12.68;1988;250;1050;7952;31808;35784;39760;47712
12;ChibreAcier7;175;100;17500;47000;62;68;45;129;32;14;0;0;0;0;0;0;100;35.43;10.48;1225;250;350;4900;19600;22050;24500;29400
13;betwin84;169;1700;16900;45400;64;48;57;131;27;9;1;1;0;0;0;0;100;37.87;10.45;1183;250;1950;4732;18928;21294;23660;28392
14;Excaliburne.;161;-2500;16100;45000;54;48;59;120;24;14;3;0;0;0;0;0;100;33.54;6.83;1127;250;-2250;4508;18032;20286;22540;27048
15;GuideAA;159;-1500;15900;44400;51;52;56;119;26;12;1;1;0;0;0;0;100;32.08;6.92;1113;250;-1250;4452;17808;20034;22260;26712
16;benj87;157;-1700;15700;40400;59;44;54;124;25;6;2;0;0;0;0;0;100;37.58;14.23;1099;150;-1550;4396;17584;19782;21980;26376
17;proscoo;154;-2200;15400;41200;55;54;45;117;26;9;2;0;0;0;0;0;100;35.71;10.82;1078;150;-2050;4312;17248;19404;21560;25872
