rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;averageBuyin;itmPercent;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD
2;proscoo;875;-100;87500;232600;331;242;302;681;116;70;8;0;0;0;0;0;100;37.83;11.39;6125;2250;2150;24500;98000;110250;122500;147000
3;itsfree;867;-7300;86700;230600;300;307;260;670;122;68;7;0;0;0;0;0;100;34.6;11.34;6069;1500;-5800;24276;97104;109242;121380;145656
4;Tire-fesses;694;200;69400;181200;261;255;178;548;97;43;5;1;0;0;0;0;100;37.61;12.97;4858;1000;1200;19432;77728;87444;97160;116592
5;1goal1dream;623;7100;62300;172600;232;204;187;471;94;53;4;0;1;0;0;0;100;37.24;7.65;4361;750;7850;17444;69776;78498;87220;104664
6;sunny_flower;566;-1000;56600;152200;207;200;159;432;95;38;0;0;1;0;0;0;100;36.57;10.37;3962;500;-500;15848;63392;71316;79240;95088
10;GuideAA;434;11600;43400;135000;153;170;111;336;56;39;2;0;0;1;0;0;100;35.25;-3.69;3038;350;11950;12152;48608;54684;60760;72912
11;-Level99;338;0;33800;89600;126;122;90;258;52;27;1;0;0;0;0;0;100;37.28;11.64;2366;250;250;9464;37856;42588;47320;56784
12;siddd;273;300;27300;79000;98;89;86;200;50;20;2;0;1;0;0;0;100;35.9;3.54;1911;250;550;7644;30576;34398;38220;45864
13;letsgamboule;208;1800;20800;77600;74;46;88;151;33;22;1;0;0;1;0;0;100;35.58;-24.36;1456;250;2050;5824;23296;26208;29120;34944
14;ghjuvanni13;195;-1700;19500;52600;66;69;60;144;34;17;0;0;0;0;0;0;100;33.85;10.09;1365;250;-1450;5460;21840;24570;27300;32760
15;Kimsing;194;-3200;19400;50200;62;65;67;150;31;13;0;0;0;0;0;0;100;31.96;13.75;1358;250;-2950;5432;21728;24444;27160;32592
16;Lydie des L5;187;-2900;18700;48000;62;58;67;148;27;11;1;0;0;0;0;0;100;33.16;14.44;1309;150;-2750;5236;20944;23562;26180;31416
18;4betspew;163;-300;16300;42000;59;53;51;125;29;9;0;0;0;0;0;0;100;36.2;14.11;1141;150;-150;4564;18256;20538;22820;27384
19;Mesja33;163;-2700;16300;40800;56;49;58;131;23;9;0;0;0;0;0;0;100;34.36;16.56;1141;150;-2550;4564;18256;20538;22820;27384
20;PaKaiKai;160;-400;16000;43400;61;54;45;122;21;16;1;0;0;0;0;0;100;38.12;9.58;1120;150;-250;4480;17920;20160;22400;26880
22;lucas32;152;-1400;15200;41000;52;62;38;113;27;11;1;0;0;0;0;0;100;34.21;10.09;1064;150;-1250;4256;17024;19152;21280;25536
23;Biquettesick;149;-1500;14900;41200;54;52;43;115;20;12;1;1;0;0;0;0;100;36.24;7.83;1043;150;-1350;4172;16688;18774;20860;25032
24;djfinck;144;-3800;14400;36400;40;52;52;115;20;9;0;0;0;0;0;0;100;27.78;15.74;1008;150;-3650;4032;16128;18144;20160;24192
25;dudu69999;141;1300;14100;38600;58;39;44;102;28;10;1;0;0;0;0;0;100;41.13;8.75;987;150;1450;3948;15792;17766;19740;23688
26;shark4s;141;-2300;14100;40600;47;45;49;98;24;19;0;0;0;0;0;0;100;33.33;4.02;987;100;-2200;3948;15792;17766;19740;23688
27;AApikcipsK;139;-700;13900;38200;45;41;53;102;24;12;1;0;0;0;0;0;100;32.37;8.39;973;100;-600;3892;15568;17514;19460;23352
28;I YouPi I;138;0;13800;35600;48;45;45;109;18;11;0;0;0;0;0;0;100;34.78;14.01;966;100;100;3864;15456;17388;19320;23184
29;ASDECOEUR23;135;-1900;13500;34400;44;41;50;108;19;7;1;0;0;0;0;0;100;32.59;15.06;945;100;-1800;3780;15120;17010;18900;22680
30;stephou89;131;-2500;13100;37000;40;34;57;91;28;11;1;0;0;0;0;0;100;30.53;5.85;917;100;-2400;3668;14672;16506;18340;22008
31;JeanLuc123;115;-2500;11500;30400;35;43;37;92;18;3;1;1;0;0;0;0;100;30.43;11.88;805;100;-2400;3220;12880;14490;16100;19320
32;MASTHIBERT13;110;-1200;11000;30200;35;34;41;82;17;10;1;0;0;0;0;0;100;31.82;8.48;770;100;-1100;3080;12320;13860;15400;18480
