rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Ketelsen;966;-1200;96600;278000;358;365;243;735;152;72;5;1;0;1;0;0
2;Basouli_;834;-1000;83400;215800;319;274;241;664;110;55;4;1;0;0;0;0
3;raar91;776;-600;77600;204200;286;256;234;611;117;42;5;0;1;0;0;0
4;proscoo;541;700;54100;136600;215;159;167;431;82;26;2;0;0;0;0;0
5;LePardon;480;-2400;48000;129800;165;178;137;370;74;27;8;1;0;0;0;0
6;_s4_;435;2100;43500;124000;154;159;122;315;83;33;3;0;1;0;0;0
7;Bangaloo;284;-5600;28400;77800;89;99;96;211;47;23;3;0;0;0;0;0
8;Biquettesick;268;-2800;26800;70200;96;81;91;209;39;18;2;0;0;0;0;0
9;RagazzaBella;251;-5900;25100;63400;77;53;121;201;34;16;0;0;0;0;0;0
10;Julesmanu;205;-300;20500;53400;74;56;75;158;34;12;1;0;0;0;0;0
11;Thx Teerak;166;2600;16600;51000;53;60;53;129;20;12;3;1;1;0;0;0
12;PaKaiKai;156;-1200;15600;45000;50;59;47;115;24;14;2;1;0;0;0;0
13;remonthemoon;149;1300;14900;45400;43;55;51;106;24;16;1;2;0;0;0;0
14;adopteunbet;141;2500;14100;36200;64;29;48;113;16;12;0;0;0;0;0;0
15;lol_Sverev;134;-600;13400;36000;44;41;49;103;23;7;0;1;0;0;0;0
16;Christian.G;122;-1600;12200;31200;41;44;37;97;16;9;0;0;0;0;0;0
17;Excaliburne.;122;3600;12200;34000;55;26;41;86;24;12;0;0;0;0;0;0
18;StillStay;118;-1800;11800;31400;40;32;46;90;19;8;1;0;0;0;0;0
19;Ding68;118;800;11800;33400;44;38;36;84;21;12;1;0;0;0;0;0
20;diazou30150;117;3700;11700;31400;57;32;28;86;22;9;0;0;0;0;0;0
21;MAMARAZZI;106;-200;10600;27800;36;39;31;84;13;8;1;0;0;0;0;0
22;LULUBES;106;-800;10600;25400;46;33;27;89;15;1;1;0;0;0;0;0
23;djy86;100;-1400;10000;25400;34;40;26;82;9;9;0;0;0;0;0;0
24;WAM888;100;-800;10000;26200;36;34;30;80;11;8;1;0;0;0;0;0
25;LickMyEvChip;98;-600;9800;27200;32;32;34;74;17;6;0;1;0;0;0;0
26;fibus12;94;-600;9400;24000;38;29;27;76;12;5;1;0;0;0;0;0
27;NicoFloflo;86;-1400;8600;22000;28;25;33;71;8;6;1;0;0;0;0;0
28;VincyVon;84;600;8400;22400;35;30;19;61;18;5;0;0;0;0;0;0
29;MATETALEX13;83;-100;8300;20400;32;23;28;68;11;4;0;0;0;0;0;0
30;Grizby75;82;-600;8200;22000;31;26;25;62;12;8;0;0;0;0;0;0
31;FireInTheHoL;81;-1100;8100;21600;25;27;29;60;17;3;1;0;0;0;0;0
32;EN_VACANCES;81;700;8100;24800;25;29;27;58;12;9;1;1;0;0;0;0
33;Ababurre;79;-1500;7900;21000;24;23;32;61;12;5;1;0;0;0;0;0
35;isolab;76;15000;7600;38400;31;17;28;62;9;4;0;0;0;1;0;0
36;belugga30;74;400;7400;20000;24;20;30;57;10;6;1;0;0;0;0;0
37;bigpok0502;74;-2000;7400;18400;24;29;21;60;10;4;0;0;0;0;0;0
38;ChibreAcier7;74;-2400;7400;18800;20;29;25;61;8;4;1;0;0;0;0;0
39;ManGoItsMe;74;-200;7400;18800;28;22;24;61;6;7;0;0;0;0;0;0
40;JeanLuc123;73;1300;7300;24000;27;20;26;55;11;6;0;0;1;0;0;0
41;crophopper;72;-1200;7200;17800;23;17;32;58;11;3;0;0;0;0;0;0
42;Xbet;70;-600;7000;18600;22;26;22;52;13;5;0;0;0;0;0;0
43;Jupy973;70;200;7000;18400;26;16;28;53;12;5;0;0;0;0;0;0
44;capone73000;66;-1400;6600;16200;23;23;20;55;9;1;1;0;0;0;0;0
45;unified38;65;300;6500;16800;24;17;24;51;9;5;0;0;0;0;0;0
46;Couille2BB;65;2300;6500;19800;32;20;13;39;18;8;0;0;0;0;0;0
47;gRIPSIKING;64;-800;6400;15600;24;21;19;55;6;2;1;0;0;0;0;0
48;ghjuvanni13;58;-800;5800;14800;22;17;19;46;10;1;1;0;0;0;0;0
49;_CaLviN_;58;-800;5800;15000;19;27;12;47;7;3;1;0;0;0;0;0
50;paye cafard;57;-1700;5700;13200;18;16;23;50;5;2;0;0;0;0;0;0
51;Gini2a;57;-2100;5700;13800;16;34;7;46;10;1;0;0;0;0;0;0
52;kiss23;56;-1400;5600;14200;16;17;23;44;9;3;0;0;0;0;0;0
53;PacoRayban;56;-1200;5600;15400;19;19;18;39;13;4;0;0;0;0;0;0
54;cetteberc;56;-800;5600;15200;16;17;23;40;12;4;0;0;0;0;0;0
55;xxxxYayoxxxx;55;500;5500;14200;22;18;15;42;10;3;0;0;0;0;0;0
56;MAYFAIRW1K;53;-500;5300;13000;20;17;16;43;8;2;0;0;0;0;0;0
57;UgotDurrred;52;-2000;5200;12800;13;22;17;41;10;1;0;0;0;0;0;0
58;Niniboxe;52;0;5200;14800;17;13;22;35;12;5;0;0;0;0;0;0
59;oliswingerz;51;-500;5100;12000;20;21;10;43;7;1;0;0;0;0;0;0
60;MJ5555;50;0;5000;13000;19;12;19;38;9;3;0;0;0;0;0;0
61;cyr25000;50;400;5000;12600;19;10;21;42;3;5;0;0;0;0;0;0
