rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
3;Biquettesick;679;-4500;67900;181200;245;245;189;517;112;45;4;1;0;0;0;0
4;raar91;674;800;67400;182400;256;213;205;519;100;46;7;2;0;0;0;0
5;P0iss0nss;624;-5800;62400;168200;209;232;183;464;111;45;4;0;0;0;0;0
6;Aoninenk;541;-3300;54100;144400;189;174;178;407;97;32;5;0;0;0;0;0
7;djfinck;480;-6000;48000;128600;158;178;144;364;78;36;1;1;0;0;0;0
8;jungle julia;437;2100;43700;118200;167;120;150;321;80;35;1;0;0;0;0;0
9;Tire-fesses;433;700;43300;118000;166;142;125;323;67;41;2;0;0;0;0;0
11;Runitdeeuux;409;-2900;40900;110400;144;169;96;309;68;29;2;1;0;0;0;0
13;_s4_;378;-800;37800;102600;137;121;120;286;64;23;4;1;0;0;0;0
15;PaKaiKai;361;-3300;36100;93800;132;125;104;274;68;18;1;0;0;0;0;0
16;Kimsing;316;2400;31600;86400;117;104;95;233;58;21;4;0;0;0;0;0
17;5massam5;295;-3700;29500;77800;103;74;118;226;51;17;0;1;0;0;0;0
18;MOOM13;290;-2400;29000;76000;95;97;98;235;33;18;3;1;0;0;0;0
21;fafou1981;263;-1500;26300;71400;95;71;97;203;34;22;4;0;0;0;0;0
22;RagazzaBella;258;-5600;25800;67200;84;62;112;199;42;16;1;0;0;0;0;0
23;Marcel45;255;-1300;25500;70800;92;108;55;183;47;24;1;0;0;0;0;0
25;jetelamet13;231;300;23100;61800;85;65;81;175;36;19;1;0;0;0;0;0
26;Tqpette;230;-3600;23000;58200;76;88;66;189;25;14;2;0;0;0;0;0
30;Akh130013;214;-1400;21400;59200;68;70;76;156;38;18;2;0;0;0;0;0
31;jenpeusplus;209;-2700;20900;53400;73;56;80;167;28;13;1;0;0;0;0;0
32;-Level99;203;-100;20300;57400;70;64;69;148;34;17;4;0;0;0;0;0
33;1flip 2win;200;2600;20000;54000;77;67;56;153;31;15;0;1;0;0;0;0
34;x_lucky_91;199;-3500;19900;53400;60;83;56;149;36;12;2;0;0;0;0;0
35;MorX13;183;-500;18300;47000;70;51;62;145;26;11;1;0;0;0;0;0
38;atend2sec;168;-600;16800;44400;59;57;52;127;28;13;0;0;0;0;0;0
39;sunny_flower;164;1000;16400;43800;69;45;50;125;23;16;0;0;0;0;0;0
41;Tissouette;146;3800;14600;42000;57;36;53;116;20;8;1;0;1;0;0;0
42;tou2dan;142;-2800;14200;35000;44;55;43;115;21;6;0;0;0;0;0;0
43;chouchou 21;138;-1400;13800;35200;45;39;54;109;20;9;0;0;0;0;0;0
44;adadi009;137;-700;13700;37600;45;45;47;98;27;12;0;0;0;0;0;0
45;moringoo;134;0;13400;37000;45;27;62;100;21;11;2;0;0;0;0;0
