rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Aaanditsgone;1055;-7500;105500;281000;371;401;283;799;180;67;9;0;0;0;0;0
2;Ketelsen;930;-3600;93000;246600;344;346;240;719;138;66;6;1;0;0;0;0
3;HustlaStylez;872;800;87200;239400;318;304;250;661;131;73;6;0;1;0;0;0
4;sunny_flower;755;2900;75500;206200;282;272;201;562;126;59;8;0;0;0;0;0
5;Drachno;730;2800;73000;213000;263;232;235;530;136;51;10;1;2;0;0;0
6;LENNY2610;583;-7700;58300;154200;184;222;177;448;94;35;6;0;0;0;0;0
7;raar91;489;-4700;48900;130600;169;168;152;371;85;29;3;1;0;0;0;0
8;MAMARAZZI;482;2600;48200;129800;185;180;117;369;80;25;7;1;0;0;0;0
9;RagazzaBella;463;-10700;46300;121800;134;128;201;358;68;35;2;0;0;0;0;0
10;JeanLuc123;426;200;42600;120400;160;152;114;309;82;33;1;0;1;0;0;0
11;Expresso_GTO;370;0;37000;98000;141;122;107;286;57;25;1;1;0;0;0;0
12;LoosIi;295;-3700;29500;81800;90;76;129;225;44;22;2;2;0;0;0;0
13;Biquettesick;273;-3700;27300;73800;88;91;94;204;44;24;1;0;0;0;0;0
14;MAYFAIRW1K;267;-5900;26700;71600;82;92;93;203;43;18;3;0;0;0;0;0
15;proscoo;240;1400;24000;61400;97;70;73;189;41;7;3;0;0;0;0;0
17;PandaPower;212;-1400;21200;57200;74;53;85;163;30;16;3;0;0;0;0;0
18;Tire-fesses;201;1900;20100;56600;81;64;56;148;35;15;2;1;0;0;0;0
19;EN_VACANCES;191;1900;19100;49800;80;64;47;146;34;10;1;0;0;0;0;0
20;yonathan1948;187;-2300;18700;50000;56;51;80;140;31;16;0;0;0;0;0;0
21;ACE02;185;-1100;18500;52000;64;57;64;127;41;17;0;0;0;0;0;0
22;Raton8011;169;-1700;16900;47400;51;68;50;124;28;14;3;0;0;0;0;0
23;Foufurieux06;158;5400;15800;43200;77;41;40;116;28;13;1;0;0;0;0;0
24;DesperHate;150;2000;15000;44400;56;52;42;106;25;17;1;1;0;0;0;0
25;torche08;144;-2800;14400;39000;42;38;64;111;19;12;2;0;0;0;0;0
26;-LuCh0-;127;2300;12700;35800;51;35;41;88;30;7;2;0;0;0;0;0
27;gRIPSIKING;124;-4200;12400;31000;30;44;50;97;23;4;0;0;0;0;0;0
28;Shori Nota;121;1700;12100;29000;55;33;33;101;16;4;0;0;0;0;0;0
29;djy86;118;1800;11800;33000;51;38;29;83;25;9;1;0;0;0;0;0
30;Astavista33;118;-800;11800;31200;40;26;52;87;24;7;0;0;0;0;0;0
31;BETTHESETT;116;1000;11600;30200;45;34;37;88;23;4;1;0;0;0;0;0
32;_s4_;113;500;11300;32200;45;30;38;86;12;12;3;0;0;0;0;0
33;1FlipMore;112;600;11200;29600;46;34;32;84;20;8;0;0;0;0;0;0
34;longway;111;-2300;11100;26400;35;38;38;92;17;2;0;0;0;0;0;0
35;Ghosty14;106;-1400;10600;29200;33;33;40;77;20;8;1;0;0;0;0;0
36;Malhabah;102;-4800;10200;26400;24;20;58;81;14;6;1;0;0;0;0;0
37;Simj95;101;-700;10100;27000;36;34;31;76;16;9;0;0;0;0;0;0
38;O0IIIIII0O;98;-1400;9800;24800;33;39;26;81;10;6;1;0;0;0;0;0
39;omahalpha;98;1600;9800;26000;38;24;36;75;14;9;0;0;0;0;0;0
40;WAM888;98;-1800;9800;25800;33;28;37;77;11;10;0;0;0;0;0;0
41;AAnus Etroit;97;-2100;9700;25000;33;29;35;78;12;6;1;0;0;0;0;0
42;tub55;97;-2300;9700;25800;30;33;34;77;12;6;2;0;0;0;0;0
43;Fifoudu13;96;-2600;9600;26200;27;29;40;72;13;11;0;0;0;0;0;0
44;windguru14;94;600;9400;24600;40;24;30;73;13;8;0;0;0;0;0;0
45;MisterGreg95;94;800;9400;29600;28;40;26;59;20;13;2;0;0;0;0;0
46;TOELMADE;90;-1800;9000;23400;28;17;45;70;13;7;0;0;0;0;0;0
47;zizmax;89;-1500;8900;22200;28;36;25;71;14;4;0;0;0;0;0;0
48;Lililou54;89;-100;8900;23600;33;34;22;66;17;6;0;0;0;0;0;0
49;JRRST;89;-700;8900;21600;33;28;28;71;17;1;0;0;0;0;0;0
