rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;DagheGOUTTE;777;-8100;77700;203600;258;304;215;593;133;48;3;0;0;0;0;0
2;proscoo;754;-6800;75400;207000;264;250;240;581;106;59;6;1;1;0;0;0
3;monkey4242;711;300;71100;194400;259;202;250;533;132;40;4;1;1;0;0;0
4;MAMARAZZI;647;-100;64700;174800;230;236;181;483;113;45;6;0;0;0;0;0
5;adopteunbet;601;-900;60100;155800;229;218;154;479;74;44;4;0;0;0;0;0
6;_s4_;571;-3100;57100;149000;203;195;173;441;90;38;2;0;0;0;0;0
7;Tire-fesses;532;-3200;53200;145800;190;200;142;398;97;34;2;0;1;0;0;0
8;Akhym94;341;-4300;34100;101800;112;130;99;256;47;28;8;1;1;0;0;0
9;SpaBienWalla;336;1000;33600;91400;134;91;111;250;55;29;2;0;0;0;0;0
10;sunny_flower;316;2200;31600;86200;121;112;83;239;51;20;6;0;0;0;0;0
11;LENNY2610;315;-5700;31500;83000;104;82;129;248;42;21;4;0;0;0;0;0
12;raar91;301;-3300;30100;76800;107;111;83;238;49;11;3;0;0;0;0;0
13;LoosIi;277;-1900;27700;77400;90;62;125;200;52;21;4;0;0;0;0;0
14;pollo401;274;-1600;27400;77400;94;65;115;207;41;21;3;2;0;0;0;0
15;compasole;235;-500;23500;61000;90;79;66;186;37;10;1;1;0;0;0;0
16;ValueMerguez;235;1900;23500;63400;95;89;51;176;40;17;2;0;0;0;0;0
17;bloutoussse;233;-2700;23300;60800;78;103;52;178;41;13;1;0;0;0;0;0
18;bongos;227;-2300;22700;61400;76;70;81;173;36;14;4;0;0;0;0;0
19;ti-breton;222;-1600;22200;61800;79;58;85;162;39;18;3;0;0;0;0;0
20;wtangw;220;-2200;22000;55800;82;54;84;176;33;9;2;0;0;0;0;0
21;jertiann;211;-300;21100;57400;82;75;54;159;32;18;2;0;0;0;0;0
22;paieoupasse;204;-800;20400;58400;70;74;60;162;26;11;1;4;0;0;0;0
23;Malhabah;185;-4500;18500;48200;54;41;90;142;30;13;0;0;0;0;0;0
24;LickMyEvChip;178;1800;17800;46600;74;67;37;134;33;11;0;0;0;0;0;0
25;PacoRayban;167;3300;16700;48400;72;59;36;132;23;8;3;0;1;0;0;0
26;LePardon;166;-1400;16600;42600;59;58;49;132;25;7;2;0;0;0;0;0
27;Chattardd;163;1300;16300;43400;66;48;49;125;29;8;0;1;0;0;0;0
