rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;itsfree;1609;-4700;160900;434800;592;554;463;1228;246;123;10;1;1;0;0;0
2;O0IIIIII0O;1266;-3600;126600;343000;437;445;384;947;230;81;6;1;1;0;0;0
3;GuideAA;947;-4100;94700;246400;340;347;260;728;157;60;2;0;0;0;0;0
4;proscoo;800;5200;80000;219400;301;255;244;603;127;60;8;2;0;0;0;0
5;-Level99;680;-10400;68000;183800;213;244;223;514;110;50;5;1;0;0;0;0
6;sunny_flower;680;-2800;68000;177400;254;221;205;529;108;39;3;1;0;0;0;0
7;Biquettesick;672;-7200;67200;185200;231;233;208;491;123;53;4;1;0;0;0;0
8;stephou89;544;-4400;54400;143600;191;149;204;416;84;43;1;0;0;0;0;0
10;4betspew;438;-4800;43800;115000;141;153;144;333;77;26;2;0;0;0;0;0
12;Tire-fesses;342;-600;34200;88400;129;125;88;271;44;26;1;0;0;0;0;0
14;RagazzaBella;326;-3200;32600;88600;106;80;140;243;49;34;0;0;0;0;0;0
18;Touchdown67.;250;-1200;25000;67200;90;74;86;186;49;14;0;1;0;0;0;0
19;raar91;250;0;25000;65000;94;91;65;192;41;17;0;0;0;0;0;0
20;Kimsing;245;-1100;24500;64200;89;86;70;192;36;14;3;0;0;0;0;0
21;djfinck;238;1200;23800;62000;93;68;77;183;38;17;0;0;0;0;0;0
22;carper01;225;100;22500;61200;83;78;64;170;37;14;4;0;0;0;0;0
23;Johnny.Chase;222;-3600;22200;60200;70;77;75;166;33;23;0;0;0;0;0;0
24;faceup;212;-1400;21200;53800;71;60;81;167;35;9;1;0;0;0;0;0
26;MAMARAZZI;195;-3700;19500;52200;59;71;65;147;34;12;2;0;0;0;0;0
27;TheKidStu;181;500;18100;50000;63;43;75;132;31;17;1;0;0;0;0;0
28;jungle julia;179;-4500;17900;44600;55;57;67;145;24;10;0;0;0;0;0;0
29;Thx Teerak;169;-2700;16900;45000;58;61;50;130;28;8;3;0;0;0;0;0
30;Panda35;153;-2700;15300;40000;46;60;47;118;25;9;1;0;0;0;0;0
31;tiwi60;138;-600;13800;35800;51;42;45;108;19;11;0;0;0;0;0;0
32;SERGIO3110;134;-2400;13400;34800;46;45;43;106;16;12;0;0;0;0;0;0
33;Lydie des L5;133;500;13300;37400;51;35;47;97;24;9;3;0;0;0;0;0
34;BETTHESETT;130;-800;13000;36400;47;43;40;91;26;13;0;0;0;0;0;0
35;Jynx Maze;123;4700;12300;37600;51;35;37;82;24;16;0;1;0;0;0;0
36;jenpeusplus;121;-1100;12100;31600;41;33;47;92;21;8;0;0;0;0;0;0
37;kisuceki;118;-1200;11800;32200;38;42;38;87;21;9;1;0;0;0;0;0
39;Msd.18;107;-1100;10700;29600;36;28;43;78;17;12;0;0;0;0;0;0
40;kaspa84;105;-2300;10500;29000;32;32;41;73;24;8;0;0;0;0;0;0
42;AAnus Etroit;102;-800;10200;27800;34;31;37;77;15;9;1;0;0;0;0;0
43;jetelamet13;99;-300;9900;27200;34;35;30;74;15;9;1;0;0;0;0;0
48;cK60 iziii;91;3300;9100;23400;48;17;26;71;14;6;0;0;0;0;0;0
49;JOCHAR23;91;-2700;9100;23200;27;24;40;70;17;4;0;0;0;0;0;0
50;bombealexia;90;400;9000;24200;35;19;36;69;13;7;1;0;0;0;0;0
51;AuteuiL_yaya;88;-1000;8800;22000;28;28;32;70;14;4;0;0;0;0;0;0
52;PaKaiKai;88;1600;8800;22400;40;26;22;69;14;5;0;0;0;0;0;0
53;Mickersec;85;-1100;8500;21000;30;15;40;70;10;5;0;0;0;0;0;0
54;mimo-13-;85;1100;8500;24400;31;23;31;65;10;9;0;1;0;0;0;0
55;Settijordan;83;-1100;8300;24600;29;22;32;66;8;7;0;2;0;0;0;0
56;BeckhamOM83;80;1600;8000;22000;35;20;25;58;14;8;0;0;0;0;0;0
57;bg.du.19;78;-400;7800;19200;29;16;33;65;8;5;0;0;0;0;0;0
58;tildkika;74;15200;7400;41200;27;20;27;53;13;4;3;0;0;1;0;0
59;I.m.A.Gu.Ru;73;-900;7300;20400;21;22;30;53;13;6;1;0;0;0;0;0
60;xxx_rauz_xxx;73;-500;7300;20400;25;32;16;51;15;7;0;0;0;0;0;0
61;oliswingerz;73;-700;7300;19600;24;26;23;54;13;6;0;0;0;0;0;0
62;tub55;72;-800;7200;17400;24;13;35;60;9;3;0;0;0;0;0;0
63;samnehoc;72;-1800;7200;21400;20;19;33;49;18;4;0;1;0;0;0;0
64;HOBA;67;-2300;6700;17200;17;24;26;52;11;4;0;0;0;0;0;0
65;Oups.U.Bust;67;-300;6700;16600;25;20;22;54;10;3;0;0;0;0;0;0
66;Jisindian18;66;-1200;6600;17800;20;21;25;45;19;2;0;0;0;0;0;0
67;Rohnino;66;-200;6600;17400;23;20;23;50;11;5;0;0;0;0;0;0
68;sammarga78;64;-200;6400;16600;24;10;30;49;11;4;0;0;0;0;0;0
69;OthelloG;64;0;6400;16400;24;24;16;49;12;3;0;0;0;0;0;0
70;loosamax24;63;-100;6300;17200;21;24;18;46;13;3;1;0;0;0;0;0
71;Filippoanc;63;100;6300;15600;23;13;27;51;9;3;0;0;0;0;0;0
72;_-Archange-_;63;500;6300;18000;24;14;25;46;11;4;2;0;0;0;0;0
73;tong26;63;900;6300;18000;21;15;27;44;13;5;1;0;0;0;0;0
75;Lililou54;62;-600;6200;17200;20;24;18;45;10;7;0;0;0;0;0;0
76;djost;61;900;6100;17200;22;10;29;47;7;5;2;0;0;0;0;0
77;StillStay;60;1600;6000;19600;22;18;20;38;13;8;0;1;0;0;0;0
78;Jupy973;59;-1900;5900;15600;15;15;29;44;11;4;0;0;0;0;0;0
79;letsgamboule;59;900;5900;15000;25;22;12;47;8;4;0;0;0;0;0;0
80;M4ngeDuCrabe;58;800;5800;16200;22;8;28;42;9;7;0;0;0;0;0;0
81;WAM888;57;1500;5700;15800;21;21;15;42;12;1;2;0;0;0;0;0
82;Samlel;55;-100;5500;15600;19;20;16;42;5;7;1;0;0;0;0;0
83;ManGoItsMe;55;-1300;5500;14000;18;19;18;42;11;2;0;0;0;0;0;0
84;Slev;54;-1800;5400;12800;16;12;26;46;6;2;0;0;0;0;0;0
85;Jeanlo44;54;200;5400;12600;22;15;17;47;5;2;0;0;0;0;0;0
86;Peipok;54;-800;5400;14000;18;23;13;41;10;3;0;0;0;0;0;0
87;tarzan57430;53;1100;5300;15000;20;21;12;42;4;5;2;0;0;0;0;0
89;Tite-bouille;52;-400;5200;14800;18;17;17;37;10;4;1;0;0;0;0;0
90;winnaze;51;100;5100;14200;20;13;18;35;12;4;0;0;0;0;0;0
92;Lebron__23;51;-2100;5100;12000;12;14;25;43;7;1;0;0;0;0;0;0
93;ChaVakHiaH;50;-1200;5000;13200;15;16;19;37;10;3;0;0;0;0;0;0
94;Foufurieux06;50;-2000;5000;13400;9;23;18;38;9;2;1;0;0;0;0;0
95;troll59;50;200;5000;14800;14;18;18;33;10;7;0;0;0;0;0;0
