"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"1";"ChildCZ";"2921";"-7025";"73025";"194750";"999";"1079";"843";"2234";"490";"172";"17";"8";"0";"0";"0";"0"
"2";"MrTs222";"2826";"-100";"70650";"188400";"1056";"1038";"732";"2148";"459";"204";"12";"3";"0";"0";"0";"0"
"3";"BetterCallMe";"2557";"-1925";"111375";"300850";"915";"823";"819";"1963";"405";"169";"14";"4";"2";"0";"0";"0"
"4";"oldhandfishh";"2192";"7525";"72125";"202750";"810";"780";"602";"1686";"346";"148";"8";"1";"2";"1";"0";"0"
"5";"Hey_Jude";"1396";"3275";"41325";"116750";"505";"468";"423";"1054";"235";"96";"8";"2";"0";"1";"0";"0"
"6";"LENNY2610";"1056";"-5250";"41600";"129450";"326";"351";"379";"803";"153";"85";"10";"2";"1";"2";"0";"0"
"7";"audesusenbas";"1028";"2750";"25700";"77150";"368";"388";"272";"772";"164";"81";"6";"2";"2";"1";"0";"0"
"8";"Petonbet";"963";"225";"34675";"94750";"354";"350";"259";"741";"154";"55";"9";"3";"1";"0";"0";"0"
"9";"PacoRayban";"929";"-4025";"45625";"122250";"317";"309";"303";"698";"159";"65";"7";"0";"0";"0";"0";"0"
"10";"Fishosaurex";"908";"-2700";"29550";"78600";"303";"297";"308";"691";"151";"57";"8";"1";"0";"0";"0";"0"
"11";"bruns1987";"828";"-3125";"29225";"79650";"272";"235";"321";"623";"131";"67";"5";"2";"0";"0";"0";"0"
"12";"BanFromPluto";"828";"-1225";"26075";"73250";"292";"308";"228";"638";"128";"47";"12";"1";"2";"0";"0";"0"
"13";"shipthatrAce";"784";"-2100";"38800";"101700";"299";"247";"238";"608";"132";"38";"4";"2";"0";"0";"0";"0"
"14";"Addict69";"724";"100";"18100";"48900";"258";"249";"217";"553";"122";"42";"6";"0";"1";"0";"0";"0"
"15";"Anjuna 7";"704";"2325";"34975";"94350";"267";"253";"184";"531";"110";"59";"4";"0";"0";"0";"0";"0"
"16";"robob";"623";"1125";"15575";"43350";"232";"232";"159";"458";"118";"41";"5";"0";"1";"0";"0";"0"
"17";"cunbrejnaca";"560";"550";"14200";"37850";"222";"172";"166";"436";"82";"36";"5";"1";"0";"0";"0";"0"
"18";"UdonPowa";"511";"1600";"17600";"61650";"169";"124";"218";"384";"91";"31";"2";"1";"0";"2";"0";"0"
"19";"SCOFIELD0413";"504";"1200";"12600";"33600";"202";"148";"154";"382";"78";"43";"1";"0";"0";"0";"0";"0"
"20";"Le Audrius";"503";"8050";"25150";"77200";"185";"169";"149";"380";"86";"30";"6";"0";"0";"1";"0";"0"
"21";"Bambino4";"494";"-1075";"14075";"38050";"176";"178";"140";"371";"79";"41";"3";"0";"0";"0";"0";"0"
"22";"RagazzaBella";"486";"-3675";"24275";"65750";"152";"137";"197";"372";"76";"33";"3";"2";"0";"0";"0";"0"
"23";"Sandalius";"471";"750";"23550";"61600";"187";"150";"134";"365";"71";"33";"2";"0";"0";"0";"0";"0"
"24";"bobich44";"465";"-425";"13675";"35950";"171";"169";"125";"372";"60";"27";"5";"1";"0";"0";"0";"0"
"25";"Akhym94";"445";"-625";"17575";"50750";"146";"168";"131";"330";"66";"41";"6";"1";"1";"0";"0";"0"
"26";"_Mosquito_";"443";"2375";"14425";"41250";"157";"147";"139";"329";"84";"27";"2";"0";"1";"0";"0";"0"
"27";"windguru14";"435";"600";"16400";"46250";"155";"126";"154";"313";"78";"38";"5";"1";"0";"0";"0";"0"
"28";"Touchdown67.";"411";"500";"13650";"36150";"157";"139";"115";"314";"69";"23";"5";"0";"0";"0";"0";"0"
"29";"Alsa57";"405";"-1075";"10225";"28500";"127";"105";"173";"291";"80";"28";"6";"0";"0";"0";"0";"0"
"30";"PandaPower";"398";"-1425";"12075";"32250";"128";"122";"148";"304";"67";"23";"4";"0";"0";"0";"0";"0"
"31";"Sir x Jr";"393";"-725";"11875";"30650";"148";"147";"98";"297";"69";"27";"0";"0";"0";"0";"0";"0"
"32";"-Elu-";"387";"75";"10875";"28850";"142";"122";"123";"301";"55";"28";"2";"1";"0";"0";"0";"0"
"33";"pablo8413";"386";"200";"10550";"28900";"138";"123";"125";"289";"57";"36";"3";"1";"0";"0";"0";"0"
"34";"Milan&Ines";"383";"-1650";"12300";"32500";"121";"144";"118";"300";"55";"25";"3";"0";"0";"0";"0";"0"
"35";"carplaygirl";"366";"425";"13125";"34600";"132";"120";"114";"286";"53";"22";"4";"1";"0";"0";"0";"0"
"36";"Julien4731";"365";"125";"11525";"32250";"113";"109";"143";"282";"57";"25";"0";"0";"1";"0";"0";"0"
"37";"LeBasilicain";"363";"-3150";"13150";"34550";"114";"115";"134";"284";"57";"20";"1";"1";"0";"0";"0";"0"
