rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;BetterCallMe;1996;-1550;63000;171350;709;701;586;1507;328;144;14;2;1;0;0;0
3;ChildCZ;1294;-1550;32350;88400;441;467;386;979;213;91;7;3;1;0;0;0
4;Tu_Te_Calm;1239;-2000;39000;105850;450;447;342;940;210;78;8;2;1;0;0;0
6;SAMSHAGIRL;961;-2175;25775;68350;336;319;306;743;140;69;8;1;0;0;0;0
7;KYFFF;904;750;22600;60700;346;276;282;681;155;61;6;1;0;0;0;0
9;U.S.Tuermer.;832;800;20800;53550;326;298;208;655;123;50;4;0;0;0;0;0
13;tec9;630;2800;31500;83300;258;215;157;484;102;40;3;1;0;0;0;0
14;AndriusP7;573;-2675;22675;61200;195;226;152;435;96;37;4;1;0;0;0;0
15;unasmonfrere;522;-1200;26100;67600;192;165;165;415;72;29;6;0;0;0;0;0
16;adopteunbet;511;2550;25550;67800;207;155;149;392;81;33;5;0;0;0;0;0
17;V1rOgn3;508;225;25225;69950;175;152;181;374;92;34;7;1;0;0;0;0
18;KhaleesiFTW;483;375;12075;32550;179;148;156;369;71;40;2;1;0;0;0;0
19;Petonbet;474;-100;23700;65000;161;176;137;354;77;39;3;1;0;0;0;0
20;polak__n10__;459;-700;12550;33300;168;133;158;349;74;34;2;0;0;0;0;0
21;Tinitouns31;420;300;11100;30800;153;116;151;325;54;39;1;0;1;0;0;0
23;alinou53;406;1825;17675;72150;149;144;113;314;58;27;6;0;0;0;1;0
24;jetelamet13;405;-1650;12800;32950;136;120;149;317;68;18;1;1;0;0;0;0
25;shakkkiraa;401;-625;13325;36100;142;111;148;301;65;31;4;0;0;0;0;0
27;MrTs222;390;1175;10725;29850;159;128;103;290;65;32;2;1;0;0;0;0
29;S i r   J V;373;-950;9800;26000;122;137;114;282;65;24;2;0;0;0;0;0
31;Danyoo;344;275;8975;24650;129;106;109;261;50;30;3;0;0;0;0;0
32;castorseb;340;625;12475;34650;134;113;93;249;62;26;3;0;0;0;0;0
33;Pofis;339;-425;8475;22550;123;129;87;256;58;23;2;0;0;0;0;0
34;moringoo;335;400;10750;31300;129;91;115;263;47;18;5;1;1;0;0;0
35;jerome83;331;675;8275;23450;129;93;109;233;68;25;5;0;0;0;0;0
36;milla69;328;-950;10400;29050;106;99;123;245;50;29;4;0;0;0;0;0
37;Thx Teerak;325;1350;16250;43400;131;106;88;250;47;25;3;0;0;0;0;0
38;windguru14;324;-450;9150;24300;120;103;101;244;57;21;2;0;0;0;0;0
40;zippo3;313;-1525;11025;28200;103;108;102;255;35;20;3;0;0;0;0;0
42;bishop74270;305;375;8325;22650;117;119;69;228;50;26;1;0;0;0;0;0
43;Size7;303;-150;13650;36750;115;100;88;227;53;22;1;0;0;0;0;0
44;Julvar2210;302;-3100;11050;29300;85;99;118;232;42;28;0;0;0;0;0;0
45;megapitch;300;-975;8225;21500;106;108;86;232;46;20;2;0;0;0;0;0
46;5OOk.7up;297;-425;7575;20350;106;73;118;218;59;19;1;0;0;0;0;0
47;DocRivers;291;400;9050;24750;104;81;106;222;47;18;4;0;0;0;0;0
48;Reko;288;-1775;7925;21400;88;103;97;223;48;14;1;2;0;0;0;0
49;LeBasilicain;286;-1075;8475;22300;98;81;107;227;41;13;5;0;0;0;0;0
50;marzo_45;280;-775;9075;24050;100;96;84;207;48;23;2;0;0;0;0;0
51;samkilla;275;50;9350;24450;101;68;106;209;45;20;1;0;0;0;0;0
52;Crashfan;272;-750;6800;17950;93;95;84;208;47;14;3;0;0;0;0;0
54;FsherT;262;-175;6575;17900;95;67;100;198;42;20;1;1;0;0;0;0
55;tchii64;257;-775;6425;17500;82;103;72;184;59;11;3;0;0;0;0;0
56;Plakeslke;257;-1075;9125;22700;94;61;102;214;25;17;1;0;0;0;0;0
57;joffbzh;253;-1025;10625;27550;93;87;73;198;38;17;0;0;0;0;0;0
58;Koozo;249;725;8625;23900;91;87;71;183;45;19;1;1;0;0;0;0
59;lescure4ever;248;-450;6200;16300;87;82;79;192;36;19;1;0;0;0;0;0
60;Envoi DuPain;247;-25;6475;16800;100;72;75;192;38;16;1;0;0;0;0;0
61;stc-bats;246;-950;6150;16250;82;83;81;188;39;18;1;0;0;0;0;0
62;bellouin61;245;50;6450;17200;98;68;79;183;43;18;1;0;0;0;0;0
63;MM18;243;1375;8925;23700;97;85;61;184;42;15;2;0;0;0;0;0
64;Patrun50;242;-275;8525;22000;90;76;76;189;36;17;0;0;0;0;0;0
65;Anaislea;240;-725;6625;18400;75;71;94;171;47;21;1;0;0;0;0;0
66;chop-suey;234;-975;6425;16750;71;83;80;182;37;14;1;0;0;0;0;0
67;Orel127mx;233;-550;7750;21200;82;85;66;172;46;14;0;1;0;0;0;0
68;BanFromPluto;225;1050;11250;30700;88;55;82;166;38;20;1;0;0;0;0;0
70;KarolisK;221;1500;5850;15950;103;71;47;169;30;19;3;0;0;0;0;0
71;leila540;221;-1575;7775;20600;66;71;84;160;48;12;1;0;0;0;0;0
72;Zorhus;218;-775;5525;14400;75;79;64;169;33;16;0;0;0;0;0;0
73;lazgirouette;212;-300;5300;13200;77;79;56;171;30;11;0;0;0;0;0;0
75;TheoWach;207;-800;6600;17050;68;54;85;158;34;15;0;0;0;0;0;0
76;Lanesthesist;207;-400;6500;17500;63;78;66;158;32;16;1;0;0;0;0;0
77;tysony;206;-25;6625;16800;77;67;62;161;35;9;1;0;0;0;0;0
78;choune34300;205;-25;5225;14200;73;77;55;155;29;19;2;0;0;0;0;0
79;_All4PokR_;198;50;9550;25400;70;60;68;152;32;12;2;0;0;0;0;0
80;Merci_River;193;-450;6800;19350;62;57;74;138;37;15;2;1;0;0;0;0
81;Doug21;190;-200;4800;12650;73;61;56;145;34;9;2;0;0;0;0;0
83;superfish75;190;-925;6075;15650;66;63;61;150;30;9;1;0;0;0;0;0
84;Akhym94;189;199175;7025;268500;55;66;68;144;28;16;0;0;0;0;0;1
85;AAnus Etroit;189;-1325;6775;17850;62;64;63;145;29;14;1;0;0;0;0;0
86;TiSoJuTo;189;500;5700;15900;73;63;53;143;28;14;4;0;0;0;0;0
87;benlea64;188;150;4900;13400;68;59;61;133;41;13;1;0;0;0;0;0
88;jonah83;187;1225;5875;16450;69;61;57;139;32;14;1;1;0;0;0;0
89;gaybel;185;-500;5650;14900;68;70;47;137;36;12;0;0;0;0;0;0
90;golfinhood;182;-225;4675;13400;59;60;63;129;35;16;2;0;0;0;0;0
91;TIMES SQUARE;181;-1100;5000;13350;50;58;73;140;28;11;2;0;0;0;0;0
93;_SperK_;180;25;5625;16200;73;64;43;134;29;12;4;1;0;0;0;0
94;tozmiou13;180;-25;5025;12950;68;64;48;137;32;11;0;0;0;0;0;0
95;keikogi;179;-825;4925;13550;57;47;75;136;27;13;2;1;0;0;0;0
96;traqueur 3;179;575;5225;14000;73;52;54;134;29;15;1;0;0;0;0;0
97;-Fakito-;179;-725;6825;18650;66;67;46;126;38;15;0;0;0;0;0;0
98;Rest trankil;177;-300;4550;12300;62;58;57;134;26;16;1;0;0;0;0;0
99;Benmc24;176;-1325;6075;16350;56;58;62;129;34;12;1;0;0;0;0;0
100;fario69;175;-425;4675;13250;61;64;50;126;31;16;2;0;0;0;0;0
101;-touco-;175;-150;4800;13450;62;68;45;122;37;14;2;0;0;0;0;0
102;berreta244;175;-1025;5175;16050;50;44;81;137;21;14;2;0;1;0;0;0
103;El_Chacal_94;173;1150;6350;18300;63;59;51;128;26;16;2;1;0;0;0;0
104;RagazzaBella;173;-275;8625;23950;57;36;80;126;31;14;2;0;0;0;0;0
105;LoicACC;171;300;4950;12950;67;53;51;132;27;11;1;0;0;0;0;0
106;munegu57;171;1750;5000;13400;82;31;58;130;26;13;2;0;0;0;0;0
107;ghjuvanni13;170;2150;7700;45700;58;59;53;125;29;15;0;0;0;0;1;0
108;pigloti3;169;550;4850;13950;58;55;56;127;29;11;1;0;1;0;0;0
109;LucAS nOOb;168;250;6000;16700;58;64;46;126;26;15;1;0;0;0;0;0
