rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;LickMyEvChip;1496;-5800;149600;397400;537;545;414;1161;219;96;20;0;0;0;0;0
2;adopteunbet;1375;-6300;137500;373000;483;495;397;1034;227;99;14;1;0;0;0;0
3;Archer90;1372;-5200;137200;362400;518;463;391;1071;198;95;7;0;1;0;0;0
4;proscoo;1138;-6400;113800;308000;398;367;373;863;179;83;12;1;0;0;0;0
5;LoosIi;1021;-10100;102100;276600;332;265;424;768;164;79;10;0;0;0;0;0
6;PacoRayban;636;-6000;63600;169200;218;212;206;488;98;44;6;0;0;0;0;0
7;Tire-fesses;617;1300;61700;167000;222;222;173;464;96;53;4;0;0;0;0;0
8;Ketelsen;615;-4300;61500;171800;213;219;183;452;106;50;5;2;0;0;0;0
9;castorseb;406;-2400;40600;110200;141;142;123;298;83;19;6;0;0;0;0;0
10;shipthatrAce;398;-6800;39800;102200;137;129;132;311;63;23;1;0;0;0;0;0
11;_s4_;385;-4100;38500;101400;126;139;120;297;56;31;1;0;0;0;0;0
12;HustlaStylez;370;-1600;37000;100400;136;139;95;276;65;27;1;1;0;0;0;0
13;LENNY2610;360;-7000;36000;98600;110;124;126;261;67;31;1;0;0;0;0;0
14;Drachno;355;9900;35500;103800;150;103;102;268;52;29;3;2;1;0;0;0
15;jertiann;336;-5800;33600;89800;101;139;96;256;49;30;1;0;0;0;0;0
16;Akhym94;334;-400;33400;93400;110;123;101;240;64;28;1;1;0;0;0;0
17;jenpeusplus;287;-700;28700;82200;100;103;84;207;53;21;5;1;0;0;0;0
18;HOBA;263;-700;26300;70200;91;102;70;210;29;21;2;1;0;0;0;0
19;pollo401;225;-500;22500;60800;78;67;80;170;35;18;2;0;0;0;0;0
20;Thrillerium;220;-1600;22000;57800;81;65;74;171;33;14;2;0;0;0;0;0
21;ValueMerguez;211;-100;21100;56800;79;84;48;161;33;14;3;0;0;0;0;0
23;BAbaBAbaBA.;208;-3200;20800;59400;61;61;86;143;45;18;2;0;0;0;0;0
24;Star_IOM;201;-700;20100;53800;67;72;62;151;34;15;1;0;0;0;0;0
25;grandguignol;198;-1600;19800;52600;67;70;61;152;29;16;1;0;0;0;0;0
26;JeanLuc123;197;-300;19700;51000;73;68;56;156;31;9;0;1;0;0;0;0
27;Off the Wall;192;-2600;19200;48600;62;64;66;153;29;9;1;0;0;0;0;0
28;tyzef2001;179;3300;17900;50800;74;52;53;127;35;14;3;0;0;0;0;0
29;ASDECOEUR23;169;-2700;16900;46200;53;71;45;126;31;11;0;1;0;0;0;0
30;PouRiToSs67;168;-2800;16800;46200;49;43;76;127;28;11;1;1;0;0;0;0
31;compasole;148;-1000;14800;35800;57;41;50;122;21;5;0;0;0;0;0;0
32;BLOODY.NL;143;-2900;14300;38600;44;34;65;106;26;10;1;0;0;0;0;0
33;lol_Sverev;142;1000;14200;38600;55;27;60;112;15;12;3;0;0;0;0;0
34;Manu__b;141;-2700;14100;35400;49;48;44;115;16;10;0;0;0;0;0;0
35;TopGunJTs;139;-2100;13900;37800;50;51;38;104;22;12;1;0;0;0;0;0
36;CapriX13;139;1100;13900;38600;52;42;45;101;26;10;2;0;0;0;0;0
37;cpenible;126;1200;12600;31400;52;28;46;100;21;5;0;0;0;0;0;0
38;MAYFAIRW1K;106;-2000;10600;27000;34;31;41;82;19;5;0;0;0;0;0;0
39;Vincejj;106;-1400;10600;28200;31;38;37;79;23;2;2;0;0;0;0;0
40;AMERICA-POKE;99;-300;9900;30000;37;30;32;73;12;11;2;1;0;0;0;0
41;PaKaiKai;96;-200;9600;24800;32;36;28;73;18;5;0;0;0;0;0;0
42;Fish6259;94;-1200;9400;23400;35;33;26;77;11;6;0;0;0;0;0;0
43;sunny_flower;93;3500;9300;25800;39;26;28;74;13;3;2;1;0;0;0;0
44;raar91;93;100;9300;25200;29;32;32;76;8;8;0;1;0;0;0;0
45;ManGoItsMe;92;-1200;9200;22800;33;35;24;75;12;5;0;0;0;0;0;0
46;LOLODOUM;92;-600;9200;25400;28;23;41;66;17;9;0;0;0;0;0;0
47;UdonPowa;90;-1000;9000;24000;30;22;38;67;16;7;0;0;0;0;0;0
48;VincyVon;90;-800;9000;26000;26;39;25;64;18;5;3;0;0;0;0;0
49;bloutoussse;88;1000;8800;22600;35;24;29;68;15;5;0;0;0;0;0;0
50;TreezyBaby9;88;-1600;8800;21400;31;30;27;71;15;2;0;0;0;0;0;0
51;Samow;87;-1700;8700;21000;28;36;23;75;8;3;1;0;0;0;0;0
52;Latuile2306;86;-200;8600;21000;31;27;28;69;15;2;0;0;0;0;0;0
53;1FlipMore;80;-2400;8000;21600;24;32;24;60;14;5;1;0;0;0;0;0
54;ti-breton;79;300;7900;22400;28;19;32;63;8;6;1;1;0;0;0;0
55;Tant mieux;79;300;7900;22400;31;18;30;59;13;4;3;0;0;0;0;0
56;Etnies;78;-800;7800;18400;31;25;22;67;8;3;0;0;0;0;0;0
57;MezuuUuuT;78;0;7800;20200;28;26;24;59;15;4;0;0;0;0;0;0
58;Patoufponpon;76;-1200;7600;20800;25;23;28;59;13;3;0;1;0;0;0;0
59;Teddy.C974;76;-1400;7600;20400;23;23;30;55;16;5;0;0;0;0;0;0
60;NOACH95;76;-200;7600;23400;28;26;22;53;14;7;1;1;0;0;0;0
61;paulie.w;74;-1000;7400;20600;28;18;28;58;10;5;0;1;0;0;0;0
62;quadrifoglio;70;-600;7000;20200;23;28;19;51;14;4;0;1;0;0;0;0
63;carplaygirl;70;-1000;7000;21200;21;32;17;47;14;7;2;0;0;0;0;0
64;Ryuka8;69;-900;6900;20600;25;24;20;50;11;7;0;1;0;0;0;0
65;PimPamPoum__;68;1000;6800;19000;25;28;15;49;11;8;0;0;0;0;0;0
66;-aRkaZ-;68;-800;6800;16400;24;22;22;55;12;1;0;0;0;0;0;0
67;MAMARAZZI;68;800;6800;19000;27;24;17;50;11;6;1;0;0;0;0;0
68;Brazil2aa;68;600;6800;20400;26;13;29;49;8;9;2;0;0;0;0;0
69;OhMyGuruuu;67;-1700;6700;17400;21;25;21;54;6;7;0;0;0;0;0;0
70;allattin59;66;-1800;6600;17200;18;22;26;52;8;6;0;0;0;0;0;0
71;Calma;65;-1100;6500;15800;22;18;25;54;8;3;0;0;0;0;0;0
72;Biscotto06;65;-100;6500;19000;24;17;24;46;10;8;1;0;0;0;0;0
73;macssime;64;-1400;6400;15000;20;19;25;54;9;1;0;0;0;0;0;0
74;isolab;64;-1400;6400;15800;19;13;32;54;5;5;0;0;0;0;0;0
75;Buddylov;64;-400;6400;19800;20;18;26;40;17;5;2;0;0;0;0;0
76;MorX13;63;-1300;6300;16000;17;21;25;50;9;4;0;0;0;0;0;0
77;kart06;62;200;6200;16400;24;15;23;49;6;7;0;0;0;0;0;0
78;WERZOU;61;300;6100;17200;21;11;29;45;9;6;1;0;0;0;0;0
79;vendbasten;61;-300;6100;18000;14;14;33;42;11;7;1;0;0;0;0;0
80;lera 33;60;-1400;6000;15800;15;26;19;48;5;7;0;0;0;0;0;0
81;Pelmanoir14;60;-600;6000;14600;22;14;24;50;7;3;0;0;0;0;0;0
82;jte bouffe;59;-500;5900;15200;21;21;17;44;13;2;0;0;0;0;0;0
83;sofsof69;57;-2700;5700;16000;11;22;24;41;11;4;1;0;0;0;0;0
84;UnderEV;57;900;5700;16200;22;16;19;41;10;5;1;0;0;0;0;0
85;MaCyLia8484;56;-800;5600;13800;19;14;23;45;9;2;0;0;0;0;0;0
86;Jynx Maze;55;500;5500;15800;19;18;18;39;10;5;1;0;0;0;0;0
87;t6mbanahhui;55;-1900;5500;14000;14;11;30;43;9;3;0;0;0;0;0;0
88;ALLIN_BABA;53;-2300;5300;13200;12;17;24;42;9;2;0;0;0;0;0;0
89;nkimhoangkie;53;2900;5300;16400;21;16;16;36;14;1;1;1;0;0;0;0
90;Kekhou;53;1700;5300;15200;23;12;18;36;11;6;0;0;0;0;0;0
91;jesuisfou83;53;-1500;5300;12800;16;24;13;44;7;2;0;0;0;0;0;0
92;thiema;52;-1200;5200;13800;14;12;26;37;13;2;0;0;0;0;0;0
93;Maths-rix;51;1300;5100;14600;23;9;19;36;10;4;1;0;0;0;0;0
94;Finalgig;51;700;5100;12400;21;13;17;41;9;1;0;0;0;0;0;0
95;E.X.O.C.E.T;51;300;5100;12600;19;19;13;43;6;1;1;0;0;0;0;0
96;fabrice2570;50;-1200;5000;12400;16;11;23;41;6;3;0;0;0;0;0;0
97;Picciotto;50;-1000;5000;12800;14;23;13;40;6;4;0;0;0;0;0;0
