rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Hey_Jude;2648;-2900;66200;181800;935;907;806;2023;411;192;19;2;0;1;0;0
2;BetterCallMe;1733;-7725;62525;165300;576;560;597;1346;252;124;7;4;0;0;0;0
3;lkjhgfd1;1560;450;39000;106600;571;531;458;1183;251;109;13;3;1;0;0;0
4;stasiukaxz11;1492;1550;37300;102100;572;527;393;1120;233;122;16;1;0;0;0;0
5;D3cor;1351;-1200;34050;89950;487;473;391;1031;235;72;12;1;0;0;0;0
7;MrTs222;1149;1675;28725;77900;444;412;293;863;199;79;7;0;1;0;0;0
8;Bangaloo;1141;-575;30325;83500;391;389;361;856;181;90;13;0;1;0;0;0
9;adopteunbet;1049;1150;52450;140600;386;358;305;784;187;71;7;0;0;0;0;0
10;LordBendtner;929;625;23225;62050;351;335;243;704;150;69;6;0;0;0;0;0
11;Aaanditsgone;927;1275;36525;1e+05;346;307;274;688;151;78;9;1;0;0;0;0
12;U.S.Tuermer.;888;1550;22200;59550;343;355;190;660;169;51;8;0;0;0;0;0
13;gogepok37;667;-375;16675;45450;243;230;194;503;101;58;4;1;0;0;0;0
14;nounieu;513;150;16250;42150;195;168;150;394;81;35;3;0;0;0;0;0
15;AndriusP7;511;2150;22250;84550;188;196;127;374;98;36;2;0;0;0;1;0
16;lhelicoptere;488;-50;12200;32150;184;164;140;373;77;37;1;0;0;0;0;0
17;BanFromPluto;452;-1600;12600;32600;157;160;135;350;74;26;2;0;0;0;0;0
18;windguru14;417;-475;12625;34250;151;125;141;315;70;25;6;1;0;0;0;0
19;5massam5;400;-500;13650;36600;144;123;133;307;62;29;2;0;0;0;0;0
20;AAnus Etroit;380;3225;17475;48700;165;102;113;276;71;28;5;0;0;0;0;0
21;- Viet -;377;-475;9675;27200;132;117;128;272;63;38;4;0;0;0;0;0
22;BurjAlArab;359;-2725;11075;30200;101;133;125;266;60;29;3;1;0;0;0;0
23;titouan888;357;-75;15725;42300;126;106;125;266;66;23;2;0;0;0;0;0
24;PAN PAN QQ;341;575;15575;40800;132;103;106;269;47;23;0;2;0;0;0;0
25;pepsifred;337;-25;9875;26950;126;104;107;256;52;24;5;0;0;0;0;0
26;8iRoguH;335;950;8600;22650;137;98;100;266;43;23;2;1;0;0;0;0
29;I-Want-U;331;-2050;16550;42500;117;110;104;261;46;24;0;0;0;0;0;0
31;unasmonfrere;325;-2850;16250;42800;104;133;88;247;55;22;1;0;0;0;0;0
32;cpasvole;318;-500;8150;22100;109;86;123;234;58;25;1;0;0;0;0;0
34;PacoRayban;309;500;11350;31450;102;100;107;223;58;26;1;1;0;0;0;0
35;.FUNNYFISH.;308;150;7700;22300;111;110;87;215;56;33;4;0;0;0;0;0
36;piz55;306;-1950;8200;21350;89;112;105;238;50;16;1;1;0;0;0;0
37;bestmind93;289;425;11075;30050;101;93;95;220;43;23;2;1;0;0;0;0
38;DesperHate;285;1950;14250;36500;119;92;74;222;48;14;1;0;0;0;0;0
39;alicia1204;281;200;7300;19750;106;93;82;221;36;20;3;1;0;0;0;0
40;iaia;276;-225;8225;22500;103;92;81;201;55;18;2;0;0;0;0;0
41;poker-trips;275;125;6925;19700;89;112;74;193;60;16;6;0;0;0;0;0
42;Gini2a;275;-525;11825;31600;97;110;68;219;36;18;1;0;1;0;0;0
43;FalconX;271;-650;7600;21200;92;98;81;194;55;20;2;0;0;0;0;0
44;SAMSHAGIRL;269;-1000;7950;21900;91;87;91;201;46;18;4;0;0;0;0;0
45;rokilamoule;268;-25;7525;21100;92;98;78;200;43;24;0;1;0;0;0;0
46;gamraissa;267;25;9175;24800;93;87;87;201;39;24;3;0;0;0;0;0
47;Vi1MetrTaTet;263;-450;9950;26600;92;99;72;198;43;20;2;0;0;0;0;0
49;linololo;259;1275;8025;21550;101;88;70;197;42;17;2;1;0;0;0;0
50;jonyvegas;255;25;6375;16350;104;69;82;198;42;15;0;0;0;0;0;0
51;megapitch;252;-1450;10400;29100;80;94;78;183;41;25;3;0;0;0;0;0
52;Alesmith;247;1600;8300;22500;106;80;61;185;46;13;2;1;0;0;0;0
53;capone73000;240;350;8200;20850;89;68;83;189;38;12;1;0;0;0;0;0
54;finette69;233;-275;8475;22100;85;57;91;184;35;12;2;0;0;0;0;0
55;kikerced;229;1425;9075;50050;75;79;75;162;47;18;0;1;0;0;1;0
56;ChibreAcier7;226;275;10475;28450;87;73;66;165;43;16;2;0;0;0;0;0
58;LENNY2610;223;-1125;6175;16300;68;71;84;168;39;16;0;0;0;0;0;0
59;geicha;222;-75;7725;20550;82;56;84;164;40;16;2;0;0;0;0;0
60;Apouh;222;0;5650;16000;80;68;74;166;32;19;5;0;0;0;0;0
61;_CaLviN_;222;-225;6175;15650;78;86;58;182;23;15;2;0;0;0;0;0
62;Ajeossi;219;-675;5475;14300;78;81;60;171;33;13;2;0;0;0;0;0
63;Arthur4King;218;-50;5450;14850;86;84;48;161;39;16;2;0;0;0;0;0
64;Julvar2210;215;-1650;6800;19050;59;71;85;162;32;19;1;1;0;0;0;0
65;Tu_Te_Calm;214;800;9950;28600;82;78;54;157;32;23;1;1;0;0;0;0
66;superfish75;210;-200;5950;16350;73;52;85;157;31;22;0;0;0;0;0;0
67;alinou53;210;-1150;5250;14150;63;66;81;157;35;17;1;0;0;0;0;0
68;LeBasilicain;210;-1000;6900;17300;68;60;82;168;30;11;1;0;0;0;0;0
69;BienTravail;205;375;5125;12950;85;72;48;163;30;12;0;0;0;0;0;0
