rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
2;itsfree;1317;-3300;131700;359000;469;493;355;992;223;89;11;1;1;0;0;0
4;1FlipMore;571;2300;57100;159800;207;177;187;415;102;50;2;2;0;0;0;0
5;natax1;568;-8600;56800;162000;187;210;171;433;84;43;3;4;1;0;0;0
6;Tire-fesses;531;-100;53100;150400;194;191;146;395;91;40;2;2;1;0;0;0
7;Biquettesick;497;-3100;49700;130000;177;157;163;388;81;25;1;2;0;0;0;0
8;proscoo;322;4000;32200;93400;124;101;97;222;68;28;3;1;0;0;0;0
9;raar91;230;1000;23000;61800;91;76;63;170;43;16;1;0;0;0;0;0
10;GuideAA;215;-2100;21500;59800;80;81;54;154;47;12;1;1;0;0;0;0
11;ManGoItsMe;209;3500;20900;58200;81;71;57;152;38;16;3;0;0;0;0;0
13;EN_VACANCES;194;3800;19400;52400;78;67;49;146;35;12;0;1;0;0;0;0
14;Armani78520;170;-1200;17000;46800;56;59;55;121;34;15;0;0;0;0;0;0
15;MAMARAZZI;167;3300;16700;43000;67;61;39;138;21;5;2;1;0;0;0;0
16;IL35;159;-100;15900;42600;63;44;52;120;26;12;1;0;0;0;0;0
17;royale47;157;-3900;15700;42400;42;57;58;119;25;11;2;0;0;0;0;0
18;jess.2014;139;-700;13900;38000;50;33;56;104;23;10;2;0;0;0;0;0
19;LickMyEvChip;136;-600;13600;36200;50;52;34;99;29;8;0;0;0;0;0;0
20;macssime;135;-700;13500;35800;43;39;53;102;24;8;1;0;0;0;0;0
21;ItsOK2beGAY;127;1500;12700;34200;50;45;32;96;20;10;1;0;0;0;0;0
22;RagazzaBella;127;-3100;12700;32600;36;35;56;101;18;7;1;0;0;0;0;0
23;Malhabah;114;-4400;11400;29600;31;26;57;95;10;6;3;0;0;0;0;0
24;monkey4242;112;-1800;11200;30000;35;35;42;85;18;8;1;0;0;0;0;0
25;MAYFAIRW1K;110;-800;11000;28800;35;34;41;81;24;5;0;0;0;0;0;0
26;_s4_;106;1400;10600;27000;43;27;36;80;23;3;0;0;0;0;0;0
27;BLOODY.NL;102;1400;10200;33200;39;22;41;68;20;11;1;2;0;0;0;0
28;MalcatAAnho1;102;-2400;10200;25400;31;37;34;84;11;7;0;0;0;0;0;0
29;bobbyyy;100;-1800;10000;26000;32;42;26;77;16;7;0;0;0;0;0;0
31;AuteuiL_yaya;95;-500;9500;26600;29;32;34;69;16;9;1;0;0;0;0;0
32;Crunch56;94;-3000;9400;25600;27;37;30;67;20;7;0;0;0;0;0;0
33;lol_Sverev;88;2200;8800;23200;41;19;28;67;16;4;1;0;0;0;0;0
35;jungle julia;84;-800;8400;22200;28;26;30;62;17;5;0;0;0;0;0;0
36;Biscotto06;82;-600;8200;22600;28;28;26;62;13;5;2;0;0;0;0;0
37;PaKaiKai;81;-300;8100;22000;26;29;26;58;17;6;0;0;0;0;0;0
38;Ding68;81;1300;8100;23000;31;27;23;56;16;9;0;0;0;0;0;0
39;DrilleDennis;80;-1000;8000;21400;27;29;24;63;11;4;2;0;0;0;0;0
40;tong26;80;-200;8000;19400;32;19;29;67;9;4;0;0;0;0;0;0
41;l ouncle09;73;-900;7300;18600;27;21;25;56;14;3;0;0;0;0;0;0
42;112233;73;100;7300;17400;28;25;20;59;14;0;0;0;0;0;0;0
43;lapaesana83;72;-1000;7200;21400;26;19;27;56;8;5;2;1;0;0;0;0
44;Gini2a;70;-600;7000;17800;25;29;16;53;15;2;0;0;0;0;0;0
45;JeanGuider;70;-1000;7000;19800;23;19;28;52;11;5;2;0;0;0;0;0
46;FB-NoahSport;67;-700;6700;17600;23;24;20;52;9;6;0;0;0;0;0;0
47;klrdirecteur;67;-1300;6700;16400;21;26;20;56;7;4;0;0;0;0;0;0
48;Excaliburne.;67;2500;6700;19800;31;17;19;44;16;6;1;0;0;0;0;0
49;tiwi60;64;-200;6400;16600;25;16;23;50;9;5;0;0;0;0;0;0
50;Picciotto;63;-1100;6300;17000;22;17;24;44;16;3;0;0;0;0;0;0
51;letsgamboule;63;1300;6300;18400;28;14;21;43;13;6;1;0;0;0;0;0
53;kalm08;60;-1000;6000;15800;20;18;22;44;13;3;0;0;0;0;0;0
54;losbramaires;59;-1300;5900;18200;18;24;17;40;12;4;3;0;0;0;0;0
55;Yespapa13x;58;-200;5800;14600;22;22;14;46;9;3;0;0;0;0;0;0
56;siddd;57;-1100;5700;16000;17;23;17;42;9;5;1;0;0;0;0;0
57;ml&stof;57;-300;5700;15800;20;23;14;42;10;4;1;0;0;0;0;0
59;Thx Teerak;56;-400;5600;14800;20;18;18;42;10;4;0;0;0;0;0;0
60;yldowlogh;56;-800;5600;13800;18;15;23;49;3;3;1;0;0;0;0;0
61;stevenbibi;55;4500;5500;20400;24;9;22;40;5;9;0;0;1;0;0;0
62;Vegartagnan;54;-600;5400;15000;16;20;18;39;9;6;0;0;0;0;0;0
63;depeche27;53;-300;5300;13800;18;16;19;39;12;2;0;0;0;0;0;0
64;NsRZoltan;52;-1200;5200;13600;16;19;17;41;8;2;1;0;0;0;0;0
66;couchezvou68;50;-400;5000;12400;17;10;23;40;8;2;0;0;0;0;0;0
67;dj sanglier;50;-1000;5000;17400;13;25;12;30;9;8;3;0;0;0;0;0
