rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Expresso_GTO;1327;-3500;132700;352400;492;440;395;1017;210;90;9;1;0;0;0;0
3;_JOHN RAMBO_;1259;-8100;125900;335800;442;513;304;974;199;69;14;3;0;0;0;0
4;Aaanditsgone;866;-11600;86600;244000;276;324;266;638;152;66;7;2;1;0;0;0
5;RagazzaBella;631;-4500;63100;174600;206;146;279;466;106;50;9;0;0;0;0;0
6;MAMARAZZI;541;4700;54100;148000;198;199;144;409;91;38;2;0;1;0;0;0
7;windguru14;460;1000;46000;121600;174;126;160;346;86;25;3;0;0;0;0;0
8;raar91;384;2600;38400;104600;145;135;104;291;60;29;3;1;0;0;0;0
9;jjpjn;317;6100;31700;185400;91;73;153;240;45;29;2;0;0;0;1;0
10;Raton8011;311;-2500;31100;84400;106;93;112;239;52;13;6;1;0;0;0;0
11;grandguignol;301;100;30100;102800;110;98;93;216;64;15;5;0;0;1;0;0
12;adopteunbet;274;-2000;27400;74000;94;99;81;214;34;21;5;0;0;0;0;0
13;Malhabah;249;-5100;24900;66800;72;66;111;187;43;17;2;0;0;0;0;0
14;_s4_;245;2100;24500;65400;94;79;72;188;36;19;2;0;0;0;0;0
15;BigBadDawg;242;-2000;24200;69400;79;87;76;177;38;23;3;1;0;0;0;0
16;LENNY2610;240;-6600;24000;65400;69;108;63;181;37;19;3;0;0;0;0;0
17;Shori Nota;226;2200;22600;61000;86;76;64;168;37;21;0;0;0;0;0;0
18;stakeleux24;181;300;18100;46000;72;69;40;147;23;9;2;0;0;0;0;0
19;Fifoudu13;172;77600;17200;146200;54;36;82;128;30;11;2;0;0;0;1;0
20;lera 33;169;-1500;16900;44600;56;62;51;127;30;12;0;0;0;0;0;0
21;jerome83;164;1200;16400;43200;61;40;63;126;30;5;3;0;0;0;0;0
22;MAYFAIRW1K;154;-800;15400;41400;54;50;50;118;21;14;1;0;0;0;0;0
23;peou;154;-600;15400;45600;47;58;49;107;29;16;1;1;0;0;0;0
24;Ding68;150;-1400;15000;40800;54;48;48;108;32;9;1;0;0;0;0;0
25;JeanLuc123;143;3300;14300;39000;56;50;37;107;29;5;1;1;0;0;0;0
26;MrSebou;134;-1800;13400;38400;41;54;39;97;25;10;1;1;0;0;0;0
27;G4NG B4NG;119;300;11900;36000;48;38;33;94;15;7;2;0;1;0;0;0
28;needfrench;116;-800;11600;30000;42;41;33;89;20;7;0;0;0;0;0;0
29;Akhym94;116;-1000;11600;30800;40;33;43;87;20;9;0;0;0;0;0;0
30;DesperHate;115;2700;11500;31400;49;46;20;84;20;11;0;0;0;0;0;0
31;isolab;108;-1800;10800;29800;36;34;38;80;22;5;0;1;0;0;0;0
32;LickMyEvChip;108;-1400;10800;28600;36;41;31;82;21;3;2;0;0;0;0;0
33;LeBasilicain;105;-500;10500;29800;37;36;32;76;21;7;0;1;0;0;0;0
34;WAM888;100;-800;10000;28200;32;35;33;79;10;9;1;1;0;0;0;0
35;canard nord;100;1600;10000;29400;38;25;37;75;14;8;2;1;0;0;0;0
36;NicoFloflo;99;-1500;9900;24200;34;32;33;79;18;2;0;0;0;0;0;0
37;TheToilet2b;99;1700;9900;30800;34;34;31;67;16;15;0;1;0;0;0;0
38;longway;91;-1500;9100;22400;32;26;33;75;11;5;0;0;0;0;0;0
39;siestoboulot;89;-1500;8900;24200;28;31;30;71;13;3;1;1;0;0;0;0
40;lol_Sverev;89;-1900;8900;22800;29;36;24;68;17;4;0;0;0;0;0;0
41;Biquettesick;87;100;8700;23400;32;29;26;68;10;8;1;0;0;0;0;0
42;Thx Teerak;84;-2200;8400;22400;26;29;29;65;10;9;0;0;0;0;0;0
43;Jupy973;82;0;8200;23000;31;19;32;60;13;8;1;0;0;0;0;0
44;PacoRayban;80;-1800;8000;22400;24;33;23;58;14;7;1;0;0;0;0;0
46;alinou53;79;-900;7900;41800;21;37;21;60;12;5;0;1;0;1;0;0
47;Amna;78;2000;7800;25600;30;23;25;52;13;10;2;1;0;0;0;0
48;nana30000;76;-600;7600;22000;25;21;30;55;10;10;1;0;0;0;0;0
49;1flip 2win;75;100;7500;18800;32;23;20;63;7;4;1;0;0;0;0;0
50;lapaesana83;72;-1400;7200;17400;23;21;28;59;11;2;0;0;0;0;0;0
51;ManGoItsMe;68;-1200;6800;17000;25;25;18;56;9;2;1;0;0;0;0;0
52;CantFoldThis;67;700;6700;18600;26;28;13;46;16;5;0;0;0;0;0;0
53;Bim ds tn Q;65;700;6500;19200;22;22;21;43;17;3;2;0;0;0;0;0
54;Foufurieux06;64;1200;6400;17600;25;19;20;48;10;5;1;0;0;0;0;0
55;Ahura Dyke;64;-2400;6400;18600;16;32;16;48;7;7;2;0;0;0;0;0
56;EN_VACANCES;62;1800;6200;17800;28;18;16;45;9;7;1;0;0;0;0;0
57;BingBOng21;61;-700;6100;16600;22;17;22;45;10;6;0;0;0;0;0;0
58;BetterCallMe;59;-900;5900;16200;18;27;14;42;12;5;0;0;0;0;0;0
59;BoumBail;59;1100;5900;18000;18;15;26;41;12;5;0;1;0;0;0;0
60;winafish_8z;59;-1100;5900;18200;18;25;16;42;8;6;3;0;0;0;0;0
61;RichLifeInc;58;2200;5800;15600;30;9;19;43;10;5;0;0;0;0;0;0
62;RAISE75;56;-2400;5600;14600;13;18;25;43;9;4;0;0;0;0;0;0
63;PaKaiKai;56;-1400;5600;16800;18;19;19;42;7;6;0;1;0;0;0;0
64;SpinTopreg;55;-900;5500;15000;17;21;17;39;12;4;0;0;0;0;0;0
65;ka8igitis_23;54;-800;5400;12600;22;17;15;46;7;1;0;0;0;0;0;0
66;Ed_edge;52;400;5200;13600;19;20;13;39;10;3;0;0;0;0;0;0
67;kevin94psg;52;-200;5200;13400;20;14;18;41;7;4;0;0;0;0;0;0
68;E.X.O.C.E.T;51;-1100;5100;12800;15;13;23;41;7;3;0;0;0;0;0;0
69;LePardon;51;-1900;5100;13400;13;23;15;41;4;6;0;0;0;0;0;0
70;torche08;50;1200;5000;13800;22;12;16;35;11;4;0;0;0;0;0;0
