rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;stasiukaxz11;1973;-1225;49325;133700;711;751;511;1503;301;148;17;4;0;0;0;0
2;Petonbet;1707;-4775;42675;113250;576;635;496;1321;265;108;11;1;1;0;0;0
3;unasmonfrere;1350;-1400;67500;191900;484;492;374;1006;234;100;9;0;0;1;0;0
4;BetterCallMe;1230;-1975;43925;121500;417;417;396;914;222;86;5;1;2;0;0;0
5;lhelicoptere;1082;800;27050;70800;416;381;285;845;154;76;7;0;0;0;0;0
6;Tu_Te_Calm;706;4125;24525;114800;261;209;236;547;105;45;7;1;0;0;1;0
7;adopteunbet;706;-1400;35300;95100;256;242;208;536;115;50;3;2;0;0;0;0
8;MrTs222;648;1150;16200;43250;260;210;178;497;97;48;6;0;0;0;0;0
9;KhaleesiFTW;599;1375;14975;39900;233;190;176;458;95;40;6;0;0;0;0;0
11;megapitch;489;1375;12225;32700;202;173;114;373;76;38;1;1;0;0;0;0
12;MM18;482;-425;17475;47100;173;155;154;350;93;35;4;0;0;0;0;0
13;BurjAlArab;479;-2375;12875;33150;151;180;148;369;80;29;1;0;0;0;0;0
14;LordBendtner;469;300;14350;37050;185;178;106;368;71;27;3;0;0;0;0;0
15;Touchdown67.;465;-2425;17225;43300;172;149;144;372;66;24;3;0;0;0;0;0
16;sirsirsir;464;-200;11950;32700;166;157;141;345;77;39;2;1;0;0;0;0
17;grenat57525;437;-225;13525;35150;166;132;139;341;68;26;2;0;0;0;0;0
18;jetelamet13;416;-1400;11350;29050;144;119;153;333;50;29;4;0;0;0;0;0
22;SAMSHAGIRL;372;-300;12200;33550;135;121;116;273;63;33;3;0;0;0;0;0
23;SERGIO3110;371;-1700;12900;33550;126;100;145;283;63;24;1;0;0;0;0;0
24;DarkJosette;348;-875;10975;30900;119;125;104;256;58;30;3;1;0;0;0;0
26;virgie79;313;-1075;9825;26450;98;96;119;242;45;22;3;1;0;0;0;0
27;- Viet -;307;-1450;7750;20200;97;109;101;232;59;16;0;0;0;0;0;0
28;AdAugusta;307;-850;15350;42400;108;108;91;238;45;22;1;0;1;0;0;0
29;gogepok37;291;-1125;7275;19150;100;92;99;228;40;20;3;0;0;0;0;0
30;AAnus Etroit;290;-1025;10275;26900;99;97;94;232;34;23;1;0;0;0;0;0
31;Tinitouns31;284;-100;7100;19000;107;92;85;214;53;15;1;1;0;0;0;0
33;siddd;273;-1750;13650;35700;92;91;90;212;38;23;0;0;0;0;0;0
34;gaybel;273;-275;7125;18650;103;98;72;209;43;21;0;0;0;0;0;0
35;jjsam;271;-150;6950;17450;105;95;71;218;35;18;0;0;0;0;0;0
36;Gini2a;267;-1850;9800;26250;85;110;72;207;45;13;1;0;1;0;0;0
37;Akhym94;266;-1100;10600;28900;77;103;86;204;38;21;2;1;0;0;0;0
38;leblond55;261;-500;7600;20550;83;85;93;195;40;24;2;0;0;0;0;0
39;PAN PAN QQ;258;-1000;7850;20350;90;97;71;203;37;15;3;0;0;0;0;0
40;w2totor;254;600;6600;17200;108;58;88;201;35;17;0;1;0;0;0;0
41;WINDOWS10;242;-25;7525;21300;83;76;83;172;37;31;2;0;0;0;0;0
42;Cocohen;241;-225;6025;17100;73;87;81;178;36;24;2;1;0;0;0;0
43;scotone1;239;0;6800;18650;77;90;72;180;35;23;0;1;0;0;0;0
44;Size7;235;-650;6050;15800;78;97;60;182;33;20;0;0;0;0;0;0
45;Inhilikan;233;-200;7400;18700;90;77;66;185;35;12;1;0;0;0;0;0
