rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Aaanditsgone;872;-3400;87200;232200;300;328;244;662;143;61;6;0;0;0;0;0
2;LickMyEvChip;816;600;81600;219400;310;282;224;613;135;63;5;0;0;0;0;0
3;adopteunbet;797;4500;79700;218000;299;287;211;592;136;62;6;1;0;0;0;0
4;EN_VACANCES;688;1200;68800;182600;260;233;195;525;110;51;1;1;0;0;0;0
5;wtangw;482;-7200;48200;132600;157;153;172;365;67;43;7;0;0;0;0;0
6;paieoupasse;433;-500;43300;119200;145;125;163;316;81;31;5;0;0;0;0;0
7;RagazzaBella;361;-9700;36100;105400;93;86;182;256;62;34;9;0;0;0;0;0
8;raar91;352;-3000;35200;89800;130;114;108;283;45;22;2;0;0;0;0;0
9;JeanLuc123;289;1900;28900;76000;119;88;82;222;51;12;4;0;0;0;0;0
10;zizmax;285;-500;28500;80400;103;76;106;211;51;18;3;2;0;0;0;0
11;proscoo;278;-1800;27800;70600;105;74;99;226;38;12;1;1;0;0;0;0
12;lapaesana83;232;-2200;23200;65400;82;73;77;168;37;25;2;0;0;0;0;0
13;Star_IOM;213;-3300;21300;61400;66;77;70;163;35;13;0;1;1;0;0;0
14;BurjAlArab;209;-300;20900;64600;57;77;75;148;36;21;3;0;1;0;0;0
15;bloutoussse;191;2100;19100;50000;77;73;41;152;28;9;1;1;0;0;0;0
16;siestoboulot;177;-1900;17700;44200;58;59;60;141;28;8;0;0;0;0;0;0
17;Nimeta;176;-200;17600;46000;66;51;59;140;20;15;1;0;0;0;0;0
18;_s4_;172;-2000;17200;48800;54;58;60;123;33;15;0;1;0;0;0;0
19;ValueMerguez;162;1400;16200;44400;61;58;43;123;27;10;1;1;0;0;0;0
20;jertiann;161;-100;16100;42400;59;59;43;123;25;13;0;0;0;0;0;0
21;LENNY2610;161;-5300;16100;42800;49;56;56;125;28;6;1;1;0;0;0;0
22;Papatouche;154;-3400;15400;41200;50;59;45;116;28;8;2;0;0;0;0;0
23;Ding68;153;1300;15300;41400;55;61;37;114;26;12;1;0;0;0;0;0
24;nakii;146;-200;14600;37400;55;37;54;118;17;10;1;0;0;0;0;0
25;Tu_Te_Calm;138;-3200;13800;38000;42;56;40;106;18;11;3;0;0;0;0;0
26;WAM888;137;-1500;13700;35600;48;47;42;107;21;8;1;0;0;0;0;0
27;Foufurieux06;132;-800;13200;38000;44;20;68;87;32;13;0;0;0;0;0;0
28;TheToilet2b;131;-1900;13100;37000;42;46;43;102;15;11;2;1;0;0;0;0
29;NicoFloflo;126;-2800;12600;32400;38;50;38;100;16;10;0;0;0;0;0;0
30;BoumBail;124;2000;12400;32800;52;39;33;96;18;9;1;0;0;0;0;0
31;bongos;117;1700;11700;34400;43;33;41;79;25;11;2;0;0;0;0;0
32;ti-breton;110;2000;11000;29800;45;33;32;80;21;9;0;0;0;0;0;0
33;4betspew;105;300;10500;27600;45;30;30;81;17;6;1;0;0;0;0;0
34;Archer90;101;1100;10100;25000;45;36;20;82;16;2;1;0;0;0;0;0
35;Patoufponpon;101;-100;10100;25600;40;28;33;80;15;6;0;0;0;0;0;0
36;isolab;95;-900;9500;27800;32;24;39;68;14;11;2;0;0;0;0;0
37;Isabelle1988;93;1500;9300;26400;36;32;25;74;10;6;2;1;0;0;0;0
38;dolipran;90;-1800;9000;23600;28;28;34;69;16;4;1;0;0;0;0;0
39;Biscotto06;89;100;8900;22200;34;21;34;73;10;6;0;0;0;0;0;0
40;itsfree;86;400;8600;24200;30;30;26;65;9;11;1;0;0;0;0;0
41;Jupy973;86;-800;8600;22800;26;28;32;67;10;9;0;0;0;0;0;0
42;Drachno;84;-1400;8400;20600;29;29;26;69;11;4;0;0;0;0;0;0
43;zaletnik;83;1500;8300;24800;34;22;27;57;17;6;3;0;0;0;0;0
44;geicha;82;-2000;8200;23200;22;24;36;62;15;3;1;1;0;0;0;0
45;Shori Nota;82;-1600;8200;21600;23;31;28;63;12;7;0;0;0;0;0;0
46;PanicHeadach;81;-700;8100;21400;29;30;22;62;14;4;1;0;0;0;0;0
47;Expresso_GTO;80;800;8000;20800;35;25;20;63;10;7;0;0;0;0;0;0
48;Off the Wall;79;-1700;7900;22200;23;27;29;59;8;12;0;0;0;0;0;0
49;ShAAAlom;78;-4000;7800;18800;18;40;20;65;10;3;0;0;0;0;0;0
50;Jajajahomaha;78;-200;7800;21200;28;25;25;56;16;6;0;0;0;0;0;0
51;olelemaiko11;70;-800;7000;17400;25;16;29;55;13;2;0;0;0;0;0;0
52;diazou30150;70;800;7000;19200;28;22;20;51;14;4;1;0;0;0;0;0
53;Biquettesick;70;-1000;7000;19400;22;20;28;51;11;8;0;0;0;0;0;0
54;SolidSnake13;69;500;6900;18000;28;19;22;54;9;6;0;0;0;0;0;0
55;T-KO;68;0;6800;18000;25;14;29;52;10;6;0;0;0;0;0;0
56;Nascars;68;-800;6800;19800;21;25;22;47;11;10;0;0;0;0;0;0
57;theos57100;67;-2100;6700;16000;20;20;27;57;7;3;0;0;0;0;0;0
58;Belsunce83;66;0;6600;17200;25;20;21;55;4;6;1;0;0;0;0;0
59;8ESPOIR9;64;-200;6400;16400;21;10;33;52;6;6;0;0;0;0;0;0
60;jerome83;64;-1600;6400;17800;17;16;31;48;9;6;1;0;0;0;0;0
61;Montana26;61;100;6100;16200;23;18;20;44;14;3;0;0;0;0;0;0
62;MezuuUuuT;60;2400;6000;15600;33;13;14;45;12;3;0;0;0;0;0;0
63;MAMARAZZI;60;-200;6000;13400;24;24;12;54;5;1;0;0;0;0;0;0
64;ChebilaX;60;-600;6000;15400;22;18;20;48;7;5;0;0;0;0;0;0
65;HUGOPAIS75;56;-800;5600;16400;20;19;17;43;7;5;0;1;0;0;0;0
66;SpaBienWalla;56;-400;5600;14400;19;17;20;44;8;4;0;0;0;0;0;0
67;Armani78520;56;-2400;5600;14600;12;18;26;45;7;3;1;0;0;0;0;0
68;LaPalud;56;400;5600;14600;21;17;18;42;11;3;0;0;0;0;0;0
69;Cokine2a;55;-500;5500;14600;21;16;18;42;10;2;1;0;0;0;0;0
70;MAYFAIRW1K;55;-1500;5500;12600;18;18;19;47;8;0;0;0;0;0;0;0
71;MonkeyDope;54;0;5400;15000;21;20;13;46;4;2;1;1;0;0;0;0
72;Meltingrobz;53;-300;5300;15800;19;18;16;37;8;7;1;0;0;0;0;0
73;DonMoiTou;52;-1200;5200;16000;14;15;23;31;16;4;1;0;0;0;0;0
74;djy86;51;-1100;5100;13400;13;21;17;40;6;5;0;0;0;0;0;0
