rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;ChildCZ;2126;1800;53150;144850;810;721;595;1583;352;175;15;1;0;0;0;0
2;MrTs222;1877;-975;46925;127100;694;708;475;1404;328;129;13;3;0;0;0;0
3;BetterCallMe;1645;-5275;52375;141600;569;541;535;1231;299;102;12;1;0;0;0;0
4;Archer90;1563;1950;78150;205800;602;533;428;1193;267;92;11;0;0;0;0;0
5;Bambino4;1206;2450;30150;82400;481;385;340;888;232;72;12;2;0;0;0;0
6;jtetank;1104;-2150;41650;113850;376;326;402;840;183;66;11;3;1;0;0;0
7;LoL.Colombia;1028;2075;25825;72400;382;299;347;758;177;81;7;5;0;0;0;0
8;adopteunbet;904;-500;45200;123400;328;309;267;677;136;85;6;0;0;0;0;0
9;Le Audrius;871;6175;42725;127200;284;315;272;668;135;54;10;2;1;1;0;0
10;---113---;816;-50;20800;57750;290;245;281;603;141;61;10;1;0;0;0;0
11;Gini2a;738;-625;30175;80550;268;276;194;566;109;54;9;0;0;0;0;0
12;SharKKutier;647;-2025;16175;48150;209;251;187;497;98;45;5;1;0;1;0;0
13;alicia1204;564;1350;15250;42150;223;186;155;419;100;42;2;0;1;0;0;0
14;RACHIDdu69;549;-1325;13725;34700;205;216;128;436;85;26;2;0;0;0;0;0
15;nounieu;540;-1000;26800;75000;187;182;171;397;91;45;6;1;0;0;0;0
16;Trafinoglu;518;800;12950;40050;194;188;136;379;100;34;4;0;0;1;0;0
17;PhiI lvey;514;-900;12850;33200;183;190;141;408;70;32;4;0;0;0;0;0
18;cxin19871026;461;-1100;13500;36050;161;148;152;352;77;30;2;0;0;0;0;0
19;Arthur4King;453;-825;11325;31350;160;173;120;333;81;34;4;1;0;0;0;0
20;LoicACC;432;-750;11250;28700;163;124;145;345;57;28;2;0;0;0;0;0
21;unasmonfrere;420;-600;21000;57900;139;157;124;310;69;37;4;0;0;0;0;0
23;TKOMEC;385;-975;11925;32700;136;128;121;293;51;37;4;0;0;0;0;0
24;omahalpha;366;-950;11950;32050;122;129;115;278;58;27;3;0;0;0;0;0
25;Diep21;363;175;9075;28600;127;137;99;286;50;22;4;0;0;1;0;0
26;Koozo;359;-25;15475;41200;130;107;122;276;56;23;4;0;0;0;0;0
27;badbeatland.;354;-975;10625;30300;115;122;117;246;69;38;1;0;0;0;0;0
28;gogepok37;352;100;8800;23400;132;134;86;273;46;31;2;0;0;0;0;0
29;Lapiche;350;-150;8750;24300;118;114;118;259;61;25;4;1;0;0;0;0
30;jojolebedo;345;-900;11200;31600;108;101;136;253;71;18;2;0;1;0;0;0
31;KhaleesiFTW;336;50;8400;22350;125;126;85;252;61;21;2;0;0;0;0;0
32;IWantSuckout;332;-250;8300;22700;111;122;99;247;54;28;3;0;0;0;0;0
33;LaBurK;322;-1675;8775;22950;108;117;97;244;58;19;1;0;0;0;0;0
34;Tu_Te_Calm;316;-1225;11825;31500;113;98;105;240;52;20;4;0;0;0;0;0
35;paschaa0087;304;1000;7600;20650;124;88;92;224;53;26;1;0;0;0;0;0
36;AnArKine;303;175;7775;20600;121;88;94;235;43;23;2;0;0;0;0;0
37;PacoRayban;298;-925;9525;25400;108;86;104;224;52;20;2;0;0;0;0;0
38;DesperHate;293;-850;14650;36500;110;99;84;237;42;13;1;0;0;0;0;0
39;railegh;281;-975;8425;22000;93;76;112;221;39;18;3;0;0;0;0;0
40;ghjuvanni13;281;-150;9350;24150;107;88;86;226;35;14;5;1;0;0;0;0
41;charivari1;278;350;7450;20200;110;105;63;214;39;21;3;1;0;0;0;0
42;AAlchimiste;272;-1650;6800;17550;81;94;97;213;43;14;2;0;0;0;0;0
43;Nonassis;267;250;6750;17950;106;93;68;208;36;20;3;0;0;0;0;0
44;BanFromPluto;266;-400;8350;22950;95;81;90;204;42;19;0;0;1;0;0;0
45;Titiak;259;350;9750;27300;78;109;72;196;46;13;3;0;1;0;0;0
46;Armani78520;257;-400;10200;28200;94;87;76;188;50;17;1;1;0;0;0;0
47;LePardon;255;75;8025;21900;97;84;74;194;32;27;2;0;0;0;0;0
48;LeBasilicain;255;625;7925;22400;93;84;78;186;51;16;1;1;0;0;0;0
49;CASTRAFIORE;254;625;11125;33950;90;90;74;175;54;21;3;0;1;0;0;0
50;Nicosinus;254;-950;6750;17800;86;86;82;193;42;18;1;0;0;0;0;0
51;LENNY2610;249;-1250;12300;34300;86;97;66;185;43;15;6;0;0;0;0;0
52;PAN PAN QQ;247;1650;9450;26050;93;80;74;204;29;12;0;1;1;0;0;0
53;xkyshax;243;125;6525;19100;86;69;88;170;43;26;3;1;0;0;0;0
54;PUISSANCE 21;243;-275;10275;28900;82;73;88;170;51;20;2;0;0;0;0;0
55;tonypit9;243;-1025;6625;17200;80;77;86;192;34;14;3;0;0;0;0;0
56;Ramen LEBIFF;243;-375;7075;20300;91;83;69;188;28;23;2;2;0;0;0;0
57;lhelicoptere;237;-425;5925;14750;88;96;53;190;36;11;0;0;0;0;0;0
58;Rest trankil;236;-900;6000;16400;64;81;91;177;40;15;4;0;0;0;0;0
59;ALJUJO;229;500;6050;16450;81;68;80;176;34;16;3;0;0;0;0;0
60;le tcho 85;228;1475;6925;20600;79;86;63;165;44;14;2;3;0;0;0;0
61;atakcocombre;226;-300;6500;17100;90;60;76;185;28;11;1;1;0;0;0;0
62;Titzourss;225;75;5825;15400;91;69;65;173;33;17;2;0;0;0;0;0
63;MapyPorrins;218;-150;6150;17500;78;87;53;156;34;27;1;0;0;0;0;0
64;Kinoudj;217;-625;5875;15050;74;64;79;175;23;18;1;0;0;0;0;0
65;EtBoOoOm15;215;-275;7075;19600;69;71;75;160;37;16;2;0;0;0;0;0
66;Obrado;213;-1675;5475;13750;57;59;97;174;23;16;0;0;0;0;0;0
67;KYFFF;211;325;5275;14350;85;60;66;150;48;12;1;0;0;0;0;0
68;piz55;208;-850;5200;13450;72;67;69;164;29;14;1;0;0;0;0;0
69;Cocohen;207;-325;5175;14100;74;80;53;154;33;19;1;0;0;0;0;0
70;Julvar2210;207;-625;5725;15200;65;63;79;161;30;14;2;0;0;0;0;0
71;112233;207;0;5850;15300;76;69;62;158;32;17;0;0;0;0;0;0
72;poisson60;206;300;5150;13550;83;65;58;159;31;15;1;0;0;0;0;0
73;Jean cule...;206;400;5800;16350;84;55;67;149;37;16;4;0;0;0;0;0
74;KKnerveux42;205;600;5500;15750;77;63;65;143;42;18;2;0;0;0;0;0
75;AMERICA-POKE;203;150;6050;16750;74;60;69;146;42;13;2;0;0;0;0;0
76;Dirty_River;203;-450;5100;13400;67;71;65;154;34;15;0;0;0;0;0;0
78;troupineur;200;500;5150;14700;77;57;66;143;41;12;3;1;0;0;0;0
79;Patat2forain;199;250;5850;15450;81;62;56;152;29;18;0;0;0;0;0;0
80;SuperBaf.bad;197;-1050;6400;16900;66;67;64;149;33;13;2;0;0;0;0;0
81;MrSebou;197;-425;9675;25050;71;66;60;150;36;11;0;0;0;0;0;0
82;Blind_fold;191;-600;6000;16300;60;72;59;148;26;12;5;0;0;0;0;0
83;yves kylian;190;150;6250;17350;72;59;59;145;30;13;2;0;0;0;0;0
84;freddoc70;189;-900;5250;14100;61;74;54;145;31;12;0;1;0;0;0;0
85;Cop-y-33;188;-1550;8600;24150;58;59;71;139;28;18;3;0;0;0;0;0
86;shakalaka;188;850;4700;12850;74;57;57;142;29;14;3;0;0;0;0;0
87;ddr3ssd;188;50;4700;12350;77;57;54;143;33;11;1;0;0;0;0;0
88;benj87;187;-750;6300;17550;63;78;46;138;34;12;1;2;0;0;0;0
89;marcaurel79;187;825;5825;16450;72;60;55;133;38;14;2;0;0;0;0;0
90;AAnus Etroit;185;-800;8650;21600;65;59;61;146;31;8;0;0;0;0;0;0
91;igloolol;185;-1550;6400;17200;54;73;58;145;31;6;2;1;0;0;0;0
92;O0IIIIII0O;185;-150;9250;24500;70;60;55;140;34;9;2;0;0;0;0;0
93;Hinuzel07;181;-250;4550;12200;60;57;64;137;29;14;1;0;0;0;0;0
94;jayjay34990;181;-175;6225;15600;77;56;48;147;25;9;0;0;0;0;0;0
95;chokdee win;180;-500;4800;12800;60;55;65;138;26;14;2;0;0;0;0;0
96;riverkid3084;180;-1100;4500;11650;50;64;66;136;35;9;0;0;0;0;0;0
97;la_pin_ce;179;725;4475;12250;74;44;61;136;29;12;1;1;0;0;0;0
98;DKarolis;179;-75;4675;12800;61;64;54;135;26;15;3;0;0;0;0;0
99;isa127;175;75;4375;12100;65;73;37;124;37;13;1;0;0;0;0;0
100;Iamethod13;174;-1100;5150;13150;58;64;52;141;22;10;1;0;0;0;0;0
101;fario69;174;50;4350;11500;65;68;41;130;32;12;0;0;0;0;0;0
102;bimq;172;-825;4725;11700;58;62;52;142;20;10;0;0;0;0;0;0
103;spawn-06;171;-150;4350;13950;58;40;73;122;28;16;3;1;1;0;0;0
104;romanom37;171;1050;8350;22450;67;65;39;124;35;12;0;0;0;0;0;0
105;panditueur;170;-225;4425;12000;60;62;48;129;24;16;1;0;0;0;0;0
106;CapriX13;169;-900;5450;14600;50;55;64;126;27;15;1;0;0;0;0;0
107;Waaouuuuh;168;-100;4200;10950;64;55;49;130;27;10;1;0;0;0;0;0
108;takos54;164;625;5275;14750;61;42;61;121;28;12;3;0;0;0;0;0
109;Ramiere;164;-500;8200;22500;57;51;56;125;23;13;3;0;0;0;0;0
110;alessandro..;163;-300;4600;11850;61;48;54;129;23;11;0;0;0;0;0;0
