"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"1";"VincyVon";"2018";"-12400";"201800";"538600";"693";"736";"589";"1541";"328";"132";"14";"3";"0";"0";"0";"0"
"2";"stakeleux24";"1913";"-1500";"191300";"512600";"711";"642";"560";"1443";"327";"127";"15";"1";"0";"0";"0";"0"
"3";"Archer90";"1119";"-5900";"111900";"302000";"408";"394";"317";"856";"190";"63";"6";"3";"1";"0";"0";"0"
"4";"Drachno";"630";"-1800";"63000";"168000";"240";"202";"188";"482";"101";"42";"4";"1";"0";"0";"0";"0"
"5";"LoosIi";"591";"-4700";"59100";"157800";"207";"145";"239";"449";"90";"50";"2";"0";"0";"0";"0";"0"
"6";"_s4_";"461";"-2500";"46100";"124400";"160";"154";"147";"353";"66";"39";"2";"1";"0";"0";"0";"0"
"7";"JackSept";"424";"400";"42400";"113400";"144";"137";"143";"323";"72";"25";"3";"1";"0";"0";"0";"0"
"8";"Tire-fesses";"418";"2400";"41800";"117600";"149";"163";"106";"315";"74";"25";"1";"2";"1";"0";"0";"0"
"9";"JULIEN2727";"344";"2400";"34400";"94400";"121";"77";"146";"257";"57";"27";"2";"1";"0";"0";"0";"0"
"10";"KhaleesiFTW";"341";"2500";"34100";"91600";"138";"104";"99";"255";"59";"25";"2";"0";"0";"0";"0";"0"
"11";"A.Lacagette";"325";"-300";"32500";"90800";"108";"117";"100";"239";"51";"31";"4";"0";"0";"0";"0";"0"
"12";"LENNY2610";"313";"-8900";"31300";"84200";"82";"121";"110";"235";"52";"24";"2";"0";"0";"0";"0";"0"
"13";"PaKaiKai";"256";"1800";"25600";"68800";"94";"84";"78";"203";"32";"19";"0";"2";"0";"0";"0";"0"
"14";"PacoRayban";"246";"-1400";"24600";"72400";"83";"87";"76";"181";"47";"14";"2";"1";"1";"0";"0";"0"
"15";"CapriX13";"245";"-4900";"24500";"63800";"77";"57";"111";"189";"40";"15";"1";"0";"0";"0";"0";"0"
"16";"sofsof69";"220";"400";"22000";"60000";"83";"58";"79";"168";"35";"14";"2";"1";"0";"0";"0";"0"
"17";"O0IIIIII0O";"208";"2000";"20800";"53400";"89";"68";"51";"160";"37";"11";"0";"0";"0";"0";"0";"0"
