rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;itsfree;1913;-3700;191300;518200;679;680;554;1453;307;138;11;3;1;0;0;0
2;-Level99;1447;-16700;144700;384000;467;486;494;1102;245;91;7;2;0;0;0;0
4;Ketelsen;956;800;95600;267000;346;335;275;681;187;80;8;0;0;0;0;0
5;stephou89;676;-1200;67600;186600;230;195;251;507;104;56;8;1;0;0;0;0
7;raar91;606;7000;60600;167000;236;190;180;459;97;44;5;0;1;0;0;0
8;Aoninenk;599;-5900;59900;161200;208;205;186;459;93;42;3;2;0;0;0;0
10;djfinck;560;800;56000;158400;196;211;153;420;91;40;7;1;1;0;0;0
11;LENNY2610;495;-5700;49500;133000;168;136;191;373;84;33;5;0;0;0;0;0
12;atend2sec;494;-1200;49400;129800;178;164;152;376;87;28;3;0;0;0;0;0
13;jungle julia;494;-1000;49400;137000;177;154;163;361;90;38;4;1;0;0;0;0
14;MAMARAZZI;430;2600;43000;115200;160;141;129;324;77;26;2;1;0;0;0;0
15;_s4_;361;-5500;36100;97400;120;108;133;271;62;24;4;0;0;0;0;0
16;Tire-fesses;348;600;34800;96000;123;141;84;257;60;26;5;0;0;0;0;0
18;sunny_flower;326;4200;32600;90400;125;113;88;246;47;29;3;1;0;0;0;0
20;PaKaiKai;311;-4700;31100;80200;105;110;96;245;46;18;2;0;0;0;0;0
21;Kimsing;305;-100;30500;79000;110;113;82;245;36;21;3;0;0;0;0;0
22;4betspew;281;1500;28100;77000;108;88;85;203;56;20;2;0;0;0;0;0
24;jenpeusplus;256;-3000;25600;67800;93;69;94;199;37;17;3;0;0;0;0;0
25;ChildCZ;248;-6000;24800;63800;78;97;73;197;33;17;1;0;0;0;0;0
26;tiwi60;246;12000;24600;163200;95;67;84;189;43;12;1;0;0;0;1;0
28;Johnny.Chase;222;1400;22200;68200;83;62;77;157;39;22;3;0;1;0;0;0
30;4Gambler4;210;600;21000;60000;68;68;74;157;38;14;0;0;1;0;0;0
31;moringoo;205;-2700;20500;55400;65;62;78;147;44;14;0;0;0;0;0;0
32;O0IIIIII0O;199;-3100;19900;53800;59;78;62;152;31;15;0;1;0;0;0;0
33;Filippoanc;198;-2000;19800;54000;68;60;70;146;36;14;2;0;0;0;0;0
34;ghjuvanni13;196;200;19600;53000;73;65;58;145;37;12;2;0;0;0;0;0
35;proscoo;187;-700;18700;50600;66;57;64;143;26;16;2;0;0;0;0;0
36;GuideAA;184;600;18400;51200;71;61;52;132;36;14;2;0;0;0;0;0
37;Biquettesick;182;-3200;18200;55400;53;60;69;131;31;18;1;0;1;0;0;0
38;survivor13x;175;100;17500;46000;68;56;51;133;31;10;1;0;0;0;0;0
40;Akhym94;166;-2400;16600;46400;57;60;49;130;24;8;2;2;0;0;0;0
41;Bigfish8z;159;2300;15900;47000;58;59;42;106;37;15;0;1;0;0;0;0
42;Babs1981;155;-100;15500;46200;40;38;77;114;28;12;0;0;1;0;0;0
45;LETSLFLIP;142;-1400;14200;39200;47;60;35;107;20;13;2;0;0;0;0;0
46;LeBasilicain;128;-1800;12800;36800;39;42;47;90;24;12;2;0;0;0;0;0
48;tub55;124;-2400;12400;32400;39;32;53;96;18;10;0;0;0;0;0;0
49;StillStay;122;-800;12200;32200;48;30;44;93;21;7;1;0;0;0;0;0
50;boatheng;121;-300;12100;32600;41;44;36;90;20;11;0;0;0;0;0;0
51;DagheGOUTTE;119;500;11900;33400;39;46;34;86;20;12;1;0;0;0;0;0
52;l3y0u_26;117;-2300;11700;31000;37;33;47;89;18;10;0;0;0;0;0;0
53;Mlkjhgfdsqnb;113;1900;11300;33200;42;37;34;82;15;13;3;0;0;0;0;0
55;Gabinfle;110;-1400;11000;28400;36;40;34;84;20;6;0;0;0;0;0;0
56;ChaVakHiaH;109;1900;10900;28000;46;37;26;85;19;4;1;0;0;0;0;0
57;doun44;108;200;10800;31200;38;27;43;73;24;10;1;0;0;0;0;0
