rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;Ketelsen;965;2300;96500;265000;357;368;240;726;152;75;10;2;0;0;0;0
2;EN_VACANCES;795;-8500;79500;211800;276;278;241;608;123;60;3;1;0;0;0;0
3;cetteberc;666;3000;66600;183800;242;208;216;492;120;49;2;3;0;0;0;0
4;Expresso_GTO;634;-3200;63400;167800;239;200;195;486;97;48;3;0;0;0;0;0
5;MAMARAZZI;549;-2900;54900;148800;188;209;152;415;88;41;4;1;0;0;0;0
6;sunny_flower;488;600;48800;131200;182;160;146;374;77;31;5;1;0;0;0;0
7;PaKaiKai;423;-300;42300;111600;147;143;133;332;56;33;1;1;0;0;0;0
8;adopteunbet;406;-3800;40600;107600;141;145;120;318;53;33;1;1;0;0;0;0
9;raar91;378;-1800;37800;100400;135;127;116;284;66;27;1;0;0;0;0;0
10;ChibreAcier7;332;-2800;33200;89200;121;123;88;246;62;22;2;0;0;0;0;0
11;_s4_;322;2600;32200;92600;117;104;101;231;54;33;3;1;0;0;0;0
12;Shori Nota;310;1200;31000;83200;117;79;114;233;50;26;1;0;0;0;0;0
13;JeanLuc123;223;1100;22300;62800;79;80;64;160;35;28;0;0;0;0;0;0
14;LePardon;204;-800;20400;55000;64;82;58;155;31;16;2;0;0;0;0;0
15;windguru14;197;-1500;19700;55000;69;60;68;140;42;12;3;0;0;0;0;0
16;Ding68;187;-2300;18700;50200;60;62;65;139;36;10;2;0;0;0;0;0
17;MrSebou;163;-500;16300;46000;60;42;61;117;29;15;2;0;0;0;0;0
18;proscoo;146;-2400;14600;39400;49;44;53;116;20;7;2;1;0;0;0;0
19;Biquettesick;146;1800;14600;40800;52;39;55;108;24;11;3;0;0;0;0;0
20;Malhabah;139;-2900;13900;38200;40;27;72;104;22;11;2;0;0;0;0;0
21;MAYFAIRW1K;121;-300;12100;32000;46;34;41;92;19;10;0;0;0;0;0;0
22;chikhaoui83;114;-800;11400;31600;36;34;44;90;8;14;2;0;0;0;0;0
23;-LuCh0-;113;1300;11300;31200;44;34;35;81;25;5;2;0;0;0;0;0
24;NicoFloflo;113;-3900;11300;26600;31;48;34;94;18;1;0;0;0;0;0;0
25;losbramaires;113;1100;11300;31200;42;41;30;81;23;8;1;0;0;0;0;0
26;DanielSP;108;0;10800;30800;39;40;29;76;20;11;1;0;0;0;0;0
27;112233;107;1500;10700;29400;39;31;37;79;16;12;0;0;0;0;0;0
28;TheToilet2b;100;1000;10000;29000;34;29;37;68;19;13;0;0;0;0;0;0
29;LickMyEvChip;99;300;9900;25200;40;19;40;75;21;3;0;0;0;0;0;0
30;LENNY2610;96;-1400;9600;26200;27;40;29;71;17;7;1;0;0;0;0;0
31;Thx Teerak;93;900;9300;27400;34;36;23;67;15;10;0;1;0;0;0;0
32;ManGoItsMe;93;700;9300;26600;33;34;26;70;10;11;2;0;0;0;0;0
34;E.X.O.C.E.T;84;-1200;8400;24600;26;27;31;55;21;7;1;0;0;0;0;0
35;BingBOng21;81;900;8100;21400;32;23;26;60;16;5;0;0;0;0;0;0
36;TheMaxXx;80;0;8000;20600;32;24;24;63;11;6;0;0;0;0;0;0
37;Star_IOM;77;300;7700;24600;28;33;16;50;17;8;1;1;0;0;0;0
38;Leleu-77;76;600;7600;22000;24;23;29;56;13;6;0;1;0;0;0;0
39;isolab;76;1200;7600;20400;30;23;23;59;10;6;1;0;0;0;0;0
40;jjpjn;76;-3000;7600;19400;21;14;41;61;11;3;1;0;0;0;0;0
41;1FlipMore;70;2000;7000;20600;25;21;24;52;12;4;1;1;0;0;0;0
42;Patrun50;70;0;7000;18600;28;25;17;52;13;5;0;0;0;0;0;0
43;Biscotto06;69;-900;6900;17800;25;23;21;51;16;2;0;0;0;0;0;0
44;Christian.G;69;-1300;6900;18600;22;16;31;51;12;6;0;0;0;0;0;0
45;longway;69;900;6900;21800;22;21;26;45;12;10;2;0;0;0;0;0
46;lol_Sverev;67;-1900;6700;16400;23;23;21;55;9;3;0;0;0;0;0;0
47;macssime;65;-900;6500;15800;22;16;27;54;8;3;0;0;0;0;0;0
48;tong26;65;100;6500;18000;26;14;25;48;11;5;1;0;0;0;0;0
49;DesperHate;61;700;6100;15400;28;19;14;49;8;4;0;0;0;0;0;0
50;djy86;61;1100;6100;16800;25;17;19;46;7;8;0;0;0;0;0;0
51;PokerAJ_2010;58;-600;5800;15200;23;21;14;47;4;7;0;0;0;0;0;0
52;Titleist915;58;-800;5800;16400;22;19;17;45;6;5;2;0;0;0;0;0
54;LULUBES;55;300;5500;15800;16;22;17;40;8;6;1;0;0;0;0;0
55;Simj95;54;1800;5400;16400;23;12;19;37;13;3;0;1;0;0;0;0
57;HustlaStylez;51;700;5100;14200;22;18;11;41;4;4;2;0;0;0;0;0
58;Baksparow;51;-1300;5100;12800;14;21;16;40;9;2;0;0;0;0;0;0
