rank;playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000
1;adopteunbet;1350;-3200;135000;355800;491;456;403;1056;197;83;12;2;0;0;0;0
2;LickMyEvChip;1067;-13500;106700;290600;337;425;305;816;159;83;7;1;1;0;0;0
3;Tire-fesses;852;-6400;85200;223000;308;293;251;649;149;51;3;0;0;0;0;0
4;LENNY2610;818;-12800;81800;221000;253;281;284;609;139;66;4;0;0;0;0;0
5;DagheGOUTTE;651;-4700;65100;172200;238;247;166;501;96;51;3;0;0;0;0;0
6;t6mbanahhui;646;2200;64600;178000;224;164;258;489;105;47;3;1;1;0;0;0
7;-Payen-;642;72800;64200;275000;209;213;220;481;105;48;6;1;0;0;1;0
8;Thrillerium;494;-800;49400;133800;177;150;167;386;75;26;6;0;1;0;0;0
9;Drachno;482;2600;48200;130600;189;154;139;358;85;35;4;0;0;0;0;0
10;_s4_;481;-4300;48100;129400;170;153;158;369;77;28;6;1;0;0;0;0
11;karim le bg;393;3300;39300;106800;151;103;139;291;71;27;4;0;0;0;0;0
12;proscoo;387;-300;38700;106200;141;125;121;291;63;28;4;1;0;0;0;0
13;stakeleux24;375;11900;37500;199800;127;132;116;281;65;26;2;0;0;0;1;0
14;TopGunJTs;361;-2100;36100;97200;129;123;109;270;63;25;3;0;0;0;0;0
15;Manu__b;333;-3500;33300;85000;117;134;82;262;50;21;0;0;0;0;0;0
16;ti-breton;330;-3000;33000;89600;111;80;139;245;58;24;3;0;0;0;0;0
17;LoosIi;309;-6100;30900;77400;98;84;127;249;46;12;2;0;0;0;0;0
18;PacoRayban;300;4200;30000;101200;124;90;86;225;47;24;3;0;0;1;0;0
19;Jynx Maze;279;-2900;27900;71600;93;91;95;221;39;18;1;0;0;0;0;0
20;truzman;254;0;25400;68200;95;59;100;187;47;20;0;0;0;0;0;0
21;Akhym94;244;15000;24400;88600;89;86;69;174;44;22;3;0;0;1;0;0
22;HustlaStylez;237;1500;23700;66000;92;80;65;185;31;16;3;2;0;0;0;0
23;jertiann;229;300;22900;63400;76;97;56;170;42;11;6;0;0;0;0;0
24;sunny_flower;228;-600;22800;59000;83;81;64;174;41;13;0;0;0;0;0;0
25;MalcatAAnho1;227;-1900;22700;70200;76;84;67;166;46;11;2;0;2;0;0;0
26;Ketelsen;225;700;22500;65000;83;80;62;161;39;22;2;1;0;0;0;0
